Taxon	Species
Abroscopus.albogularis_fulvifacies_E	Abroscopus.albogularis
Abroscopus.albogularis_fulvifacies_Taiwan	Abroscopus.albogularis
Abroscopus.schisticeps_ripponi_4	Abroscopus.schisticeps
Abroscopus.schisticeps_ripponi_5	Abroscopus.schisticeps
Abroscopus.schisticeps_ripponi_6	Abroscopus.schisticeps
Abroscopus.superciliaris_superciliaris_1	Abroscopus.superciliaris
Cettia.brunnescens_monotypic_D1	Cettia.brunnescens
Cettia.acanthizoides_acanthizoides_E93_1	Cettia.acanthizoides
Cettia.acanthizoides_acanthizoides_E93_2	Cettia.acanthizoides
Cettia.acanthizoides_acanthizoides_E99	Cettia.acanthizoides
Cettia.acanthizoides_acanthizoides_Wuyi1	Cettia.acanthizoides
Cettia.acanthizoides_acanthizoides_Wuyi2	Cettia.acanthizoides
Cettia.acanthizoides_concolor_Taiwan	Cettia.acanthizoides
Cettia.fortipes_pallida_Pak	Cettia.fortipes
Cettia.fortipes_pallida_Pak_GB_L77122	Cettia.fortipes
Cettia.fortipes_fortipes_Lava	Cettia.fortipes
Cettia.fortipes_fortipes_Chin1	Cettia.fortipes
Cettia.fortipes_davidiana_E92	Cettia.fortipes
Cettia.fortipes_davidiana_E99	Cettia.fortipes
Cettia.fortipes_davidiana_HK1129	Cettia.fortipes
Cettia.fortipes_davidiana_Fansi99	Cettia.fortipes
Cettia.fortipes_robustipes_Taiwan	Cettia.fortipes
Cettia.flavolivacea_flavolivacea_Darjeel	Cettia.flavolivacea
Cettia.flavolivacea_weberi_Chin	Cettia.flavolivacea
Cettia.flavolivacea_intricata_E99	Cettia.flavolivacea
Cettia.flavolivacea_intricata_E0619	Cettia.flavolivacea
Cettia.flavolivacea_intricata_E0504_1	Cettia.flavolivacea
Cettia.flavolivacea_intricata_E0504_2	Cettia.flavolivacea
Cettia.flavolivacea_intricata_HK	Cettia.flavolivacea
Cettia.flavolivacea_intricata_Yun1407	Cettia.flavolivacea
Cettia.flavolivacea_intricata_Yun1408	Cettia.flavolivacea
Cettia.flavolivacea_intricata_Y1	Cettia.flavolivacea
Cettia.flavolivacea_oblita_Fansipan1	Cettia.flavolivacea
Cettia.flavolivacea_oblita_Fansipan2	Cettia.flavolivacea
Cettia.vulcania_oreophila_Kinab11	Cettia.vulcania
Cettia.vulcania_flaviventris_Ker12	Cettia.vulcania
Cettia.vulcania_flaviventris_Ker13	Cettia.vulcania
Cettia.vulcania_flaviventris_Ker14	Cettia.vulcania
Cettia.vulcania_vulcania_Java	Cettia.vulcania
Cettia.pallidipes_pallidipes_Nep1608	Cettia.pallidipes
Cettia.pallidipes_laurentei_Thai	Cettia.pallidipes
