Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	birth_rate	diversification	turnover	death_rate	root_time	tmrca_Urs	tmrca_UrsPinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
0	-4876.16	-4826.69	-49.4709	0.251651	0.352563	0.285743	0.110043	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.905917	0.0509807	0.0168801	0.32671	0.0210813	0.548629	0.0357193
10	-3898.88	-3850.18	-48.7056	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.667335	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
20	-3831.28	-3782.87	-48.4101	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.540958	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
30	-3557.96	-3509.8	-48.1581	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.406537	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
40	-3557.96	-3509.8	-48.1581	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.406537	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
50	-3557.96	-3509.8	-48.1581	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.406537	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
60	-3557.96	-3509.8	-48.1581	0.171322	0.345297	0.279854	0.203527	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.406537	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
70	-3471.84	-3423.79	-48.0549	0.150067	0.348381	0.282354	0.219198	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.324083	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
80	-3471.84	-3423.79	-48.0549	0.150067	0.348381	0.282354	0.219198	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.324083	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
90	-3471.84	-3423.79	-48.0549	0.150067	0.348381	0.282354	0.219198	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.324083	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
100	-3471.84	-3423.79	-48.0549	0.150067	0.348381	0.282354	0.219198	0.0288044	0.01	0.65283	0.0188044	80.5842	19.2129	39.6625	0.324083	0.0388327	0.104515	0.248859	0.0160579	0.564528	0.0272079
