state	power	likelihood
2600	1	-5110.94
2700	1	-5117.68
2800	1	-5116.96
2900	1	-5112.73
3000	1	-5114.68
3100	1	-5110.18
3200	1	-5108.92
3300	1	-5108.09
3400	1	-5111.46
3500	1	-5117.78
3600	1	-5115.07
3700	1	-5114.95
3800	1	-5112.79
3900	1	-5109.51
4000	1	-5117.74
4100	1	-5110.2
4200	1	-5119.51
4300	1	-5108.81
4400	1	-5113.2
4500	1	-5108.59
4600	1	-5110.48
4700	1	-5109.73
4800	1	-5112.98
4900	1	-5114.84
5000	1	-5120.02
5100	1	-5114.05
5200	1	-5111.2
5300	1	-5120.23
5400	1	-5110.83
5500	1	-5117.23
5600	1	-5112.07
5700	1	-5110.2
5800	1	-5118.23
5900	1	-5120.85
6000	1	-5117.87
6100	1	-5110.93
6200	1	-5109.25
6300	1	-5122.32
6400	1	-5111.96
6500	1	-5111.73
6600	1	-5103.05
6700	1	-5116.86
6800	1	-5115.86
6900	1	-5107.77
7000	1	-5112.54
7100	1	-5104.49
7200	1	-5116.68
7300	1	-5105.54
7400	1	-5107.98
7500	1	-5118.35
7600	1	-5109.01
7700	1	-5116.69
7800	1	-5116.44
7900	1	-5102.94
8000	1	-5120.48
8100	1	-5106.57
8200	1	-5113.38
8300	1	-5109.09
8400	1	-5107.52
8500	1	-5117.61
8600	1	-5108.79
8700	1	-5117.92
8800	1	-5105.05
8900	1	-5108.59
9000	1	-5113.3
9100	1	-5110.43
9200	1	-5109.97
9300	1	-5115.68
9400	1	-5112.28
9500	1	-5110.43
9600	1	-5116.97
9700	1	-5108.88
9800	1	-5113.78
9900	1	-5107.69
10000	1	-5119.42
2600	0.967054	-5117.01
2700	0.967054	-5109.28
2800	0.967054	-5112.59
2900	0.967054	-5107.42
3000	0.967054	-5105.71
3100	0.967054	-5112.76
3200	0.967054	-5114.24
3300	0.967054	-5123.04
3400	0.967054	-5112.36
3500	0.967054	-5120.18
3600	0.967054	-5114.81
3700	0.967054	-5107.03
3800	0.967054	-5118.96
3900	0.967054	-5112.74
4000	0.967054	-5120.78
4100	0.967054	-5115.02
4200	0.967054	-5117.94
4300	0.967054	-5112.32
4400	0.967054	-5130.57
4500	0.967054	-5114.77
4600	0.967054	-5108.84
4700	0.967054	-5121.89
4800	0.967054	-5107.71
4900	0.967054	-5115.1
5000	0.967054	-5112.86
5100	0.967054	-5117.01
5200	0.967054	-5119.05
5300	0.967054	-5115.62
5400	0.967054	-5111.31
5500	0.967054	-5114.55
5600	0.967054	-5118.52
5700	0.967054	-5117.78
5800	0.967054	-5110.02
5900	0.967054	-5103.69
6000	0.967054	-5111.04
6100	0.967054	-5112.43
6200	0.967054	-5115.63
6300	0.967054	-5119.34
6400	0.967054	-5110.14
6500	0.967054	-5107.41
6600	0.967054	-5113.77
6700	0.967054	-5114.6
6800	0.967054	-5113.59
6900	0.967054	-5114.18
7000	0.967054	-5113.06
7100	0.967054	-5117.64
7200	0.967054	-5111.21
7300	0.967054	-5111.28
7400	0.967054	-5112.21
7500	0.967054	-5118.8
7600	0.967054	-5110.8
7700	0.967054	-5118.66
7800	0.967054	-5106.88
7900	0.967054	-5111.39
8000	0.967054	-5117.04
8100	0.967054	-5111.24
8200	0.967054	-5117.24
8300	0.967054	-5112.94
8400	0.967054	-5111.45
8500	0.967054	-5112.35
8600	0.967054	-5109.51
8700	0.967054	-5121.67
8800	0.967054	-5117.57
8900	0.967054	-5109.55
9000	0.967054	-5116.63
9100	0.967054	-5110.65
9200	0.967054	-5116.38
9300	0.967054	-5111.49
9400	0.967054	-5109.75
9500	0.967054	-5120.58
9600	0.967054	-5115.65
9700	0.967054	-5107.96
9800	0.967054	-5113.02
9900	0.967054	-5114.68
10000	0.967054	-5117.43
2600	0.934875	-5108.55
2700	0.934875	-5112.62
2800	0.934875	-5126.51
2900	0.934875	-5109.66
3000	0.934875	-5111.54
3100	0.934875	-5111.33
3200	0.934875	-5123.29
3300	0.934875	-5115.47
3400	0.934875	-5112.8
3500	0.934875	-5118.47
3600	0.934875	-5121.76
3700	0.934875	-5113.62
3800	0.934875	-5109.81
3900	0.934875	-5111.71
4000	0.934875	-5107.83
4100	0.934875	-5117.14
4200	0.934875	-5113.84
4300	0.934875	-5117.13
4400	0.934875	-5112.58
4500	0.934875	-5112.68
4600	0.934875	-5112.76
4700	0.934875	-5109.89
4800	0.934875	-5111.43
4900	0.934875	-5110.07
5000	0.934875	-5115.47
5100	0.934875	-5104.56
5200	0.934875	-5112.42
5300	0.934875	-5116.03
5400	0.934875	-5103.71
5500	0.934875	-5116.22
5600	0.934875	-5119.67
5700	0.934875	-5116.34
5800	0.934875	-5111.48
5900	0.934875	-5110.92
6000	0.934875	-5118.03
6100	0.934875	-5116.1
6200	0.934875	-5110.25
6300	0.934875	-5114.34
6400	0.934875	-5116.53
6500	0.934875	-5120.87
6600	0.934875	-5115.22
6700	0.934875	-5110.42
6800	0.934875	-5110.28
6900	0.934875	-5117.24
7000	0.934875	-5118.8
7100	0.934875	-5111.73
7200	0.934875	-5121.16
7300	0.934875	-5110.74
7400	0.934875	-5111.42
7500	0.934875	-5111
7600	0.934875	-5114.33
7700	0.934875	-5111.82
7800	0.934875	-5113.09
7900	0.934875	-5113.17
8000	0.934875	-5114.49
8100	0.934875	-5113.31
8200	0.934875	-5125.6
8300	0.934875	-5122.81
8400	0.934875	-5120.3
8500	0.934875	-5117.94
8600	0.934875	-5111.4
8700	0.934875	-5116.17
8800	0.934875	-5111.24
8900	0.934875	-5110.35
9000	0.934875	-5109.58
9100	0.934875	-5112.9
9200	0.934875	-5116.43
9300	0.934875	-5116.06
9400	0.934875	-5112.06
9500	0.934875	-5123.77
9600	0.934875	-5117.28
9700	0.934875	-5113.93
9800	0.934875	-5112.17
9900	0.934875	-5111
10000	0.934875	-5113.52
2600	0.903453	-5120.76
2700	0.903453	-5112.23
2800	0.903453	-5125.5
2900	0.903453	-5104.69
3000	0.903453	-5107.94
3100	0.903453	-5108.01
3200	0.903453	-5112.58
3300	0.903453	-5117.49
3400	0.903453	-5114.26
3500	0.903453	-5128.18
3600	0.903453	-5118.48
3700	0.903453	-5121.67
3800	0.903453	-5110.54
3900	0.903453	-5120.87
4000	0.903453	-5111.91
4100	0.903453	-5109.63
4200	0.903453	-5122.02
4300	0.903453	-5110.05
4400	0.903453	-5118.43
4500	0.903453	-5116.71
4600	0.903453	-5110.13
4700	0.903453	-5114.98
4800	0.903453	-5122.14
4900	0.903453	-5110.88
5000	0.903453	-5115.51
5100	0.903453	-5105.24
5200	0.903453	-5115.95
5300	0.903453	-5111.11
5400	0.903453	-5117.54
5500	0.903453	-5119.67
5600	0.903453	-5115.4
5700	0.903453	-5105.86
5800	0.903453	-5115.82
5900	0.903453	-5118.33
6000	0.903453	-5112.8
6100	0.903453	-5107.01
6200	0.903453	-5108.62
6300	0.903453	-5110.86
6400	0.903453	-5111.17
6500	0.903453	-5110.97
6600	0.903453	-5122.8
6700	0.903453	-5115.85
6800	0.903453	-5110.15
6900	0.903453	-5124.13
7000	0.903453	-5116.34
7100	0.903453	-5116.79
7200	0.903453	-5113.31
7300	0.903453	-5115.49
7400	0.903453	-5121.89
7500	0.903453	-5120.15
7600	0.903453	-5120.57
7700	0.903453	-5115.14
7800	0.903453	-5112.13
7900	0.903453	-5107.69
8000	0.903453	-5116.19
8100	0.903453	-5109.38
8200	0.903453	-5114.2
8300	0.903453	-5110.82
8400	0.903453	-5113.83
8500	0.903453	-5115.18
8600	0.903453	-5109.95
8700	0.903453	-5107.72
8800	0.903453	-5118.82
8900	0.903453	-5117.35
9000	0.903453	-5115.29
9100	0.903453	-5119.67
9200	0.903453	-5110.33
9300	0.903453	-5117.03
9400	0.903453	-5108.03
9500	0.903453	-5107.65
9600	0.903453	-5121.88
9700	0.903453	-5116.73
9800	0.903453	-5109.21
9900	0.903453	-5108.02
10000	0.903453	-5128.27
2600	0.872779	-5112.07
2700	0.872779	-5117.28
2800	0.872779	-5116.25
2900	0.872779	-5118.79
3000	0.872779	-5105.73
3100	0.872779	-5118.68
3200	0.872779	-5113.01
3300	0.872779	-5115.16
3400	0.872779	-5119.15
3500	0.872779	-5119.7
3600	0.872779	-5117.51
3700	0.872779	-5127.23
3800	0.872779	-5109.96
3900	0.872779	-5117.24
4000	0.872779	-5121.65
4100	0.872779	-5117.01
4200	0.872779	-5124.05
4300	0.872779	-5118.69
4400	0.872779	-5120.95
4500	0.872779	-5113.52
4600	0.872779	-5120.91
4700	0.872779	-5118.51
4800	0.872779	-5112.02
4900	0.872779	-5108.37
5000	0.872779	-5119.13
5100	0.872779	-5111.05
5200	0.872779	-5112.96
5300	0.872779	-5108.93
5400	0.872779	-5112.25
5500	0.872779	-5115.26
5600	0.872779	-5110.91
5700	0.872779	-5125.25
5800	0.872779	-5118.83
5900	0.872779	-5108.08
6000	0.872779	-5110.54
6100	0.872779	-5110.87
6200	0.872779	-5114.09
6300	0.872779	-5125.15
6400	0.872779	-5117.7
6500	0.872779	-5111.34
6600	0.872779	-5120.32
6700	0.872779	-5113.42
6800	0.872779	-5118.37
6900	0.872779	-5110.4
7000	0.872779	-5111.7
7100	0.872779	-5115.79
7200	0.872779	-5112.98
7300	0.872779	-5118.68
7400	0.872779	-5112.1
7500	0.872779	-5111.35
7600	0.872779	-5116.28
7700	0.872779	-5114.12
7800	0.872779	-5119.82
7900	0.872779	-5117.43
8000	0.872779	-5116.34
8100	0.872779	-5107.37
8200	0.872779	-5125.08
8300	0.872779	-5119.44
8400	0.872779	-5114.68
