Iteration	Posterior	Likelihood	Prior	tree_length	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	shape[0]	shape[1]	shape[2]	shape[3]
0	-9560.09	-9577.63	17.5422	1.1912	0.0399634	0.0480475	0.0290891	0.0114603	0.8131	0.00944131	0.00726204	0.0360823	0.0674474	0.0468696	0.009993	0.036558	0.00823006	0.0163176	0.0113428	0.0970442	3.92567	4.67772	22.4458
10	-9561.68	-9579.91	18.2354	1.1866	0.0445922	0.0323994	0.0273056	0.0124043	0.826371	0.011105	0.00841849	0.0294794	0.0568715	0.0404759	0.021916	0.0424142	0.0076339	0.0176594	0.00754957	0.0979126	2.97725	3.85579	11.2743
20	-9567.96	-9584.78	16.8108	1.28446	0.0444183	0.0432898	0.0256674	0.0181445	0.915397	0.011105	0.010311	0.0422157	0.0546334	0.0443839	0.00512549	0.0406312	0.00416025	0.0157024	0.00927368	0.0681091	9.31711	10.5853	7.15394
30	-9560.37	-9577.21	16.8358	1.14876	0.0474225	0.0357943	0.0216415	0.008893	0.782803	0.0099072	0.00695248	0.0403756	0.0648262	0.0287007	0.00776394	0.0599485	0.00621678	0.015494	0.0120164	0.107059	20.0249	10.9262	22.7071
40	-9565.89	-9580.17	14.2857	1.17574	0.0497488	0.0355763	0.0253882	0.0114344	0.813575	0.00557203	0.00701094	0.034172	0.0537969	0.0466982	0.00600873	0.0502829	0.00479055	0.0243096	0.00737521	0.0986637	6.50366	4.67142	88.0956
50	-9555.01	-9573.05	18.0407	1.14098	0.0421133	0.0389461	0.0244232	0.00697136	0.783618	0.0119265	0.00714243	0.0278395	0.0619601	0.0372808	0.0139994	0.0479132	0.010576	0.0159795	0.0102876	0.100569	11.6122	4.53275	14.9764
60	-9564.51	-9577.54	13.0334	1.23589	0.0535015	0.0441787	0.023415	0.0182403	0.822091	0.0125255	0.00463597	0.0446196	0.0735054	0.0412166	0.0161871	0.042709	0.0101561	0.0216824	0.0072304	0.118751	28.7642	60.8021	22.6994
70	-9562.06	-9579.28	17.2159	1.11926	0.0360454	0.0365702	0.0257431	0.0131727	0.750606	0.00695078	0.00967719	0.0296784	0.0702476	0.0532119	0.00417704	0.0433666	0.0049762	0.024034	0.0108074	0.112211	4.98445	5.30887	41.6556
80	-9557.2	-9574.57	17.3751	1.14501	0.0486832	0.0353923	0.0300645	0.00768946	0.751927	0.013624	0.0115604	0.03656	0.0727066	0.0386043	0.0132575	0.0511412	0.00120218	0.0213069	0.0112936	0.112698	20.175	3.89126	19.548
90	-9555.31	-9571.91	16.5979	1.26047	0.0501805	0.0424306	0.0285911	0.0102647	0.873754	0.00767445	0.00613722	0.0425415	0.0602139	0.0480682	0.00883623	0.0524412	0.00247206	0.0134679	0.0133977	0.102076	4.51784	11.7203	19.8396
100	-9554.96	-9572.86	17.896	1.21534	0.0494034	0.0358607	0.0205907	0.0127224	0.839438	0.00707066	0.00964145	0.0450584	0.07163	0.0320709	0.00726238	0.0524002	0.00129102	0.0174496	0.0134522	0.106596	4.15746	4.96243	10.0168
110	-9563.7	-9580.54	16.8381	1.30345	0.0404381	0.0444386	0.0245512	0.0108121	0.910918	0.012756	0.00926548	0.0485451	0.0715595	0.0390297	0.0150777	0.0459594	0.00133729	0.0200545	0.00870834	0.101541	2.23422	16.9074	3.53647
120	-9560.15	-9578.02	17.8694	1.14921	0.0469446	0.0380793	0.0351673	0.00813631	0.758678	0.0134178	0.00891153	0.0423791	0.070341	0.0410863	0.00571424	0.0365312	0.0154758	0.0202165	0.00812989	0.0931469	14.7286	9.37893	8.80161
130	-9565.36	-9582.8	17.4399	1.09859	0.0517098	0.0385572	0.0233374	0.0112929	0.751023	0.00713052	0.0108064	0.0335531	0.0546435	0.0339787	0.00824505	0.0213141	0.0196802	0.0212544	0.0120654	0.10169	6.40648	16.3486	28.8596
140	-9552.77	-9568.02	15.2555	1.22895	0.0407319	0.0393936	0.0233374	0.0101853	0.865763	0.0102637	0.00871853	0.0368299	0.0638031	0.0344942	0.00824505	0.0322455	0.0262469	0.0166235	0.0120654	0.0913568	4.27635	12.6682	52.2975
150	-9564.54	-9582.62	18.0743	1.1383	0.0467255	0.0340485	0.0247882	0.0113407	0.785615	0.0119646	0.00782695	0.0286281	0.0662831	0.0269246	0.00787102	0.0361853	0.0173916	0.0175674	0.0151401	0.0769251	8.84445	14.1291	8.03517
160	-9571.23	-9587.08	15.8433	1.10164	0.0378887	0.0345425	0.0202006	0.0129556	0.727521	0.00926569	0.0111266	0.0449301	0.0679459	0.0466007	0.00821719	0.0344318	0.0249868	0.0132458	0.00777777	0.112424	52.1409	23.1744	7.61085
170	-9562.9	-9579.53	16.6325	1.08893	0.0457422	0.0450372	0.0250199	0.0129556	0.688815	0.00832045	0.0099975	0.0432981	0.0837923	0.0380712	0.00681926	0.0310993	0.0249868	0.0146994	0.0102734	0.126904	15.9387	27.1665	26.5643
180	-9554.49	-9571.72	17.2362	1.18485	0.0525047	0.0428022	0.0274957	0.0125288	0.820751	0.0114915	0.00702041	0.0314581	0.0624319	0.0351677	0.00519641	0.0257173	0.0221831	0.0169689	0.0111371	0.095652	3.12293	8.75422	26.5643
190	-9558.24	-9573.62	15.3849	1.25429	0.0498758	0.0406738	0.0294208	0.00821062	0.867667	0.00944652	0.0143391	0.0401329	0.0690692	0.0395508	0.0108073	0.0203052	0.0278715	0.0208703	0.00604989	0.122294	5.51068	44.0852	11.9576
200	-9551.89	-9569.2	17.3059	1.23639	0.0469909	0.0443513	0.0222593	0.0118965	0.855224	0.0107979	0.0106669	0.0420101	0.0693411	0.0362708	0.00984796	0.0298472	0.0177603	0.0169347	0.0121916	0.112633	3.06014	8.88823	14.7741
210	-9564.09	-9580.63	16.5312	1.26424	0.0429569	0.0465623	0.0275511	0.0215627	0.878855	0.0097468	0.00694187	0.0372572	0.0635512	0.0416647	0.00838757	0.0473457	0.00953471	0.0160157	0.00630944	0.0889638	3.89431	16.4189	16.3577
220	-9556.7	-9572.23	15.5312	1.30458	0.0562947	0.0442652	0.0232761	0.0120181	0.901823	0.00920773	0.00848447	0.0421244	0.0785753	0.0381628	0.00503107	0.0526394	0.000824907	0.0209357	0.0109196	0.0909349	3.34037	21.6794	23.5805
230	-9551.24	-9568.64	17.4	1.25552	0.043506	0.0438352	0.0244246	0.00661754	0.875255	0.00765489	0.0112352	0.0425345	0.0645587	0.0435995	0.0121762	0.0525886	0.000829493	0.0152039	0.0114989	0.0952581	4.2903	9.29301	7.44925
240	-9564.71	-9582.61	17.8983	1.20214	0.04494	0.0472647	0.0252142	0.0100442	0.807497	0.00637006	0.00671786	0.0480655	0.0635677	0.0502929	0.0066966	0.0336892	0.0183738	0.0178662	0.0155413	0.0839033	2.27721	10.7639	8.71355
250	-9563.95	-9578.61	14.6598	1.2084	0.0454047	0.0462804	0.0194552	0.0161699	0.819931	0.0142264	0.00862557	0.0344333	0.0614177	0.0447465	0.00770539	0.0359625	0.0175753	0.020927	0.0155413	0.1178	37.1696	5.74812	42.3201
260	-9553.3	-9571.38	18.0821	1.20669	0.0552926	0.0378733	0.0233313	0.00714067	0.827653	0.0122644	0.0100174	0.0371663	0.0673307	0.0418518	0.00867602	0.0385026	0.0113397	0.0188634	0.00938892	0.0976712	3.97026	2.93715	10.2458
270	-9560.07	-9574.26	14.1924	1.18934	0.0470106	0.0457058	0.0257158	0.00727963	0.816509	0.00957429	0.00810135	0.0329382	0.0682009	0.0360064	0.00951763	0.0277841	0.023196	0.0229401	0.00886132	0.0962181	35.0029	39.0247	24.3927
280	-9558.41	-9573.31	14.9038	1.16044	0.0409292	0.0472976	0.0250012	0.0082416	0.782966	0.00982722	0.00654246	0.0349316	0.0651688	0.0419917	0.00444087	0.0352425	0.023196	0.023095	0.0115661	0.103526	45.0051	13.9451	31.0144
