Iteration	Posterior	Likelihood	Prior	tree_length	shape[0]	shape[1]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]
0	-9638.26	-9649.34	11.0889	1.25064	0.0973709	4.88808	0.0585291	0.0268996	0.0404703	0.00956607	0.0136051	0.875059	0.0247082	0.0547334	0.00865165	0.0198138	0.0364334	0.00834949	0.00879748	0.0472663	0.0177569
10	-9638.91	-9650.67	11.7606	1.18554	0.110296	4.46126	0.0571014	0.0428615	0.0401274	0.0105024	0.0119328	0.80106	0.019738	0.0545224	0.00600735	0.026748	0.0354687	0.00785462	0.0110242	0.0428372	0.0177569
20	-9648.53	-9659.79	11.2666	1.23357	0.113691	4.73178	0.0655318	0.0381077	0.0401274	0.0153586	0.0124265	0.838499	0.0198859	0.0515079	0.00789825	0.0230181	0.0353132	0.00568214	0.00929081	0.0328508	0.0380707
30	-9642.84	-9654.62	11.7806	1.15258	0.115298	10.6484	0.0669375	0.046365	0.0398669	0.0110378	0.0165056	0.780068	0.0221244	0.0422212	0.00694554	0.0154216	0.00835889	0.00720733	0.00884115	0.0403814	0.0402926
40	-9638.73	-9651.43	12.6983	1.03729	0.124784	15.3414	0.0578906	0.0326455	0.0392183	0.00642872	0.00690315	0.677174	0.0223479	0.0502453	0.0117533	0.0178874	0.0206335	0.00533297	0.0155606	0.0418958	0.0313778
50	-9635.94	-9647.82	11.8762	1.17864	0.114965	3.5246	0.0652794	0.035938	0.0411688	0.00570927	0.00950722	0.805783	0.0221765	0.0502453	0.0118699	0.018093	0.0158357	0.00608429	0.00957613	0.0454531	0.0359203
60	-9637.59	-9648.73	11.1371	1.25802	0.0855898	2.45978	0.066906	0.0466664	0.0435331	0.0100556	0.0130203	0.868051	0.0208937	0.0436437	0.0100661	0.0196399	0.0238966	0.013668	0.0089488	0.0392622	0.0297647
70	-9642.08	-9653.03	10.9421	1.21113	0.103752	15.7192	0.0663148	0.0262585	0.0525997	0.00952715	0.0126504	0.846385	0.0203909	0.0512945	0.00681816	0.0188975	0.0148568	0.00643893	0.00768185	0.0392622	0.0317576
80	-9637.65	-9649.8	12.1583	1.13506	0.111668	6.60225	0.0644383	0.0351426	0.041745	0.0124692	0.0149502	0.775135	0.0220433	0.0399916	0.0107535	0.0153617	0.0130522	0.00718069	0.00726844	0.0459504	0.0295776
90	-9640.68	-9653.05	12.3769	1.1066	0.11307	7.9213	0.0680576	0.0320473	0.0403387	0.0069197	0.00957272	0.711918	0.0255234	0.0618255	0.0131192	0.0197202	0.021791	0.0066492	0.00911854	0.0475971	0.0323991
100	-9640.06	-9651.53	11.4622	1.20485	0.0998366	6.57791	0.060326	0.0266294	0.0514301	0.00982713	0.0101122	0.832332	0.0293783	0.0482422	0.010206	0.0229383	0.0393413	0.0057724	0.0129722	0.0333772	0.0119645
110	-9645.4	-9657.2	11.7988	1.1888	0.109488	3.04503	0.0743651	0.0381936	0.0399139	0.00751369	0.0154146	0.793967	0.0183667	0.058288	0.0137324	0.0211173	0.0343178	0.00851199	0.0116388	0.0409432	0.0125207
