Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
0	-9883.61	-9894.98	11.3614	0.276621	0.1892	0.238883	0.295296	0.125184	0.276294	0.0580553	0.0493392	0.415273	0.0758548	0.045774	0.291646	0.861766	2.80081	0.563977	0.0593116	0.0225682	0.550639	0.0362789	0.00884855	0.0326708	0.00478945	0.0120455	0.0373846	0.0350693	0.0101214	0.0195309	0.0229461	0.0261509	0.00878997	0.887145
10	-9892	-9903.67	11.6723	0.279121	0.181989	0.236391	0.302499	0.120317	0.265552	0.0684052	0.0362132	0.440049	0.0694645	0.0711648	0.356768	0.919503	2.65256	0.685831	0.0584686	0.0155545	0.516616	0.037044	0.00839406	0.0476009	0.00822756	0.0100809	0.0382628	0.0314393	0.0107655	0.0184787	0.0235212	0.0243059	0.00668953	0.85545
20	-9883.56	-9894.91	11.3489	0.277392	0.187355	0.232012	0.303241	0.122932	0.285148	0.0523142	0.0535671	0.415064	0.0709746	0.0593388	0.328518	0.895863	2.71628	0.629953	0.0633637	0.0272931	0.540264	0.0385362	0.0126361	0.0367584	0.00811044	0.0127104	0.0352514	0.0355873	0.0107655	0.0132346	0.0251658	0.0189504	0.00944057	0.888068
30	-9888.72	-9899.83	11.1094	0.29104	0.184561	0.23717	0.28723	0.116215	0.231956	0.0421193	0.0579383	0.483538	0.0682331	0.0625575	0.336516	0.902763	2.69816	0.645261	0.0691715	0.0237329	0.550254	0.0381338	0.0107459	0.0337428	0.0109007	0.00873384	0.0496695	0.0469782	0.00337314	0.018724	0.0301892	0.00814821	0.00944057	0.911938
40	-9889.19	-9899.67	10.484	0.288087	0.19946	0.237698	0.274755	0.115711	0.248553	0.0520823	0.0494749	0.460891	0.0732885	0.0537462	0.313986	0.882888	2.74938	0.603091	0.0643058	0.0187523	0.598395	0.0495105	0.0105821	0.0406142	0.0117048	0.0149618	0.0435871	0.0339987	0.00766962	0.0176807	0.0309738	0.0205983	0.0113571	0.974692
50	-9884.37	-9894.67	10.3014	0.285256	0.200638	0.22881	0.285296	0.113009	0.265308	0.0508662	0.0483197	0.45092	0.0715773	0.0384369	0.268989	0.838764	2.85381	0.5267	0.0599481	0.0254057	0.62053	0.039225	0.0134011	0.0403906	0.00891051	0.0100328	0.0502129	0.0397898	0.00766962	0.0217066	0.0274882	0.0205983	0.00801758	0.993327
60	-9884.98	-9896.44	11.4582	0.28543	0.194239	0.224859	0.295472	0.126563	0.266896	0.055298	0.0558503	0.407416	0.0879774	0.0703416	0.354897	0.917999	2.65676	0.681969	0.0708109	0.0220959	0.510649	0.0459218	0.0120729	0.03349	0.00655176	0.0100051	0.0379883	0.0349402	0.00400705	0.0194196	0.0443674	0.0134325	0.0111252	0.876878
70	-9889.23	-9900.66	11.4256	0.293129	0.189302	0.219372	0.298197	0.10694	0.27842	0.0453913	0.0407504	0.456015	0.0724836	0.063796	0.339529	0.905318	2.69136	0.651128	0.060197	0.029683	0.538235	0.0352438	0.00748351	0.0270253	0.0100146	0.00955065	0.04349	0.0433349	0.00595132	0.0130881	0.0357523	0.0101118	0.0111252	0.880286
80	-9882.69	-9893.99	11.2927	0.283671	0.200624	0.22713	0.288575	0.123576	0.276901	0.0400146	0.0563159	0.426322	0.0768702	0.079883	0.375828	0.934351	2.60994	0.72663	0.0617822	0.0219171	0.54496	0.042734	0.012049	0.0342608	0.00731565	0.0105772	0.0408222	0.037267	0.0041361	0.0181117	0.0346688	0.0114757	0.0111204	0.893198
90	-9894.54	-9906.85	12.3091	0.28521	0.192928	0.225256	0.296606	0.130854	0.294979	0.0428207	0.057897	0.39156	0.081889	0.0756142	0.366662	0.927316	2.63041	0.706673	0.0523289	0.0219171	0.445309	0.0455767	0.00816755	0.0412628	0.00940298	0.0078048	0.0336513	0.0445676	0.0134743	0.0158623	0.0202026	0.0209734	0.0111556	0.791657
