state	power	likelihood
300	1	-9580.51
400	1	-9575.62
500	1	-9573.33
600	1	-9572.72
700	1	-9576.79
800	1	-9582.21
900	1	-9576.94
1000	1	-9579.57
300	0.934875	-9581.12
400	0.934875	-9584.67
500	0.934875	-9583.58
600	0.934875	-9572.58
700	0.934875	-9582.25
800	0.934875	-9578.57
900	0.934875	-9582.46
1000	0.934875	-9577.38
300	0.872779	-9581.14
400	0.872779	-9582.64
500	0.872779	-9576.96
600	0.872779	-9569.95
700	0.872779	-9582.04
800	0.872779	-9579.28
900	0.872779	-9579.68
1000	0.872779	-9588.6
300	0.813628	-9586.67
400	0.813628	-9577.56
500	0.813628	-9591.44
600	0.813628	-9574.65
700	0.813628	-9583.26
800	0.813628	-9583.8
900	0.813628	-9591.45
1000	0.813628	-9575.9
300	0.757343	-9585.58
400	0.757343	-9590.07
500	0.757343	-9596.83
600	0.757343	-9587.48
700	0.757343	-9578.53
800	0.757343	-9596.04
900	0.757343	-9584.82
1000	0.757343	-9581.85
300	0.703842	-9594.08
400	0.703842	-9592.29
500	0.703842	-9586.08
600	0.703842	-9589.06
700	0.703842	-9588.42
800	0.703842	-9583.4
900	0.703842	-9577.46
1000	0.703842	-9586.71
300	0.653044	-9589.12
400	0.653044	-9593.72
500	0.653044	-9588.99
600	0.653044	-9601.68
700	0.653044	-9605.85
800	0.653044	-9583.89
900	0.653044	-9605.26
1000	0.653044	-9596.15
300	0.604869	-9611.53
400	0.604869	-9609.92
500	0.604869	-9608.76
600	0.604869	-9604.23
700	0.604869	-9595.28
800	0.604869	-9583.3
900	0.604869	-9589.13
1000	0.604869	-9596.59
300	0.559239	-9606.51
400	0.559239	-9598.72
500	0.559239	-9595.84
600	0.559239	-9605.42
700	0.559239	-9585.68
800	0.559239	-9590.67
900	0.559239	-9590.33
1000	0.559239	-9598.69
300	0.516075	-9591.86
400	0.516075	-9626.86
500	0.516075	-9588.57
600	0.516075	-9590.33
700	0.516075	-9599.5
800	0.516075	-9620
900	0.516075	-9598.46
1000	0.516075	-9611.7
300	0.475299	-9598.05
400	0.475299	-9601.14
500	0.475299	-9591.99
600	0.475299	-9607.96
700	0.475299	-9628.57
800	0.475299	-9583.66
900	0.475299	-9598.89
1000	0.475299	-9609.37
300	0.436833	-9582.14
400	0.436833	-9603.24
500	0.436833	-9598.25
600	0.436833	-9622.8
700	0.436833	-9615.3
800	0.436833	-9597.12
900	0.436833	-9609.26
1000	0.436833	-9597.41
300	0.400601	-9605.22
400	0.400601	-9626.39
500	0.400601	-9613.01
600	0.400601	-9632.08
700	0.400601	-9630.14
800	0.400601	-9614.63
900	0.400601	-9605.07
1000	0.400601	-9606.47
300	0.366527	-9621.77
400	0.366527	-9603.33
500	0.366527	-9633.02
600	0.366527	-9627.09
700	0.366527	-9597.52
800	0.366527	-9611.38
900	0.366527	-9637.52
1000	0.366527	-9623.97
300	0.334535	-9633.27
400	0.334535	-9626.7
500	0.334535	-9639.33
600	0.334535	-9636.22
700	0.334535	-9643.45
800	0.334535	-9628.93
900	0.334535	-9632.69
1000	0.334535	-9629.61
300	0.304551	-9642.39
400	0.304551	-9694.05
500	0.304551	-9630.13
600	0.304551	-9680.63
700	0.304551	-9659.26
800	0.304551	-9616.87
900	0.304551	-9633.37
1000	0.304551	-9646.15
300	0.276501	-9616.56
400	0.276501	-9638.02
500	0.276501	-9664.96
600	0.276501	-9705.7
700	0.276501	-9629.35
800	0.276501	-9648.82
900	0.276501	-9620.85
1000	0.276501	-9644.07
300	0.250311	-9669.96
400	0.250311	-9651.21
500	0.250311	-9674.14
600	0.250311	-9638.1
700	0.250311	-9639.18
800	0.250311	-9626.51
900	0.250311	-9662.91
1000	0.250311	-9634.38
300	0.225909	-9637.72
400	0.225909	-9658.2
500	0.225909	-9685.85
600	0.225909	-9672.86
700	0.225909	-9667.73
800	0.225909	-9671.71
900	0.225909	-9687.34
1000	0.225909	-9619.82
300	0.203223	-9714.35
400	0.203223	-9672.68
500	0.203223	-9705.19
600	0.203223	-9663.72
700	0.203223	-9695.06
800	0.203223	-9666.64
900	0.203223	-9641.04
1000	0.203223	-9693.32
300	0.182181	-9680.74
400	0.182181	-9695.87
500	0.182181	-9684.66
600	0.182181	-9640.26
700	0.182181	-9679.13
800	0.182181	-9665.74
900	0.182181	-9682.52
1000	0.182181	-9678.2
300	0.162715	-9697.06
400	0.162715	-9734.85
500	0.162715	-9681.57
600	0.162715	-9694.96
700	0.162715	-9715.38
800	0.162715	-9671.53
900	0.162715	-9711.54
1000	0.162715	-9751.46
300	0.144753	-9695.54
400	0.144753	-9769.12
500	0.144753	-9706.5
600	0.144753	-9672.36
700	0.144753	-9643.05
800	0.144753	-9690.5
900	0.144753	-9732.5
1000	0.144753	-9703.07
300	0.128227	-9675.77
400	0.128227	-9773.2
500	0.128227	-9720.66
600	0.128227	-9777.9
700	0.128227	-9763.51
800	0.128227	-9774.8
900	0.128227	-9771.57
1000	0.128227	-9706.27
300	0.113069	-9823.41
400	0.113069	-9768.54
500	0.113069	-9900.01
600	0.113069	-9795.63
700	0.113069	-9735.69
800	0.113069	-9828.86
900	0.113069	-9786.14
1000	0.113069	-9880.2
300	0.0992126	-9791.24
400	0.0992126	-9799.63
500	0.0992126	-9746.35
600	0.0992126	-9828.62
700	0.0992126	-9874.1
800	0.0992126	-9764.2
900	0.0992126	-9780.26
1000	0.0992126	-9845.87
300	0.0865906	-9853.02
400	0.0865906	-9813.09
500	0.0865906	-9834.35
600	0.0865906	-9871.37
700	0.0865906	-9852.85
800	0.0865906	-9921
900	0.0865906	-9767.57
1000	0.0865906	-9852.47
300	0.0751379	-9920.97
400	0.0751379	-9930.08
500	0.0751379	-9865.3
600	0.0751379	-9845.98
700	0.0751379	-9879.67
800	0.0751379	-9871.78
900	0.0751379	-9820.39
1000	0.0751379	-9930.55
300	0.0647902	-9951.87
400	0.0647902	-9975.61
500	0.0647902	-9795.41
600	0.0647902	-9923.11
700	0.0647902	-10017.1
800	0.0647902	-9971.57
900	0.0647902	-9870.84
1000	0.0647902	-9927.09
300	0.0554836	-10041.6
400	0.0554836	-9882.67
500	0.0554836	-9931
600	0.0554836	-10039.7
700	0.0554836	-9919.3
800	0.0554836	-10286.7
900	0.0554836	-10003.3
1000	0.0554836	-9992.88
300	0.0471556	-10196.7
400	0.0471556	-10121.5
500	0.0471556	-10082.5
600	0.0471556	-10161
700	0.0471556	-10045.5
800	0.0471556	-9971.73
900	0.0471556	-10050.6
1000	0.0471556	-10141.4
300	0.0397447	-10094
400	0.0397447	-10305.8
500	0.0397447	-10313.5
600	0.0397447	-9958.62
