state	power	likelihood
300	1	-9651.8
400	1	-9652.2
500	1	-9650.3
600	1	-9656.45
700	1	-9646.62
800	1	-9653.07
900	1	-9648.82
1000	1	-9650.57
300	0.934875	-9656.91
400	0.934875	-9652.65
500	0.934875	-9658.48
600	0.934875	-9656.27
700	0.934875	-9647.82
800	0.934875	-9653.46
900	0.934875	-9645
1000	0.934875	-9650.95
300	0.872779	-9654.47
400	0.872779	-9650.67
500	0.872779	-9662.92
600	0.872779	-9656.77
700	0.872779	-9652.98
800	0.872779	-9656.13
900	0.872779	-9656.76
1000	0.872779	-9660.16
300	0.813628	-9651.77
400	0.813628	-9656.13
500	0.813628	-9653.4
600	0.813628	-9655.41
700	0.813628	-9654.09
800	0.813628	-9652.53
900	0.813628	-9655.58
1000	0.813628	-9659.51
300	0.757343	-9656.28
400	0.757343	-9658.13
500	0.757343	-9647.67
600	0.757343	-9662.3
700	0.757343	-9665.38
800	0.757343	-9651.19
900	0.757343	-9653.35
1000	0.757343	-9658.23
300	0.703842	-9650.2
400	0.703842	-9657.94
500	0.703842	-9660.03
600	0.703842	-9658.16
700	0.703842	-9658.76
800	0.703842	-9664.37
900	0.703842	-9663.8
1000	0.703842	-9665.85
300	0.653044	-9654.09
400	0.653044	-9653.7
500	0.653044	-9654.67
600	0.653044	-9659.17
700	0.653044	-9655.88
800	0.653044	-9661.37
900	0.653044	-9666.13
1000	0.653044	-9662.34
300	0.604869	-9658.6
400	0.604869	-9657.74
500	0.604869	-9673.22
600	0.604869	-9659.11
700	0.604869	-9657.17
800	0.604869	-9667.41
900	0.604869	-9659.67
1000	0.604869	-9670.93
300	0.559239	-9659.09
400	0.559239	-9657.59
500	0.559239	-9659.66
600	0.559239	-9670.29
700	0.559239	-9661.69
800	0.559239	-9661.9
900	0.559239	-9664.44
1000	0.559239	-9671.6
300	0.516075	-9673.27
400	0.516075	-9667.14
500	0.516075	-9662.65
600	0.516075	-9668.54
700	0.516075	-9661.92
800	0.516075	-9670.81
900	0.516075	-9672.8
1000	0.516075	-9684.32
300	0.475299	-9672.99
400	0.475299	-9663.43
500	0.475299	-9665.78
600	0.475299	-9678.48
700	0.475299	-9674.76
800	0.475299	-9683.88
900	0.475299	-9669.43
1000	0.475299	-9672.13
300	0.436833	-9683.49
400	0.436833	-9671.72
500	0.436833	-9655.85
600	0.436833	-9663.74
700	0.436833	-9664.48
800	0.436833	-9681.15
900	0.436833	-9677.35
1000	0.436833	-9680.66
300	0.400601	-9672.77
400	0.400601	-9673.66
500	0.400601	-9668.9
600	0.400601	-9671.43
700	0.400601	-9680.58
800	0.400601	-9679.4
900	0.400601	-9677.21
1000	0.400601	-9671.48
300	0.366527	-9685.28
400	0.366527	-9721.51
500	0.366527	-9678.05
600	0.366527	-9671.64
700	0.366527	-9672.42
800	0.366527	-9679.27
900	0.366527	-9678.09
1000	0.366527	-9678.76
