state	power	likelihood
300	1	-9895.63
400	1	-9895.67
500	1	-9903.52
600	1	-9904.58
700	1	-9898.36
800	1	-9900.14
900	1	-9902.31
1000	1	-9899.92
300	0.934875	-9897.08
400	0.934875	-9901.06
500	0.934875	-9895.55
600	0.934875	-9893.57
700	0.934875	-9903.16
800	0.934875	-9897.17
900	0.934875	-9898.08
1000	0.934875	-9901.34
300	0.872779	-9894.8
400	0.872779	-9899.77
500	0.872779	-9895.68
600	0.872779	-9893.55
700	0.872779	-9901.42
800	0.872779	-9896.88
900	0.872779	-9905.82
1000	0.872779	-9901.32
300	0.813628	-9897.69
400	0.813628	-9896.09
500	0.813628	-9896.24
600	0.813628	-9900.41
700	0.813628	-9896.78
800	0.813628	-9897.36
900	0.813628	-9904.55
1000	0.813628	-9896.71
300	0.757343	-9911.99
400	0.757343	-9907.05
500	0.757343	-9899.61
600	0.757343	-9898.61
700	0.757343	-9899.76
800	0.757343	-9901.71
900	0.757343	-9902.82
1000	0.757343	-9897.58
300	0.703842	-9902
400	0.703842	-9909.13
500	0.703842	-9911.66
600	0.703842	-9905.45
700	0.703842	-9896.63
800	0.703842	-9903.98
900	0.703842	-9899.14
1000	0.703842	-9899.73
300	0.653044	-9913.27
400	0.653044	-9899.36
500	0.653044	-9908.39
600	0.653044	-9907.62
700	0.653044	-9909.57
800	0.653044	-9900.03
900	0.653044	-9909.63
1000	0.653044	-9902.77
300	0.604869	-9915.69
400	0.604869	-9896.85
500	0.604869	-9904.92
600	0.604869	-9904.92
700	0.604869	-9897.37
800	0.604869	-9909.3
900	0.604869	-9905.93
1000	0.604869	-9904.51
300	0.559239	-9906.64
400	0.559239	-9901.38
500	0.559239	-9912.56
600	0.559239	-9911
700	0.559239	-9909.04
800	0.559239	-9901
900	0.559239	-9922.37
1000	0.559239	-9915.51
300	0.516075	-9905.78
400	0.516075	-9905.43
500	0.516075	-9912.61
600	0.516075	-9904.67
700	0.516075	-9913.48
800	0.516075	-9922.59
900	0.516075	-9916.49
1000	0.516075	-9921.86
300	0.475299	-9919.01
400	0.475299	-9915.51
500	0.475299	-9918.03
600	0.475299	-9924.6
700	0.475299	-9905.52
800	0.475299	-9925.42
900	0.475299	-9908.3
1000	0.475299	-9915.72
300	0.436833	-9913.22
400	0.436833	-9928.82
500	0.436833	-9923.01
600	0.436833	-9922.34
700	0.436833	-9926.83
800	0.436833	-9917.75
900	0.436833	-9912.67
1000	0.436833	-9930.38
300	0.400601	-9917.7
400	0.400601	-9902.93
500	0.400601	-9909.04
600	0.400601	-9920.71
700	0.400601	-9921.14
800	0.400601	-9931.96
900	0.400601	-9919.62
1000	0.400601	-9918.34
300	0.366527	-9917.02
400	0.366527	-9918.11
500	0.366527	-9920.58
600	0.366527	-9922.16
700	0.366527	-9946.54
800	0.366527	-9914.95
900	0.366527	-9905.05
1000	0.366527	-9923.47
300	0.334535	-9928.53
400	0.334535	-9936.92
500	0.334535	-9931.32
600	0.334535	-9923.84
700	0.334535	-9916.26
800	0.334535	-9921.42
900	0.334535	-9924.23
1000	0.334535	-9930.57
300	0.304551	-9932.24
400	0.304551	-9921.11
500	0.304551	-9926.48
600	0.304551	-9941.02
700	0.304551	-9929.39
800	0.304551	-9932.25
900	0.304551	-9926.1
1000	0.304551	-9939.95
300	0.276501	-9943.47
400	0.276501	-9929.5
500	0.276501	-9947.37
600	0.276501	-9924.83
700	0.276501	-9926.19
800	0.276501	-9929.22
900	0.276501	-9939.59
1000	0.276501	-9933.08
300	0.250311	-9955.43
400	0.250311	-9940.02
500	0.250311	-9931.25
600	0.250311	-9939.53
700	0.250311	-9927.79
800	0.250311	-9921.07
900	0.250311	-9936.62
1000	0.250311	-9914.18
300	0.225909	-9970.54
400	0.225909	-9943.65
500	0.225909	-9964.19
600	0.225909	-9932.66
700	0.225909	-9934.5
800	0.225909	-9961.16
900	0.225909	-9924.39
1000	0.225909	-9963.1
300	0.203223	-9929.58
400	0.203223	-9942.49
500	0.203223	-9939.48
600	0.203223	-9973.89
700	0.203223	-9935.71
800	0.203223	-9947.75
900	0.203223	-9960.87
1000	0.203223	-9931.86
300	0.182181	-9981.75
400	0.182181	-9948.18
500	0.182181	-9972.76
600	0.182181	-9980.09
700	0.182181	-9984.14
800	0.182181	-9955.26
900	0.182181	-9958.7
1000	0.182181	-9942.87
300	0.162715	-9931.73
400	0.162715	-9954.74
500	0.162715	-9992.53
600	0.162715	-9968.4
700	0.162715	-10044.3
800	0.162715	-9950.68
900	0.162715	-9969.72
1000	0.162715	-9965.38
300	0.144753	-9966.67
400	0.144753	-9948.9
500	0.144753	-10026.3
600	0.144753	-9967.58
700	0.144753	-9959
800	0.144753	-9965.78
900	0.144753	-9998.76
1000	0.144753	-9965.92
300	0.128227	-9992.24
400	0.128227	-9990.41
500	0.128227	-9965.37
600	0.128227	-9989.42
700	0.128227	-9990.87
800	0.128227	-9981.45
900	0.128227	-10010.8
1000	0.128227	-10005.7
300	0.113069	-10037.9
400	0.113069	-10068.6
500	0.113069	-10042.2
600	0.113069	-9971.11
700	0.113069	-9998.58
800	0.113069	-9991.91
900	0.113069	-10043.8
1000	0.113069	-10028.4
300	0.0992126	-10010.9
400	0.0992126	-10047.8
500	0.0992126	-10110.8
600	0.0992126	-10019
700	0.0992126	-9984.45
800	0.0992126	-10004.1
900	0.0992126	-10121.2
1000	0.0992126	-10043.8
300	0.0865906	-9957.47
400	0.0865906	-10035.1
500	0.0865906	-10060.2
600	0.0865906	-10010.1
700	0.0865906	-9965.7
800	0.0865906	-10034.5
900	0.0865906	-9984.76
1000	0.0865906	-10112.4
300	0.0751379	-10129.6
400	0.0751379	-10137
500	0.0751379	-10072.3
600	0.0751379	-10063.3
700	0.0751379	-10007.6
800	0.0751379	-10083.3
900	0.0751379	-10055.3
1000	0.0751379	-10017.8
300	0.0647902	-10222.3
400	0.0647902	-10179.5
500	0.0647902	-10065.5
600	0.0647902	-10144.7
700	0.0647902	-10233
800	0.0647902	-10094.1
900	0.0647902	-10105.6
1000	0.0647902	-10072.9
300	0.0554836	-10179.5
400	0.0554836	-10097.7
500	0.0554836	-10125.9
600	0.0554836	-10063.1
700	0.0554836	-10253.3
800	0.0554836	-10073.1
900	0.0554836	-10197
1000	0.0554836	-10281.7
300	0.0471556	-10257.7
400	0.0471556	-10201.1
500	0.0471556	-10183.2
600	0.0471556	-10185.3
700	0.0471556	-10195.9
800	0.0471556	-10259.4
900	0.0471556	-10194
1000	0.0471556	-10197
300	0.0397447	-10277.3
400	0.0397447	-10098
500	0.0397447	-10238.7
600	0.0397447	-10230.5
700	0.0397447	-10259.2
800	0.0397447	-10341.2
900	0.0397447	-10359.5
1000	0.0397447	-10286.4
300	0.0331901	-10336.5
400	0.0331901	-10492.1
500	0.0331901	-10476
600	0.0331901	-10438.1
700	0.0331901	-10207.2
800	0.0331901	-10237.5
900	0.0331901	-10362.1
1000	0.0331901	-10190
300	0.0274324	-10533.3
400	0.0274324	-10485.3
500	0.0274324	-10432.3
600	0.0274324	-10320.1
700	0.0274324	-10510.4
800	0.0274324	-10479.1
900	0.0274324	-10348.4
1000	0.0274324	-10426.4
300	0.022413	-10585.5
400	0.022413	-10299.3
500	0.022413	-10721
600	0.022413	-10390.9
700	0.022413	-10408.6
800	0.022413	-10570.5
900	0.022413	-10397.9
1000	0.022413	-10903.4
300	0.0180747	-10972.9
400	0.0180747	-10473.4
500	0.0180747	-10631.5
600	0.0180747	-10932.2
700	0.0180747	-10433.9
800	0.0180747	-10678.5
900	0.0180747	-10570.3
1000	0.0180747	-10532.3
300	0.0143613	-10820.2
400	0.0143613	-10940.2
500	0.0143613	-10686.5
600	0.0143613	-10862.8
700	0.0143613	-11133.2
800	0.0143613	-10975.3
900	0.0143613	-10811.3
1000	0.0143613	-10689.5
300	0.0112179	-11435.1
400	0.0112179	-10881.9
500	0.0112179	-11470.6
600	0.0112179	-10872.2
700	0.0112179	-11388.5
800	0.0112179	-10969.9
900	0.0112179	-11506.3
1000	0.0112179	-11837.3
300	0.00859087	-11214.1
400	0.00859087	-11588.4
500	0.00859087	-11716.3
600	0.00859087	-11083.7
700	0.00859087	-11541.3
800	0.00859087	-11436.5
900	0.00859087	-11379.4
1000	0.00859087	-12010.4
300	0.006428	-11652.1
400	0.006428	-11223.1
500	0.006428	-11288.1
600	0.006428	-11657.8
700	0.006428	-11677.6
800	0.006428	-12280.4
900	0.006428	-11879.7
1000	0.006428	-11847.4
300	0.00467843	-11683.2
400	0.00467843	-12536.8
500	0.00467843	-13019.6
600	0.00467843	-11357.2
700	0.00467843	-11057.6
800	0.00467843	-12499.9
900	0.00467843	-12107.6
1000	0.00467843	-12513
300	0.00329287	-12298.4
400	0.00329287	-13106.4
500	0.00329287	-11724.7
600	0.00329287	-11469.2
700	0.00329287	-12189.5
800	0.00329287	-11241.3
900	0.00329287	-12044.7
1000	0.00329287	-13325.6
300	0.00222365	-12636.7
400	0.00222365	-13055.9
500	0.00222365	-12167.8
600	0.00222365	-13566.9
700	0.00222365	-12549.4
800	0.00222365	-12752.2
900	0.00222365	-12730.8
1000	0.00222365	-12439.2
300	0.00142482	-12950.9
400	0.00142482	-13035.8
500	0.00142482	-14181.4
600	0.00142482	-13554.2
700	0.00142482	-14377.9
800	0.00142482	-13001.2
900	0.00142482	-15990.8
1000	0.00142482	-12566.7
300	0.000852323	-14433.4
400	0.000852323	-13028
500	0.000852323	-14528.5
600	0.000852323	-13936.6
700	0.000852323	-15096
800	0.000852323	-16437.8
900	0.000852323	-14561.7
