Iteration	Posterior	Likelihood	Prior	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[1]	br_lens[2]	br_lens[14]	br_lens[15]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	sf[4][0]	sf[4][1]	sf[4][2]	sf[4][3]	er[4][0]	er[4][1]	er[4][2]	er[4][3]	er[4][4]	er[4][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[3][0]	sf[3][1]	sf[3][2]	sf[3][3]	er[3][0]	er[3][1]	er[3][2]	er[3][3]	er[3][4]	er[3][5]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	norm_gamma_rates[3][0]	norm_gamma_rates[3][1]	norm_gamma_rates[3][2]	norm_gamma_rates[3][3]	shape[3]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[0]	shape[1]	shape[2]	shape[3]	shape[4]	norm_gamma_rates[4][0]	norm_gamma_rates[4][1]	norm_gamma_rates[4][2]	norm_gamma_rates[4][3]
0	-9556.23	-9571.16	14.9243	0.0247188	0.0448399	0.00710898	0.788005	0.0497475	0.0701243	0.00970496	0.0317427	0.0101431	0.011302	0.0429646	0.00707374	0.0060281	0.0415974	0.0188732	0.00710898	0.788005	0.0497475	0.00970496	0.0701243	0.0317427	0.0101431	0.011302	0.0429646	0.00707374	0.0060281	0.0247188	0.0448399	0.0415974	0.0188732	0.303283	0.186301	0.230504	0.279912	0.222944	0.213889	0.31858	0.244587	0.0943894	0.17351	0.112895	0.0288019	0.460615	0.129789	0.130311	0.271969	0.150237	0.130918	0.285091	0.0314736	0.27872	0.221447	0.23029	0.269543	0.327027	0.112906	0.128057	0.43201	0.102327	0.296322	0.0306571	0.0478486	0.419869	0.102977	0.0729041	0.365504	0.0232765	0.0358883	0.470704	0.0317233	0.780813	0.932473	1.04895	1.23777	30.6979	0.0974027	3.6396e-07	0.000896561	0.0868584	3.91224	0.800384	0.939518	1.04521	1.21489	37.3623	0.0974027	37.3623	30.6979	20.7928	20.7928	0.736632	0.915746	1.05685	1.29077
10	-9556.31	-9574.47	18.1543	0.021515	0.0371099	0.00874944	0.72638	0.0440115	0.0604001	0.00742359	0.0262539	0.0106426	0.00574299	0.0466149	0.00971133	0.00552823	0.0383115	0.0199368	0.00874944	0.72638	0.0440115	0.00742359	0.0604001	0.0262539	0.0106426	0.00574299	0.0466149	0.00971133	0.00552823	0.021515	0.0371099	0.0383115	0.0199368	0.307194	0.194014	0.214291	0.284501	0.217917	0.209066	0.313653	0.259363	0.0955341	0.170499	0.114264	0.0622428	0.426097	0.131363	0.149878	0.189836	0.104866	0.173141	0.26368	0.118599	0.297015	0.200089	0.208079	0.294817	0.333821	0.102604	0.129488	0.434086	0.119005	0.292953	0.0303086	0.015787	0.423296	0.11865	0.0683043	0.441695	0.0218079	0.0290098	0.395103	0.0440801	0.671003	0.888639	1.06711	1.37325	12.8503	0.0774269	9.28413e-09	0.000143445	0.040608	3.95925	0.682787	0.893717	1.06541	1.35809	13.9171	0.0774269	13.9171	12.8503	16.635	16.635	0.707816	0.904191	1.06159	1.32641
20	-9560.83	-9577.41	16.5731	0.02189	0.0402541	0.0124713	0.76058	0.0415086	0.0687387	0.00732418	0.0375595	0.0104244	0.00305251	0.0448352	0.00655076	0.00577781	0.0397871	0.0188593	0.0124713	0.76058	0.0415086	0.00732418	0.0687387	0.0375595	0.0104244	0.00305251	0.0448352	0.00655076	0.00577781	0.02189	0.0402541	0.0397871	0.0188593	0.290145	0.208408	0.226232	0.275215	0.243534	0.233643	0.301902	0.220921	0.0807326	0.130619	0.154012	0.0489689	0.447243	0.138424	0.138691	0.175667	0.0970393	0.262949	0.266417	0.0592371	0.268956	0.234575	0.197123	0.299345	0.317086	0.10119	0.146011	0.435713	0.091996	0.28486	0.0141547	0.0660762	0.451192	0.0917218	0.0643403	0.447892	0.0178741	0.0487876	0.395723	0.0253832	0.787088	0.934755	1.04776	1.23039	32.6332	0.108072	1.48091e-06	0.00180665	0.116089	3.8821	0.673457	0.889705	1.06676	1.37008	13.0628	0.108072	13.0628	32.6332	19.0434	19.0434	0.725601	0.911385	1.0587	1.30431
30	-9577.63	-9591.34	13.7029	0.0164899	0.0479323	0.0154935	0.791658	0.0553304	0.0678523	0.00620133	0.0279275	0.0197212	0.00339724	0.0448352	0.0106791	0.00455573	0.0450068	0.0190812	0.0154935	0.791658	0.0553304	0.00620133	0.0678523	0.0279275	0.0197212	0.00339724	0.0448352	0.0106791	0.00455573	0.0164899	0.0479323	0.0450068	0.0190812	0.299638	0.208136	0.218874	0.273353	0.223815	0.230724	0.31082	0.234641	0.191492	0.168572	0.0998031	0.0277221	0.345247	0.167163	0.113951	0.171565	0.163084	0.216042	0.218892	0.116466	0.271844	0.237093	0.19924	0.291823	0.280567	0.132902	0.157778	0.428753	0.12948	0.317581	0.0157806	0.0147172	0.409735	0.112707	0.075296	0.317656	0.0209176	0.057095	0.488183	0.0408523	0.771214	0.928937	1.05073	1.24912	28.0433	0.120271	5.42972e-06	0.00345498	0.151725	3.84481	0.844127	0.954495	1.03637	1.16501	62.5148	0.120271	62.5148	28.0433	20.2632	20.2632	0.733436	0.91449	1.05739	1.29468
40	-9560.72	-9577.55	16.8253	0.019729	0.0385275	0.00927748	0.740449	0.0465839	0.0653287	0.00680381	0.0351783	0.0142285	0.00224851	0.0448352	0.00969293	0.0133508	0.0358381	0.0145441	0.00927748	0.740449	0.0465839	0.00680381	0.0653287	0.0351783	0.0142285	0.00224851	0.0448352	0.00969293	0.0133508	0.019729	0.0385275	0.0358381	0.0145441	0.311638	0.187892	0.233838	0.266632	0.22585	0.224756	0.298166	0.251228	0.166459	0.182901	0.0899718	0.027324	0.359147	0.174198	0.105567	0.172486	0.147996	0.163021	0.236422	0.174509	0.305806	0.221678	0.195726	0.27679	0.297278	0.123369	0.146461	0.432892	0.113585	0.337375	0.0155688	0.0180415	0.404235	0.111194	0.0533845	0.401977	0.0251775	0.0262397	0.460281	0.0329404	0.579641	0.845815	1.07795	1.49659	7.42974	0.0837948	3.61589e-08	0.000282935	0.0538347	3.94588	0.810742	0.943159	1.04318	1.20292	41.7665	0.0837948	41.7665	7.42974	15.1225	15.1225	0.694667	0.89874	1.06363	1.34296
50	-9560.74	-9578.83	18.0983	0.0247498	0.0385275	0.0102421	0.68698	0.0478796	0.0600495	0.0078792	0.0365592	0.0112977	0.00237446	0.0615324	0.00854786	0.00933669	0.0377715	0.0193379	0.0102421	0.68698	0.0478796	0.0078792	0.0600495	0.0365592	0.0112977	0.00237446	0.0615324	0.00854786	0.00933669	0.0247498	0.0385275	0.0377715	0.0193379	0.328926	0.186174	0.231699	0.253201	0.241726	0.234208	0.28442	0.239646	0.0761763	0.195745	0.121453	0.0455217	0.41854	0.142564	0.092134	0.219756	0.127199	0.148235	0.229873	0.182803	0.301669	0.218679	0.211089	0.268563	0.320283	0.115493	0.136766	0.427458	0.111282	0.330536	0.0152532	0.0379473	0.396041	0.10894	0.0501932	0.371441	0.0199362	0.0199943	0.507464	0.0309712	0.56644	0.839077	1.07914	1.51534	6.92049	0.115413	3.34485e-06	0.00271314	0.137327	3.85996	0.5536	0.832379	1.08019	1.53383	6.46871	0.115413	6.46871	6.92049	32.1474	32.1474	0.785564	0.934203	1.04805	1.23218
60	-9551.69	-9569.73	18.0395	0.0234737	0.039176	0.0111778	0.845541	0.0469817	0.0619874	0.00816654	0.0244364	0.00967153	0.00112974	0.0519506	0.00924756	0.0102649	0.0382901	0.0161667	0.0111778	0.845541	0.0469817	0.00816654	0.0619874	0.0244364	0.00967153	0.00112974	0.0519506	0.00924756	0.0102649	0.0234737	0.039176	0.0382901	0.0161667	0.300021	0.189265	0.247768	0.262947	0.249815	0.197421	0.326386	0.226378	0.13531	0.156246	0.133739	0.0423022	0.399922	0.132481	0.126955	0.226044	0.126844	0.152477	0.261416	0.106264	0.309436	0.222857	0.206999	0.260708	0.272295	0.123647	0.146421	0.457637	0.138891	0.30988	0.01555	0.0208697	0.403749	0.111061	0.0754679	0.370697	0.0198963	0.0328937	0.470136	0.0309092	0.505367	0.805852	1.08316	1.60562	5.08	0.0910496	1.34959e-07	0.000546265	0.0707301	3.92872	0.342626	0.696435	1.07816	1.88278	2.45994	0.0910496	2.45994	5.08	12.2793	12.2793	0.66412	0.885629	1.06807	1.38218
70	-9563.99	-9582.27	18.283	0.022198	0.0335278	0.00898126	0.713227	0.0463345	0.0635649	0.0138423	0.0280637	0.00742735	0.00234445	0.0499836	0.00941253	0.00740128	0.0461779	0.0160813	0.00898126	0.713227	0.0463345	0.0138423	0.0635649	0.0280637	0.00742735	0.00234445	0.0499836	0.00941253	0.00740128	0.022198	0.0335278	0.0461779	0.0160813	0.297844	0.200081	0.205735	0.29634	0.209039	0.201559	0.348108	0.241294	0.108825	0.136564	0.124763	0.0281355	0.452535	0.149178	0.115431	0.146646	0.106583	0.242461	0.276488	0.112391	0.288467	0.240658	0.216719	0.254156	0.3202	0.132391	0.13269	0.414718	0.113927	0.339574	0.0290044	0.0323068	0.366124	0.119065	0.0640355	0.435945	0.0182915	0.0451398	0.408172	0.0284161	0.506526	0.806516	1.08311	1.60385	5.10859	0.129909	1.27495e-05	0.00528844	0.18078	3.81392	0.57997	0.845981	1.07792	1.49613	7.44307	0.129909	7.44307	5.10859	28.1778	28.1778	0.771732	0.929129	1.05063	1.24851
80	-9563.24	-9580.61	17.3644	0.0168944	0.0374006	0.013466	0.733122	0.0498995	0.0566793	0.00970586	0.0281161	0.0181972	0.00809723	0.0485525	0.00900082	0.00339678	0.0386617	0.0253346	0.013466	0.733122	0.0498995	0.00970586	0.0566793	0.0281161	0.0181972	0.00809723	0.0485525	0.00900082	0.00339678	0.0168944	0.0374006	0.0386617	0.0253346	0.31304	0.174924	0.220179	0.291857	0.244234	0.185852	0.35525	0.214664	0.145009	0.169429	0.1094	0.0521058	0.4178	0.106255	0.0894378	0.194314	0.192785	0.130025	0.305537	0.0879022	0.30111	0.20916	0.226879	0.262851	0.294895	0.121929	0.142401	0.440776	0.118141	0.367514	0.0313909	0.0131157	0.396248	0.0735904	0.0692011	0.390445	0.0197671	0.048781	0.441098	0.0307084	0.504806	0.805531	1.08318	1.60648	5.06626	0.0999132	5.20226e-07	0.00107164	0.0935205	3.90541	0.733627	0.914566	1.05736	1.29445	20.2943	0.0999132	20.2943	5.06626	28.1778	28.1778	0.771732	0.929129	1.05063	1.24851
90	-9559.18	-9575.46	16.2836	0.0188056	0.0348102	0.0133127	0.801642	0.0426909	0.0588977	0.0107079	0.0420669	0.0150737	0.0013098	0.0485525	0.0103199	0.00634558	0.0461606	0.0139987	0.0133127	0.801642	0.0426909	0.0107079	0.0588977	0.0420669	0.0150737	0.0013098	0.0485525	0.0103199	0.00634558	0.0188056	0.0348102	0.0461606	0.0139987	0.307759	0.190811	0.235578	0.265852	0.230007	0.206254	0.326971	0.236768	0.124669	0.145663	0.15194	0.0482055	0.438171	0.0913509	0.0799773	0.249043	0.12322	0.245632	0.206927	0.0952022	0.296704	0.208256	0.223559	0.27148	0.302475	0.125554	0.135656	0.436315	0.101731	0.340019	0.0266676	0.0112939	0.414978	0.105311	0.0721368	0.408855	0.021302	0.0132405	0.452454	0.0320111	0.720337	0.909277	1.05957	1.31081	18.2817	0.0981573	4.05992e-07	0.00094685	0.088845	3.91021	0.77846	0.931611	1.04939	1.24054	30.0146	0.0981573	30.0146	18.2817	13.2261	13.2261	0.675306	0.890505	1.0665	1.36769
100	-9565.19	-9581.05	15.859	0.0289139	0.0379506	0.00947874	0.839361	0.0428321	0.069212	0.00754098	0.031951	0.00974984	0.00116913	0.0485525	0.0125747	0.00795657	0.0359623	0.0146422	0.00947874	0.839361	0.0428321	0.00754098	0.069212	0.031951	0.00974984	0.00116913	0.0485525	0.0125747	0.00795657	0.0289139	0.0379506	0.0359623	0.0146422	0.295293	0.187552	0.243217	0.273939	0.253372	0.196213	0.325175	0.225241	0.112498	0.131443	0.137107	0.0434994	0.443328	0.132125	0.0797612	0.24837	0.122887	0.149106	0.242004	0.157872	0.290382	0.21911	0.221513	0.268995	0.291701	0.101389	0.149073	0.457837	0.0947227	0.326061	0.0221381	0.00536632	0.450723	0.100988	0.0936626	0.392606	0.0222269	0.0223814	0.452083	0.0170396	0.63599	0.872975	1.07178	1.41926	10.2786	0.0234922	1.31667e-26	1.71607e-13	8.06029e-06	3.99999	0.738648	0.916535	1.05651	1.28831	21.137	0.0234922	21.137	10.2786	32.0431	32.0431	0.785233	0.934083	1.04812	1.23257
110	-9566.37	-9582.01	15.6352	0.020947	0.0378978	0.0085145	1.06652	0.0569717	0.0707912	0.00878812	0.0417338	0.0072729	0.00164604	0.0485525	0.0108656	0.00528585	0.0479029	0.022865	0.0085145	1.06652	0.0569717	0.00878812	0.0707912	0.0417338	0.0072729	0.00164604	0.0485525	0.0108656	0.00528585	0.020947	0.0378978	0.0479029	0.022865	0.29737	0.181836	0.244928	0.275866	0.246438	0.206924	0.3091	0.237537	0.0941026	0.169201	0.0734317	0.0111144	0.567082	0.0850686	0.0699932	0.272028	0.147504	0.130846	0.212739	0.166889	0.288044	0.246125	0.196275	0.269556	0.274883	0.136454	0.144591	0.444072	0.110933	0.398385	0.0259268	0.031052	0.354638	0.0790646	0.0942102	0.363406	0.0103556	0.0338338	0.478636	0.0195585	0.658571	0.883178	1.06884	1.38942	11.8444	0.0797236	1.5545e-08	0.000185578	0.0451897	3.95462	0.320114	0.678144	1.07494	1.9268	2.23793	0.0797236	2.23793	11.8444	2.05608	2.05608	0.299878	0.660848	1.07133	1.96794
120	-9564.24	-9580.32	16.0832	0.0230018	0.0436086	0.00909554	1.00602	0.0480979	0.070468	0.00673204	0.0323011	0.0116019	0.00123884	0.0485525	0.0120052	0.00695874	0.0510011	0.0153643	0.00909554	1.00602	0.0480979	0.00673204	0.070468	0.0323011	0.0116019	0.00123884	0.0485525	0.0120052	0.00695874	0.0230018	0.0436086	0.0510011	0.0153643	0.291912	0.196854	0.240432	0.270802	0.279339	0.207911	0.274081	0.238669	0.0783895	0.149602	0.164918	0.0774096	0.454466	0.075215	0.0473187	0.191633	0.140661	0.154866	0.327092	0.13843	0.269732	0.237731	0.210766	0.28177	0.305155	0.132085	0.139962	0.422798	0.0817152	0.350351	0.0233425	0.0752202	0.374233	0.0951371	0.0700962	0.389397	0.0213255	0.0251737	0.479456	0.0145523	0.697307	0.899844	1.06322	1.33962	15.4102	0.0627232	1.39949e-10	1.76334e-05	0.0170091	3.98297	0.358186	0.708541	1.07993	1.85334	2.62711	0.0627232	2.62711	15.4102	3.25762	3.25762	0.40826	0.744863	1.08352	1.76335
130	-9557.85	-9574.62	16.7742	0.0208662	0.0471344	0.0110968	0.906121	0.0480979	0.0805933	0.00621699	0.0377128	0.0101984	0.00034164	0.0485525	0.0130937	0.00343764	0.0438661	0.0215963	0.0110968	0.906121	0.0480979	0.00621699	0.0805933	0.0377128	0.0101984	0.00034164	0.0485525	0.0130937	0.00343764	0.0208662	0.0471344	0.0438661	0.0215963	0.313886	0.194	0.236945	0.255168	0.280881	0.209058	0.270074	0.239987	0.0826729	0.17041	0.126941	0.08052	0.430652	0.108804	0.0840657	0.240168	0.176286	0.171664	0.254944	0.0728726	0.301424	0.217472	0.223346	0.257758	0.298772	0.126508	0.140904	0.433816	0.106105	0.385396	0.0140866	0.0226845	0.369176	0.102552	0.0575254	0.377092	0.0206517	0.0243782	0.484489	0.0358637	0.71544	0.9073	1.06037	1.31689	17.6113	0.104875	1.00215e-06	0.00148666	0.107094	3.89142	0.367449	0.715553	1.08083	1.83616	2.73252	0.104875	2.73252	17.6113	4.51461	4.51461	0.480577	0.791315	1.08403	1.64408
140	-9560.75	-9575.85	15.0991	0.0226106	0.0441808	0.0100341	0.823492	0.0388393	0.0666512	0.0106451	0.0347849	0.0100721	0.000515766	0.0509868	0.01047	0.0108569	0.0424354	0.0242109	0.0100341	0.823492	0.0388393	0.0106451	0.0666512	0.0347849	0.0100721	0.000515766	0.0509868	0.01047	0.0108569	0.0226106	0.0441808	0.0424354	0.0242109	0.304289	0.198877	0.239218	0.257616	0.267893	0.213891	0.327607	0.19061	0.0588489	0.133104	0.116653	0.0618059	0.497172	0.132416	0.0842991	0.242422	0.123596	0.125277	0.324567	0.099837	0.304467	0.227757	0.207415	0.26036	0.289345	0.127102	0.13642	0.447133	0.0988133	0.358911	0.0131185	0.0403515	0.408091	0.0807146	0.0577305	0.336848	0.0172073	0.0244651	0.530052	0.0336971	0.716286	0.907642	1.06023	1.31584	17.7246	0.104113	9.09803e-07	0.00141661	0.104977	3.89361	0.475812	0.788445	1.08414	1.6516	4.4152	0.104113	4.4152	17.7246	55.8485	55.8485	0.835406	0.951592	1.03819	1.17482
150	-9555.26	-9571.7	16.4388	0.0200014	0.0342966	0.00837817	0.762878	0.042033	0.0708776	0.0113313	0.0349695	0.0115785	0.00145159	0.0509868	0.0129675	0.0121102	0.031827	0.0242109	0.00837817	0.762878	0.042033	0.0113313	0.0708776	0.0349695	0.0115785	0.00145159	0.0509868	0.0129675	0.0121102	0.0200014	0.0342966	0.031827	0.0242109	0.292043	0.190873	0.229591	0.287493	0.255067	0.22357	0.285856	0.235508	0.0767372	0.139562	0.122313	0.0639115	0.475595	0.121881	0.0999359	0.213773	0.146523	0.148515	0.272897	0.118356	0.309686	0.214522	0.21097	0.264823	0.277171	0.121754	0.134391	0.466684	0.108727	0.414362	0.0319606	0.0385198	0.329381	0.0770507	0.0601317	0.412408	0.0197976	0.0445773	0.424316	0.0387698	0.70526	0.90314	1.06199	1.32961	16.3248	0.117312	4.06177e-06	0.00298919	0.142929	3.85408	0.658352	0.883081	1.06887	1.3897	11.8277	0.117312	11.8277	16.3248	37.2068	37.2068	0.799986	0.939377	1.04529	1.21535
160	-9558.64	-9571.33	12.6833	0.0236987	0.0460333	0.0113149	0.750274	0.0573065	0.0617397	0.0115707	0.0441105	0.0106573	0.00319558	0.0489069	0.00947028	0.00943552	0.0415873	0.0264605	0.0113149	0.750274	0.0573065	0.0115707	0.0617397	0.0441105	0.0106573	0.00319558	0.0489069	0.00947028	0.00943552	0.0236987	0.0460333	0.0415873	0.0264605	0.299281	0.19308	0.221524	0.286116	0.256393	0.224605	0.282403	0.236599	0.113065	0.143408	0.131309	0.0549794	0.412583	0.144655	0.0836124	0.193544	0.0962097	0.210875	0.289989	0.125769	0.307531	0.213029	0.21646	0.26298	0.278755	0.13501	0.131073	0.455162	0.0971094	0.369708	0.0387462	0.0741772	0.32685	0.0934094	0.0841056	0.41124	0.0185184	0.035991	0.41388	0.0362648	0.682754	0.893703	1.06541	1.35813	13.9139	0.110184	1.89312e-06	0.00204224	0.122123	3.87583	0.8406	0.953326	1.03711	1.16897	59.6858	0.110184	59.6858	13.9139	61.7044	61.7044	0.843141	0.954169	1.03658	1.16611
170	-9557.96	-9576.3	18.3378	0.0225045	0.0463421	0.00646786	0.753123	0.0526012	0.069794	0.0126196	0.0340166	0.00693278	0.00355864	0.0459227	0.0149957	0.00982224	0.0428424	0.0178818	0.00646786	0.753123	0.0526012	0.0126196	0.069794	0.0340166	0.00693278	0.00355864	0.0459227	0.0149957	0.00982224	0.0225045	0.0463421	0.0428424	0.0178818	0.309275	0.199528	0.228921	0.262277	0.255946	0.202913	0.333405	0.207736	0.105049	0.170013	0.158751	0.054661	0.411725	0.0998024	0.165473	0.219655	0.141617	0.132089	0.228051	0.113115	0.270089	0.237361	0.20257	0.28998	0.278755	0.13501	0.131073	0.455162	0.0969251	0.375734	0.0393679	0.0753674	0.315584	0.0970219	0.075573	0.390333	0.0218518	0.0337621	0.435687	0.0427925	0.682754	0.893703	1.06541	1.35813	13.9139	0.103645	8.56797e-07	0.00137479	0.103682	3.89494	0.509525	0.808228	1.08297	1.59928	5.18351	0.103645	5.18351	13.9139	6.38928	6.38928	0.55122	0.831121	1.08037	1.53729
180	-9562.89	-9579.93	17.04	0.0181825	0.0417804	0.00839526	0.679053	0.0517378	0.0675772	0.0126196	0.0537569	0.0154719	0.00477221	0.0459227	0.00625913	0.00982224	0.0346206	0.0188242	0.00839526	0.679053	0.0517378	0.0126196	0.0675772	0.0537569	0.0154719	0.00477221	0.0459227	0.00625913	0.00982224	0.0181825	0.0417804	0.0346206	0.0188242	0.320201	0.188846	0.218032	0.272922	0.225011	0.203985	0.337059	0.233945	0.0753783	0.169485	0.17716	0.0554953	0.409491	0.11299	0.160022	0.212418	0.102336	0.147365	0.268471	0.109388	0.304368	0.209159	0.230947	0.255526	0.287958	0.139468	0.129209	0.443365	0.0717223	0.37683	0.0415076	0.0794638	0.332737	0.0977395	0.0864262	0.357793	0.0192548	0.0297496	0.46907	0.0377068	0.661234	0.884357	1.06847	1.38594	12.0504	0.125295	8.61288e-06	0.00434898	0.16681	3.82883	0.784822	0.933934	1.04819	1.23305	31.9144	0.125295	31.9144	12.0504	21.5833	21.5833	0.741192	0.917527	1.05607	1.28521
190	-9554.91	-9572.15	17.2382	0.0243219	0.0413767	0.0139366	0.829307	0.0463015	0.0666099	0.00845667	0.0332751	0.0104274	0.0101463	0.0443973	0.0133688	0.00872656	0.0379138	0.0183891	0.0139366	0.829307	0.0463015	0.00845667	0.0666099	0.0332751	0.0104274	0.0101463	0.0443973	0.0133688	0.00872656	0.0243219	0.0413767	0.0379138	0.0183891	0.30024	0.182387	0.217449	0.299924	0.237471	0.213136	0.304952	0.244441	0.081508	0.143866	0.171881	0.0565557	0.417316	0.128873	0.102457	0.157473	0.112123	0.202543	0.368211	0.0571918	0.289476	0.198925	0.211545	0.300055	0.253232	0.147475	0.136628	0.462665	0.103445	0.395463	0.0331866	0.0407803	0.34898	0.0781456	0.0581046	0.399354	0.0185261	0.0286238	0.472302	0.0230895	0.748418	0.920323	1.05482	1.27644	22.9263	0.0973882	3.63187e-07	0.000895609	0.0868202	3.91228	0.569082	0.840438	1.07891	1.51157	7.01859	0.0973882	7.01859	22.9263	4.03377	4.03377	0.456208	0.776369	1.08439	1.68303
