Iteration	Posterior	Likelihood	Prior	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[12]	br_lens[13]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	shape[0]	shape[1]
0	-9658.84	-9664.71	5.86476	0.0089169	0.0522399	0.0426523	0.0094556	0.00573403	0.0291883	0.0749268	0.0383266	0.0158424	0.853004	0.0236947	0.0089169	0.0522399	0.0426523	0.0094556	0.00587223	0.0440909	0.0211206	0.0119676	0.0211206	0.0119676	0.00573403	0.0291883	0.0749268	0.0383266	0.0158424	0.0236947	0.853004	0.00587223	0.0440909	0.0628116	0.389578	0.0138096	0.0382954	0.455771	0.0397347	0.101993	0.256111	0.0628313	0.0739601	0.425698	0.0794064	0.263316	0.196252	0.217406	0.323027	0.326709	0.18405	0.212378	0.276863	0.882645	0.966845	1.02806	1.12245	112.132	0.0570587	1.56121e-11	5.89234e-06	0.0107917	3.9892	0.0570587	112.132
10	-9640.85	-9652.96	12.1077	0.0144887	0.0505931	0.0347081	0.00705951	0.0121665	0.040879	0.0510596	0.0438299	0.00577069	0.748055	0.0189689	0.0144887	0.0505931	0.0347081	0.00705951	0.0173509	0.0389137	0.0166564	0.0133959	0.0166564	0.0133959	0.0121665	0.040879	0.0510596	0.0438299	0.00577069	0.0189689	0.748055	0.0173509	0.0389137	0.097404	0.347824	0.0143847	0.0429408	0.47475	0.0226965	0.110537	0.223705	0.0837587	0.0712555	0.417792	0.0929512	0.273898	0.172341	0.243533	0.310227	0.305505	0.172105	0.218186	0.304204	0.65875	0.883258	1.06881	1.38918	11.8582	0.0999611	5.23693e-07	0.0010752	0.0936491	3.90528	0.0999611	11.8582
20	-9635.66	-9647.33	11.6774	0.0112314	0.0486552	0.0378821	0.00651847	0.00955618	0.0379187	0.0602575	0.0406605	0.00728214	0.819184	0.0219631	0.0112314	0.0486552	0.0378821	0.00651847	0.0113079	0.0433027	0.0134213	0.0113786	0.0134213	0.0113786	0.00955618	0.0379187	0.0602575	0.0406605	0.00728214	0.0219631	0.819184	0.0113079	0.0433027	0.0598163	0.416441	0.0145521	0.0434407	0.434742	0.0310076	0.111892	0.213778	0.0958934	0.0614357	0.422911	0.0940901	0.275333	0.173243	0.239571	0.311853	0.311408	0.17543	0.218001	0.295161	0.572045	0.841956	1.07865	1.50735	7.13084	0.107808	1.43516e-06	0.00177857	0.115339	3.88288	0.107808	7.13084
30	-9638.78	-9650.34	11.5619	0.0143328	0.0508576	0.0348772	0.00350966	0.009802	0.0370019	0.0602366	0.0370562	0.00872281	0.81993	0.0207199	0.0143328	0.0508576	0.0348772	0.00350966	0.019096	0.0402402	0.0113457	0.010434	0.0113457	0.010434	0.009802	0.0370019	0.0602366	0.0370562	0.00872281	0.0207199	0.81993	0.019096	0.0402402	0.065789	0.376201	0.0149161	0.0652993	0.442783	0.0350115	0.101011	0.237802	0.0735379	0.0769235	0.417694	0.0930317	0.278263	0.189415	0.233065	0.299257	0.329258	0.191916	0.197175	0.281652	0.630301	0.870345	1.07248	1.42688	9.92947	0.091588	1.47581e-07	0.000571211	0.0720522	3.92738	0.091588	9.92947
40	-9639.1	-9650.97	11.871	0.0128854	0.0424003	0.0565262	0.00564847	0.0126999	0.0363845	0.0634179	0.0432024	0.00872281	0.804284	0.0210021	0.0128854	0.0424003	0.0565262	0.00564847	0.00200391	0.0350679	0.0140948	0.0134497	0.0140948	0.0134497	0.0126999	0.0363845	0.0634179	0.0432024	0.00872281	0.0210021	0.804284	0.00200391	0.0350679	0.0558752	0.324848	0.0126684	0.0427263	0.534147	0.0297355	0.114099	0.238688	0.0738119	0.0623139	0.397876	0.113211	0.280084	0.181012	0.213825	0.325079	0.323791	0.185213	0.213469	0.277526	0.502717	0.804329	1.08327	1.60968	5.01542	0.0968599	3.36084e-07	0.000861585	0.0854379	3.9137	0.0968599	5.01542
50	-9632.48	-9644.61	12.1355	0.00855738	0.0469774	0.0327695	0.00848967	0.0101065	0.0394879	0.0667433	0.0467363	0.0113814	0.772109	0.020843	0.00855738	0.0469774	0.0327695	0.00848967	0.0199481	0.037989	0.0123057	0.0085778	0.0123057	0.0085778	0.0101065	0.0394879	0.0667433	0.0467363	0.0113814	0.020843	0.772109	0.0199481	0.037989	0.0757209	0.355327	0.0232207	0.0329183	0.482451	0.0303627	0.111621	0.262679	0.0711473	0.0529684	0.389236	0.112348	0.266045	0.181792	0.225682	0.326481	0.299063	0.191676	0.22141	0.28785	0.520757	0.81456	1.08239	1.5823	5.47696	0.100297	5.4857e-07	0.0011004	0.0945523	3.90435	0.100297	5.47696
60	-9633.03	-9644.21	11.1781	0.0112562	0.0454588	0.0363323	0.00787109	0.0123112	0.0387248	0.0597311	0.0435001	0.0125772	0.80196	0.024601	0.0112562	0.0454588	0.0363323	0.00787109	0.0119688	0.04115	0.0159168	0.00631613	0.0159168	0.00631613	0.0123112	0.0387248	0.0597311	0.0435001	0.0125772	0.024601	0.80196	0.0119688	0.04115	0.0795327	0.43218	0.0214406	0.0303949	0.400634	0.0358178	0.11444	0.240566	0.0716745	0.0543061	0.413927	0.105086	0.275437	0.18821	0.233649	0.302704	0.289013	0.199779	0.227247	0.283961	0.727173	0.912011	1.05844	1.30237	19.2796	0.114573	3.0633e-06	0.00259667	0.134862	3.86254	0.114573	19.2796
70	-9636.25	-9647.36	11.1136	0.010228	0.0419375	0.0542477	0.00524787	0.0101428	0.0467173	0.0742077	0.0426173	0.00958709	0.870247	0.0259724	0.010228	0.0419375	0.0542477	0.00524787	0.00419267	0.038292	0.016766	0.00682404	0.016766	0.00682404	0.0101428	0.0467173	0.0742077	0.0426173	0.00958709	0.0259724	0.870247	0.00419267	0.038292	0.0942322	0.414697	0.0169379	0.043569	0.406779	0.0237847	0.107302	0.266797	0.0828287	0.0528868	0.397634	0.0925518	0.285564	0.18392	0.218593	0.311922	0.29735	0.196275	0.224876	0.2815	0.39517	0.73573	1.08287	1.78623	3.0775	0.0964461	3.16091e-07	0.000835598	0.0843603	3.9148	0.0964461	3.0775
80	-9639.46	-9651	11.5395	0.00939001	0.0560827	0.0394381	0.0101383	0.00923402	0.0399072	0.0705176	0.037309	0.0100971	0.812526	0.0322841	0.00939001	0.0560827	0.0394381	0.0101383	0.0137905	0.0355749	0.0217197	0.00678718	0.0217197	0.00678718	0.00923402	0.0399072	0.0705176	0.037309	0.0100971	0.0322841	0.812526	0.0137905	0.0355749	0.0893305	0.391158	0.0148647	0.0369696	0.434306	0.0333715	0.142247	0.220735	0.0582795	0.0782966	0.416445	0.0839965	0.263521	0.179332	0.254961	0.302186	0.300504	0.197189	0.209816	0.292491	0.503508	0.804785	1.08324	1.60847	5.0346	0.108023	1.47241e-06	0.00180147	0.115951	3.88225	0.108023	5.0346
90	-9638.56	-9651.15	12.5933	0.0133258	0.0488587	0.0413541	0.00926884	0.0121844	0.0323943	0.0679579	0.0350537	0.0055598	0.72362	0.0265097	0.0133258	0.0488587	0.0413541	0.00926884	0.0106761	0.041105	0.02359	0.00851881	0.02359	0.00851881	0.0121844	0.0323943	0.0679579	0.0350537	0.0055598	0.0265097	0.72362	0.0106761	0.041105	0.0820647	0.426325	0.0180535	0.0566319	0.386268	0.0306571	0.11625	0.244368	0.0898381	0.0672382	0.403254	0.0790506	0.274778	0.182728	0.220264	0.32223	0.296291	0.194476	0.20693	0.302303	0.498826	0.802079	1.08343	1.61566	4.92248	0.10764	1.40672e-06	0.00176089	0.114863	3.88337	0.10764	4.92248
