Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	norm_gamma_rates[0]	norm_gamma_rates[1]	norm_gamma_rates[2]	norm_gamma_rates[3]	shape
0	-9885.11	-9896.47	11.3646	0.281899	0.186087	0.224203	0.307811	0.0951978	0.289723	0.0546934	0.0648621	0.420219	0.0753047	0.0370832	0.010065	0.0231651	0.510887	0.00996589	0.0665003	0.0499886	0.0419032	0.0132263	0.0100626	0.0385318	0.0177636	0.0356564	0.00794419	0.0137979	0.00996589	0.0665003	0.0499886	0.0419032	0.0132263	0.0100626	0.0385318	0.0177636	0.0356564	0.00794419	0.0137979	0.0370832	0.010065	0.0231651	0.510887	0.057409	0.323598	0.891535	2.72746	0.620726
10	-9888.18	-9900.21	12.0254	0.290128	0.184396	0.226447	0.299029	0.113637	0.284333	0.0584937	0.0531263	0.403333	0.0870777	0.0343552	0.00683995	0.0200219	0.486763	0.0102883	0.0522692	0.0465039	0.0370302	0.00621383	0.0051542	0.0334702	0.0247277	0.0290475	0.0112699	0.015881	0.0102883	0.0522692	0.0465039	0.0370302	0.00621383	0.0051542	0.0334702	0.0247277	0.0290475	0.0112699	0.015881	0.0343552	0.00683995	0.0200219	0.486763	0.0839046	0.384195	0.940603	2.5913	0.74542
20	-9880.92	-9892.51	11.5904	0.286122	0.190031	0.233367	0.29048	0.126657	0.248949	0.0427086	0.050272	0.453867	0.0775456	0.0409279	0.0130569	0.0194105	0.525837	0.00756904	0.0590948	0.04388	0.0305248	0.00768985	0.0135361	0.0334283	0.0160801	0.0292403	0.00449355	0.0190534	0.00756904	0.0590948	0.04388	0.0305248	0.00768985	0.0135361	0.0334283	0.0160801	0.0292403	0.00449355	0.0190534	0.0409279	0.0130569	0.0194105	0.525837	0.0633124	0.338357	0.904327	2.694	0.648839
30	-9887.93	-9900.48	12.5425	0.293739	0.187221	0.229917	0.289123	0.123948	0.259758	0.0471937	0.0705895	0.416412	0.0820989	0.0361133	0.0108124	0.0158011	0.443492	0.00965218	0.056476	0.04388	0.0378937	0.00684368	0.00822975	0.0276957	0.0119768	0.0250541	0.00521892	0.029058	0.00965218	0.056476	0.04388	0.0378937	0.00684368	0.00822975	0.0276957	0.0119768	0.0250541	0.00521892	0.029058	0.0361133	0.0108124	0.0158011	0.443492	0.0810124	0.378204	0.936142	2.60464	0.731907
40	-9885.88	-9897.3	11.4179	0.287623	0.193098	0.230023	0.289257	0.124966	0.273462	0.0452354	0.0670532	0.412467	0.076816	0.036394	0.00776619	0.0227572	0.538439	0.00986811	0.060772	0.0410699	0.0397473	0.0133355	0.00592027	0.0343267	0.0215467	0.0219416	0.00805503	0.0197553	0.00986811	0.060772	0.0410699	0.0397473	0.0133355	0.00592027	0.0343267	0.0215467	0.0219416	0.00805503	0.0197553	0.036394	0.00776619	0.0227572	0.538439	0.0379081	0.267264	0.836942	2.85789	0.52395
50	-9881.56	-9892.85	11.2878	0.275212	0.192434	0.229232	0.303122	0.113161	0.283425	0.0433147	0.0639386	0.417133	0.0790278	0.038151	0.00987539	0.0225409	0.55035	0.00507996	0.060772	0.039832	0.0357967	0.0101783	0.0112369	0.037374	0.0135631	0.0306812	0.00883903	0.0197553	0.00507996	0.060772	0.039832	0.0357967	0.0101783	0.0112369	0.037374	0.0135631	0.0306812	0.00883903	0.0197553	0.038151	0.00987539	0.0225409	0.55035	0.0654603	0.343522	0.90867	2.68235	0.658994
60	-9888.38	-9899.12	10.7346	0.285172	0.199399	0.237528	0.277901	0.114698	0.287274	0.0430001	0.0521285	0.422798	0.0801011	0.0353645	0.0141638	0.0270853	0.561747	0.0100166	0.0638603	0.045039	0.0445621	0.0103667	0.0154197	0.0427188	0.017704	0.0341986	0.0076087	0.0197553	0.0100166	0.0638603	0.045039	0.0445621	0.0103667	0.0154197	0.0427188	0.017704	0.0341986	0.0076087	0.0197553	0.0353645	0.0141638	0.0270853	0.561747	0.0547133	0.31656	0.885229	2.7435	0.607764
70	-9884.69	-9895.65	10.9543	0.276613	0.192302	0.229074	0.302011	0.131507	0.310174	0.0464356	0.0515707	0.387981	0.0723313	0.0434159	0.010968	0.0218154	0.572819	0.0105915	0.0681137	0.0441891	0.0344156	0.00699039	0.00846238	0.0364699	0.0124701	0.0289101	0.00821143	0.0197553	0.0105915	0.0681137	0.0441891	0.0344156	0.00699039	0.00846238	0.0364699	0.0124701	0.0289101	0.00821143	0.0197553	0.0434159	0.010968	0.0218154	0.572819	0.0560918	0.320184	0.888493	2.73523	0.614404
80	-9893.32	-9904.09	10.7701	0.267037	0.189088	0.225246	0.318628	0.130534	0.315428	0.0460921	0.0534547	0.382695	0.0717962	0.0369758	0.0100821	0.0248534	0.585241	0.0113745	0.0587766	0.0438806	0.0289415	0.0109665	0.00886655	0.0494883	0.0186505	0.0318372	0.00568762	0.0198405	0.0113745	0.0587766	0.0438806	0.0289415	0.0109665	0.00886655	0.0494883	0.0186505	0.0318372	0.00568762	0.0198405	0.0369758	0.0100821	0.0248534	0.585241	0.0796071	0.375245	0.933909	2.61124	0.72534
90	-9884.01	-9895.72	11.7076	0.285788	0.185643	0.2272	0.301369	0.107866	0.272722	0.05084	0.0508569	0.441341	0.0763741	0.035561	0.0100821	0.0201824	0.500987	0.0107566	0.0590274	0.0472623	0.0366392	0.00646716	0.0103305	0.0379534	0.0250989	0.0239888	0.00842359	0.0190378	0.0107566	0.0590274	0.0472623	0.0366392	0.00646716	0.0103305	0.0379534	0.0250989	0.0239888	0.00842359	0.0190378	0.035561	0.0100821	0.0201824	0.500987	0.0759966	0.367496	0.927964	2.62854	0.708462
