state	power	likelihood
300	1	-4952.67
400	1	-4954.13
500	1	-4953.45
600	1	-4952.24
700	1	-4955.72
800	1	-4964.94
900	1	-4959.53
1000	1	-4946.56
300	0.934875	-4949.99
400	0.934875	-4954.95
500	0.934875	-4964.76
600	0.934875	-4970.97
700	0.934875	-4962.89
800	0.934875	-4968.36
900	0.934875	-4951.11
1000	0.934875	-4952.44
300	0.872779	-4969.55
400	0.872779	-4961.23
500	0.872779	-4958.13
600	0.872779	-4952.17
700	0.872779	-4953.59
800	0.872779	-4960.98
900	0.872779	-4964.83
1000	0.872779	-4956.78
300	0.813628	-4974.06
400	0.813628	-4974.26
500	0.813628	-4964.02
600	0.813628	-4952
700	0.813628	-4966.53
800	0.813628	-4954.77
900	0.813628	-4956.03
1000	0.813628	-4961.33
300	0.757343	-4956.04
400	0.757343	-4963.08
500	0.757343	-4962.04
600	0.757343	-4961.33
700	0.757343	-4966.21
800	0.757343	-4965.51
900	0.757343	-4962.31
1000	0.757343	-4965.1
300	0.703842	-4959.9
400	0.703842	-4958.47
500	0.703842	-4957.18
600	0.703842	-4965.16
700	0.703842	-4962.93
800	0.703842	-4966.57
900	0.703842	-4969.08
1000	0.703842	-4977.1
300	0.653044	-4974.73
400	0.653044	-4977.85
500	0.653044	-4980.17
600	0.653044	-4982.39
700	0.653044	-4967.33
800	0.653044	-4967.48
900	0.653044	-4968.46
1000	0.653044	-4973.06
300	0.604869	-4983.9
400	0.604869	-4973.92
500	0.604869	-4987.01
600	0.604869	-4967.79
700	0.604869	-4978.3
800	0.604869	-4960.95
900	0.604869	-4974.93
1000	0.604869	-4972.47
300	0.559239	-4962.49
400	0.559239	-4988.52
500	0.559239	-4969.57
600	0.559239	-4985.99
700	0.559239	-4969.37
800	0.559239	-4980.38
900	0.559239	-4980.58
1000	0.559239	-4973.41
300	0.516075	-5004.52
400	0.516075	-4985.83
500	0.516075	-4986.3
600	0.516075	-4977.07
700	0.516075	-4980.03
800	0.516075	-5014.86
900	0.516075	-5000.45
1000	0.516075	-4989.39
300	0.475299	-4990.92
400	0.475299	-5005.1
500	0.475299	-4999.01
600	0.475299	-5005.06
700	0.475299	-4992.45
800	0.475299	-4981.15
900	0.475299	-5001.83
1000	0.475299	-4968.23
300	0.436833	-5000.95
400	0.436833	-4990.03
500	0.436833	-4993.87
600	0.436833	-4992.56
700	0.436833	-4995.01
800	0.436833	-4988.81
900	0.436833	-4983.51
1000	0.436833	-5004.26
300	0.400601	-5009.91
400	0.400601	-5003.6
500	0.400601	-4998.56
600	0.400601	-4985.84
700	0.400601	-5015.98
800	0.400601	-4992.7
900	0.400601	-5027.73
1000	0.400601	-5001.05
300	0.366527	-5010.27
400	0.366527	-5005.36
500	0.366527	-5017.35
600	0.366527	-5020.27
700	0.366527	-5011.17
800	0.366527	-5026.86
900	0.366527	-5003.84
1000	0.366527	-5016.74
300	0.334535	-5008.23
400	0.334535	-5002.93
500	0.334535	-5005.53
600	0.334535	-5012.2
700	0.334535	-4998.77
800	0.334535	-5055.69
900	0.334535	-4992.37
1000	0.334535	-5012.46
