state	power	likelihood
300	1	-5119.49
400	1	-5114.82
500	1	-5122.5
600	1	-5118.81
700	1	-5124.38
800	1	-5127.44
900	1	-5116.63
1000	1	-5120.93
300	0.934875	-5121.6
400	0.934875	-5120.91
500	0.934875	-5129.21
600	0.934875	-5118.89
700	0.934875	-5126.88
800	0.934875	-5120.6
900	0.934875	-5125.7
1000	0.934875	-5124.6
300	0.872779	-5125.71
400	0.872779	-5129.52
500	0.872779	-5123.62
600	0.872779	-5123.47
700	0.872779	-5132.01
800	0.872779	-5125.67
900	0.872779	-5120.14
1000	0.872779	-5120.41
300	0.813628	-5122.87
400	0.813628	-5121.25
500	0.813628	-5123.41
600	0.813628	-5120.44
700	0.813628	-5119.7
800	0.813628	-5126.83
900	0.813628	-5127.34
1000	0.813628	-5121.06
300	0.757343	-5128.75
400	0.757343	-5130.84
500	0.757343	-5129.56
600	0.757343	-5128.23
700	0.757343	-5117.56
800	0.757343	-5123.18
900	0.757343	-5126.37
1000	0.757343	-5127.14
300	0.703842	-5126.75
400	0.703842	-5129.91
500	0.703842	-5127.64
600	0.703842	-5126.55
700	0.703842	-5134.07
800	0.703842	-5121.99
900	0.703842	-5120.28
1000	0.703842	-5121.38
300	0.653044	-5126.13
400	0.653044	-5122.52
500	0.653044	-5130.25
600	0.653044	-5144.21
700	0.653044	-5130.26
800	0.653044	-5123.75
900	0.653044	-5127.52
1000	0.653044	-5124.86
300	0.604869	-5126.57
400	0.604869	-5143.62
500	0.604869	-5131.74
600	0.604869	-5140.7
700	0.604869	-5138.85
800	0.604869	-5133.18
900	0.604869	-5151.08
1000	0.604869	-5128.14
300	0.559239	-5142
400	0.559239	-5119.89
500	0.559239	-5122.02
600	0.559239	-5129.68
700	0.559239	-5142.94
800	0.559239	-5127.92
900	0.559239	-5143.52
1000	0.559239	-5127.37
300	0.516075	-5141.12
400	0.516075	-5142.98
500	0.516075	-5136.6
600	0.516075	-5143.05
700	0.516075	-5145.13
800	0.516075	-5143.76
900	0.516075	-5163.73
1000	0.516075	-5144.92
300	0.475299	-5141.82
400	0.475299	-5138.05
500	0.475299	-5128.59
600	0.475299	-5138.87
700	0.475299	-5148.12
800	0.475299	-5129.42
900	0.475299	-5145.1
1000	0.475299	-5133.38
300	0.436833	-5166.63
400	0.436833	-5162.11
500	0.436833	-5140.78
600	0.436833	-5158.36
700	0.436833	-5146.03
800	0.436833	-5130.51
900	0.436833	-5140.78
1000	0.436833	-5138.61
300	0.400601	-5157.56
400	0.400601	-5151.1
500	0.400601	-5143.64
600	0.400601	-5141.94
700	0.400601	-5166.95
800	0.400601	-5155.76
900	0.400601	-5159.6
1000	0.400601	-5134.61
300	0.366527	-5161.66
400	0.366527	-5164.89
500	0.366527	-5179.34
600	0.366527	-5160.14
700	0.366527	-5141.62
800	0.366527	-5141.97
900	0.366527	-5167.83
1000	0.366527	-5227.58
300	0.334535	-5154.68
400	0.334535	-5175.31
500	0.334535	-5169.19
600	0.334535	-5163.89
700	0.334535	-5167.12
800	0.334535	-5178.12
900	0.334535	-5181.99
1000	0.334535	-5140.04
300	0.304551	-5167.95
400	0.304551	-5167.07
500	0.304551	-5155.13
