state	power	likelihood
300	1	-5111.96
400	1	-5105.93
500	1	-5107.83
600	1	-5099.33
700	1	-5100.95
800	1	-5102.87
900	1	-5102.79
1000	1	-5108.24
300	0.934875	-5099.91
400	0.934875	-5100.71
500	0.934875	-5102.55
600	0.934875	-5098.38
700	0.934875	-5108.33
800	0.934875	-5107.71
900	0.934875	-5101.27
1000	0.934875	-5103.36
300	0.872779	-5104.19
400	0.872779	-5107.92
500	0.872779	-5116.99
600	0.872779	-5104.18
700	0.872779	-5106.27
800	0.872779	-5102.54
900	0.872779	-5117.48
1000	0.872779	-5108.38
300	0.813628	-5106.94
400	0.813628	-5104.81
500	0.813628	-5102.91
600	0.813628	-5116.22
700	0.813628	-5099.28
800	0.813628	-5102.32
900	0.813628	-5126.39
1000	0.813628	-5106.89
300	0.757343	-5107.19
400	0.757343	-5110.8
500	0.757343	-5097.77
600	0.757343	-5112.37
700	0.757343	-5113.06
800	0.757343	-5109.62
900	0.757343	-5127.93
1000	0.757343	-5109.81
300	0.703842	-5107.11
400	0.703842	-5107.19
500	0.703842	-5110.41
600	0.703842	-5115.05
700	0.703842	-5109.5
800	0.703842	-5118.1
900	0.703842	-5107.69
1000	0.703842	-5108.12
300	0.653044	-5107.75
400	0.653044	-5113.01
500	0.653044	-5110.84
600	0.653044	-5116.02
700	0.653044	-5106.68
800	0.653044	-5116.94
900	0.653044	-5112.72
1000	0.653044	-5109.62
300	0.604869	-5130.45
400	0.604869	-5112.55
500	0.604869	-5129.4
600	0.604869	-5129.95
700	0.604869	-5112.96
800	0.604869	-5111.07
900	0.604869	-5131.79
1000	0.604869	-5113.67
300	0.559239	-5123.16
400	0.559239	-5106.6
500	0.559239	-5119.32
600	0.559239	-5108.39
700	0.559239	-5125.57
800	0.559239	-5109.28
900	0.559239	-5123
1000	0.559239	-5120.96
300	0.516075	-5135.78
400	0.516075	-5133.61
500	0.516075	-5120.19
600	0.516075	-5112.03
700	0.516075	-5112.02
800	0.516075	-5119.72
900	0.516075	-5130.95
1000	0.516075	-5124.35
300	0.475299	-5123.48
400	0.475299	-5122.48
500	0.475299	-5137.24
600	0.475299	-5123.43
700	0.475299	-5118.75
800	0.475299	-5124.71
900	0.475299	-5119.98
1000	0.475299	-5112.07
300	0.436833	-5133.1
400	0.436833	-5143
500	0.436833	-5136.94
600	0.436833	-5128.94
700	0.436833	-5140.29
800	0.436833	-5125.02
900	0.436833	-5146.66
1000	0.436833	-5147.02
300	0.400601	-5141.22
400	0.400601	-5145.33
500	0.400601	-5130.87
600	0.400601	-5127.45
700	0.400601	-5143.74
800	0.400601	-5110.95
900	0.400601	-5135.65
1000	0.400601	-5140.12
300	0.366527	-5142.12
400	0.366527	-5124.59
500	0.366527	-5141.58
600	0.366527	-5145.04
700	0.366527	-5152.19
800	0.366527	-5152.27
900	0.366527	-5139.16
1000	0.366527	-5144.86
300	0.334535	-5169.37
400	0.334535	-5112.75
500	0.334535	-5142.45
600	0.334535	-5131.7
700	0.334535	-5150.29
800	0.334535	-5151.3
900	0.334535	-5163.21
1000	0.334535	-5144.95
300	0.304551	-5161.45
400	0.304551	-5172.63
500	0.304551	-5201.01
600	0.304551	-5176.65
700	0.304551	-5183.65
800	0.304551	-5147.64
900	0.304551	-5153.88
1000	0.304551	-5150.52
300	0.276501	-5188.9
400	0.276501	-5163.68
500	0.276501	-5137.16
600	0.276501	-5162.93
700	0.276501	-5155.32
800	0.276501	-5154.98
900	0.276501	-5171.89
1000	0.276501	-5161.19
300	0.250311	-5213.38
400	0.250311	-5210.81
500	0.250311	-5148.05
600	0.250311	-5160.05
700	0.250311	-5215.03
800	0.250311	-5173.81
900	0.250311	-5162.73
1000	0.250311	-5171.03
300	0.225909	-5165.4
400	0.225909	-5167.71
500	0.225909	-5180.7
600	0.225909	-5169
700	0.225909	-5220.75
800	0.225909	-5190.73
900	0.225909	-5171.25
1000	0.225909	-5195.09
300	0.203223	-5156.59
400	0.203223	-5195.53
500	0.203223	-5157.34
600	0.203223	-5152.26
700	0.203223	-5206.72
800	0.203223	-5194.05
900	0.203223	-5155.47
1000	0.203223	-5192.97
300	0.182181	-5216.32
400	0.182181	-5172.21
500	0.182181	-5228.55
600	0.182181	-5186.77
700	0.182181	-5204.65
800	0.182181	-5208.77
900	0.182181	-5245.09
1000	0.182181	-5198.95
300	0.162715	-5212.35
400	0.162715	-5198.71
500	0.162715	-5174.58
600	0.162715	-5183.9
700	0.162715	-5212.95
800	0.162715	-5211.66
900	0.162715	-5244.51
1000	0.162715	-5219.98
300	0.144753	-5297.64
400	0.144753	-5271.3
500	0.144753	-5333.26
600	0.144753	-5236.06
700	0.144753	-5305.24
800	0.144753	-5240.35
900	0.144753	-5263.25
1000	0.144753	-5208.6
300	0.128227	-5290.28
400	0.128227	-5242.54
500	0.128227	-5281.32
600	0.128227	-5214.73
700	0.128227	-5244.89
800	0.128227	-5326.82
900	0.128227	-5261.51
1000	0.128227	-5324
300	0.113069	-5289.24
400	0.113069	-5363.82
500	0.113069	-5271.14
600	0.113069	-5255.87
700	0.113069	-5253.69
800	0.113069	-5258.19
900	0.113069	-5247.61
1000	0.113069	-5235.88
300	0.0992126	-5239.09
400	0.0992126	-5317.28
500	0.0992126	-5244.62
600	0.0992126	-5304.33
700	0.0992126	-5305.44
800	0.0992126	-5320.27
900	0.0992126	-5290.53
1000	0.0992126	-5360.83
300	0.0865906	-5345.57
400	0.0865906	-5299.61
500	0.0865906	-5290.85
600	0.0865906	-5348.69
700	0.0865906	-5321.95
800	0.0865906	-5420.84
900	0.0865906	-5339.42
1000	0.0865906	-5339.43
300	0.0751379	-5409.12
400	0.0751379	-5366.17
500	0.0751379	-5434.57
600	0.0751379	-5344.9
700	0.0751379	-5332.24
800	0.0751379	-5379.18
900	0.0751379	-5400.95
1000	0.0751379	-5394.76
300	0.0647902	-5590.39
400	0.0647902	-5366.6
500	0.0647902	-5448.63
600	0.0647902	-5612.17
700	0.0647902	-5479.84
800	0.0647902	-5422.84
900	0.0647902	-5421.71
1000	0.0647902	-5387.18
300	0.0554836	-5578.85
400	0.0554836	-5513.74
500	0.0554836	-5400.47
600	0.0554836	-5527.23
700	0.0554836	-5555.71
800	0.0554836	-5459.06
900	0.0554836	-5492.44
1000	0.0554836	-5478.27
300	0.0471556	-5500.35
400	0.0471556	-5557.73
500	0.0471556	-5444.84
600	0.0471556	-5628.46
700	0.0471556	-5542.7
800	0.0471556	-5518.54
900	0.0471556	-5465.72
1000	0.0471556	-5631.53
300	0.0397447	-5544.73
400	0.0397447	-5543.6
500	0.0397447	-5726.49
600	0.0397447	-5566.79
700	0.0397447	-5620.23
800	0.0397447	-5580.2
900	0.0397447	-5592.18
1000	0.0397447	-5563.86
300	0.0331901	-5763.82
400	0.0331901	-5624.6
500	0.0331901	-5706.79
600	0.0331901	-5576.91
700	0.0331901	-5657.2
800	0.0331901	-5526.52
900	0.0331901	-5604.79
1000	0.0331901	-5682.14
300	0.0274324	-5787.16
400	0.0274324	-5790.16
500	0.0274324	-5600.83
600	0.0274324	-5751.51
700	0.0274324	-5726.6
800	0.0274324	-5666.76
900	0.0274324	-5987.62
1000	0.0274324	-5664.02
300	0.022413	-5748.63
400	0.022413	-5915.01
500	0.022413	-5735.11
600	0.022413	-5791
700	0.022413	-5806.97
800	0.022413	-5793.4
900	0.022413	-5747.87
1000	0.022413	-5654.42
300	0.0180747	-5822.3
400	0.0180747	-5952.83
500	0.0180747	-5933.37
600	0.0180747	-5788.89
700	0.0180747	-6257.41
800	0.0180747	-6030.27
900	0.0180747	-5858.12
1000	0.0180747	-5724.72
300	0.0143613	-6014.64
400	0.0143613	-5704.31
500	0.0143613	-5748
600	0.0143613	-5941.67
700	0.0143613	-5714.93
800	0.0143613	-6186.68
900	0.0143613	-6023.56
1000	0.0143613	-6032.39
300	0.0112179	-5864.08
400	0.0112179	-5956.82
500	0.0112179	-6315.7
600	0.0112179	-5713.45
700	0.0112179	-5961.65
800	0.0112179	-5765.82
900	0.0112179	-5846.08
1000	0.0112179	-6275.85
300	0.00859087	-6558.16
400	0.00859087	-6332.16
500	0.00859087	-6174.01
600	0.00859087	-6523.49
700	0.00859087	-6443.39
800	0.00859087	-5871.36
900	0.00859087	-6116.26
1000	0.00859087	-6531.56
300	0.006428	-6892.15
400	0.006428	-6425.01
500	0.006428	-6241.88
600	0.006428	-6353.59
700	0.006428	-6629
800	0.006428	-6729.12
900	0.006428	-7133.16
1000	0.006428	-6408.73
300	0.00467843	-7074.28
400	0.00467843	-6430.78
500	0.00467843	-6380.1
600	0.00467843	-6433.41
700	0.00467843	-7317.4
800	0.00467843	-6770.83
900	0.00467843	-6220.57
1000	0.00467843	-6160.56
300	0.00329287	-7128.65
400	0.00329287	-7002.73
500	0.00329287	-6854.66
600	0.00329287	-6297.96
700	0.00329287	-6709.05
800	0.00329287	-6798.19
900	0.00329287	-6950.73
1000	0.00329287	-6142.36
300	0.00222365	-7569.69
400	0.00222365	-6984.19
500	0.00222365	-6653.04
600	0.00222365	-6884.48
700	0.00222365	-8187.03
800	0.00222365	-7432.16
900	0.00222365	-7192.31
1000	0.00222365	-6290.63
300	0.00142482	-6912.68
400	0.00142482	-7271.52
500	0.00142482	-7910.84
600	0.00142482	-6171.63
700	0.00142482	-7324.2
800	0.00142482	-6918.18
900	0.00142482	-7476.18
1000	0.00142482	-8430.62
300	0.000852323	-9284.78
400	0.000852323	-7247.81
500	0.000852323	-7788.78
600	0.000852323	-6917.62
700	0.000852323	-7596.37
800	0.000852323	-7017.77
900	0.000852323	-7676.63
1000	0.000852323	-6453.35
300	0.000464159	-7989.07
400	0.000464159	-6340.8
500	0.000464159	-6066.22
600	0.000464159	-7946.24
700	0.000464159	-7993.24
800	0.000464159	-7490.84
900	0.000464159	-8880.51
1000	0.000464159	-6901.89
300	0.000220614	-6987.55
400	0.000220614	-6280.28
500	0.000220614	-7826.9
600	0.000220614	-9337.4
700	0.000220614	-7230.23
800	0.000220614	-7426.06
900	0.000220614	-13377.9
1000	0.000220614	-6980.74
300	8.45612e-05	-8323.5
400	8.45612e-05	-8888.69
500	8.45612e-05	-8816.41
600	8.45612e-05	-29443.5
700	8.45612e-05	-20780.7
800	8.45612e-05	-49070.1
900	8.45612e-05	-43592.2
1000	8.45612e-05	-28051.9
300	2.18877e-05	-28725.9
400	2.18877e-05	-27721.2
500	2.18877e-05	-20832.4
600	2.18877e-05	-18851.3
700	2.18877e-05	-16475.3
800	2.18877e-05	-8396.37
900	2.18877e-05	-8846.73
