state	power	likelihood
300	1	-5107.91
400	1	-5113.35
500	1	-5113.89
600	1	-5116.02
700	1	-5110.59
800	1	-5114.99
900	1	-5111.52
1000	1	-5105.86
300	0.934875	-5111.61
400	0.934875	-5120.36
500	0.934875	-5117.44
600	0.934875	-5114.6
700	0.934875	-5119.08
800	0.934875	-5113.55
900	0.934875	-5108.56
1000	0.934875	-5116.88
300	0.872779	-5108.85
400	0.872779	-5114.55
500	0.872779	-5107.18
600	0.872779	-5120.93
700	0.872779	-5112.38
800	0.872779	-5117.77
900	0.872779	-5121.6
1000	0.872779	-5117.69
300	0.813628	-5112.33
400	0.813628	-5126.03
500	0.813628	-5126.81
600	0.813628	-5116.37
700	0.813628	-5115.37
800	0.813628	-5119.59
900	0.813628	-5113.79
1000	0.813628	-5114.87
300	0.757343	-5122.76
400	0.757343	-5117.35
500	0.757343	-5110.7
600	0.757343	-5107.2
700	0.757343	-5118.32
800	0.757343	-5109.8
900	0.757343	-5118.94
1000	0.757343	-5120.07
300	0.703842	-5129.82
400	0.703842	-5130.32
500	0.703842	-5122.91
600	0.703842	-5118.28
700	0.703842	-5116.07
800	0.703842	-5113.11
900	0.703842	-5136.61
1000	0.703842	-5114.2
300	0.653044	-5124.03
400	0.653044	-5132.57
500	0.653044	-5122.43
600	0.653044	-5122.77
700	0.653044	-5136.31
800	0.653044	-5139.65
900	0.653044	-5121.06
1000	0.653044	-5127.59
300	0.604869	-5129
400	0.604869	-5130.88
500	0.604869	-5138.75
600	0.604869	-5124.88
700	0.604869	-5136.44
800	0.604869	-5137.05
900	0.604869	-5126.87
1000	0.604869	-5119.42
300	0.559239	-5127.53
400	0.559239	-5133.61
500	0.559239	-5130.76
600	0.559239	-5125.19
700	0.559239	-5120.19
800	0.559239	-5132.57
900	0.559239	-5124.96
1000	0.559239	-5150.38
300	0.516075	-5141.98
400	0.516075	-5129.19
500	0.516075	-5141.14
600	0.516075	-5134.27
700	0.516075	-5147.25
800	0.516075	-5148.03
900	0.516075	-5130.01
1000	0.516075	-5122.9
300	0.475299	-5138.48
400	0.475299	-5141.03
500	0.475299	-5145.45
600	0.475299	-5136.91
700	0.475299	-5129.74
800	0.475299	-5126.61
900	0.475299	-5143.35
1000	0.475299	-5134.94
300	0.436833	-5156.19
400	0.436833	-5124.54
500	0.436833	-5136.84
600	0.436833	-5138.36
700	0.436833	-5146.8
800	0.436833	-5142.13
900	0.436833	-5146.86
1000	0.436833	-5139.95
300	0.400601	-5132.06
400	0.400601	-5136.76
500	0.400601	-5145.81
600	0.400601	-5160.28
700	0.400601	-5147.37
800	0.400601	-5135.71
900	0.400601	-5132.13
1000	0.400601	-5135.36
300	0.366527	-5154.19
400	0.366527	-5164.86
500	0.366527	-5133.41
600	0.366527	-5160.29
700	0.366527	-5137.46
800	0.366527	-5127.97
900	0.366527	-5138.61
1000	0.366527	-5146.35
300	0.334535	-5150.25
400	0.334535	-5165
500	0.334535	-5135.81
600	0.334535	-5150.92
700	0.334535	-5135.83
800	0.334535	-5143.04
900	0.334535	-5179.13
1000	0.334535	-5140.54
300	0.304551	-5153.92
400	0.304551	-5167.15
500	0.304551	-5134.83
600	0.304551	-5157.63
700	0.304551	-5151.58
800	0.304551	-5154.12
900	0.304551	-5189.72
1000	0.304551	-5192.22
300	0.276501	-5181.01
400	0.276501	-5190.41
500	0.276501	-5173.37
600	0.276501	-5178.76
700	0.276501	-5164.04
800	0.276501	-5162.65
900	0.276501	-5196.14
1000	0.276501	-5169.18
300	0.250311	-5168.98
400	0.250311	-5169.8
500	0.250311	-5153.62
600	0.250311	-5184.5
700	0.250311	-5184.99
800	0.250311	-5174.62
900	0.250311	-5198.77
1000	0.250311	-5154.09
300	0.225909	-5183.8
400	0.225909	-5176.32
500	0.225909	-5222.36
600	0.225909	-5240.58
700	0.225909	-5189.72
800	0.225909	-5205.61
900	0.225909	-5225.03
1000	0.225909	-5168.6
300	0.203223	-5201.3
400	0.203223	-5266.89
500	0.203223	-5187.46
600	0.203223	-5199.77
700	0.203223	-5210.59
800	0.203223	-5200.49
900	0.203223	-5239.02
1000	0.203223	-5190.51
300	0.182181	-5227.67
400	0.182181	-5154.28
500	0.182181	-5208.25
600	0.182181	-5211.6
700	0.182181	-5240.71
800	0.182181	-5197.73
900	0.182181	-5219.94
1000	0.182181	-5188.84
300	0.162715	-5236.33
400	0.162715	-5246.88
500	0.162715	-5219.43
600	0.162715	-5314.06
700	0.162715	-5248.72
800	0.162715	-5243.54
900	0.162715	-5238.72
1000	0.162715	-5264.57
300	0.144753	-5304.63
400	0.144753	-5222.22
500	0.144753	-5309.39
600	0.144753	-5341.89
700	0.144753	-5299.57
800	0.144753	-5171.55
900	0.144753	-5279.7
1000	0.144753	-5280.6
300	0.128227	-5371.05
400	0.128227	-5341.82
500	0.128227	-5289.49
600	0.128227	-5280.16
700	0.128227	-5223.54
800	0.128227	-5265.49
900	0.128227	-5276.3
1000	0.128227	-5278.34
300	0.113069	-5342.99
400	0.113069	-5324.86
500	0.113069	-5258.66
600	0.113069	-5262.86
700	0.113069	-5319.78
800	0.113069	-5326.38
900	0.113069	-5283.61
1000	0.113069	-5265.2
300	0.0992126	-5436.77
400	0.0992126	-5385.51
500	0.0992126	-5398.2
600	0.0992126	-5331.38
700	0.0992126	-5348.29
800	0.0992126	-5331.98
900	0.0992126	-5295.86
1000	0.0992126	-5292.25
300	0.0865906	-5366.84
400	0.0865906	-5399.29
500	0.0865906	-5400.95
600	0.0865906	-5416.99
700	0.0865906	-5345.71
800	0.0865906	-5291
900	0.0865906	-5406.32
1000	0.0865906	-5351
300	0.0751379	-5584.32
400	0.0751379	-5461.14
500	0.0751379	-5408.27
600	0.0751379	-5524.16
700	0.0751379	-5489.92
800	0.0751379	-5523.63
900	0.0751379	-5495.55
1000	0.0751379	-5458.53
300	0.0647902	-5490.99
400	0.0647902	-5386.98
500	0.0647902	-5456.59
600	0.0647902	-5365.49
700	0.0647902	-5401.02
800	0.0647902	-5436.41
900	0.0647902	-5439.6
1000	0.0647902	-5405.99
300	0.0554836	-5425.53
400	0.0554836	-5620.32
500	0.0554836	-5681.8
600	0.0554836	-5480.51
700	0.0554836	-5303.56
800	0.0554836	-5398.05
900	0.0554836	-5539.94
1000	0.0554836	-5583.6
300	0.0471556	-5584.98
400	0.0471556	-5564.16
500	0.0471556	-5533.15
600	0.0471556	-5693.23
700	0.0471556	-5608.42
800	0.0471556	-5578.01
900	0.0471556	-5646.72
1000	0.0471556	-5553.87
300	0.0397447	-5578.14
400	0.0397447	-5598.93
500	0.0397447	-5720.73
600	0.0397447	-5726.88
700	0.0397447	-5469.57
800	0.0397447	-5628.12
900	0.0397447	-5743
1000	0.0397447	-5701.81
300	0.0331901	-5582.82
400	0.0331901	-5749.05
500	0.0331901	-5580.29
600	0.0331901	-5533.38
700	0.0331901	-5534.6
800	0.0331901	-5589.89
900	0.0331901	-5790.61
1000	0.0331901	-5614.68
300	0.0274324	-5724.06
400	0.0274324	-5673.93
500	0.0274324	-5786.92
600	0.0274324	-5894.52
700	0.0274324	-5728.8
800	0.0274324	-5620.58
900	0.0274324	-5833.01
1000	0.0274324	-5693.45
300	0.022413	-5731.91
400	0.022413	-6354.9
500	0.022413	-5790
600	0.022413	-5957.31
700	0.022413	-5916.1
800	0.022413	-5863.29
900	0.022413	-5811.35
1000	0.022413	-5930.29
300	0.0180747	-5989.47
400	0.0180747	-5665.98
500	0.0180747	-5756.83
600	0.0180747	-5832.13
700	0.0180747	-5765.82
800	0.0180747	-6107.65
900	0.0180747	-5801.87
1000	0.0180747	-6088.46
300	0.0143613	-5877.23
400	0.0143613	-6251.62
500	0.0143613	-5871.86
600	0.0143613	-6459.99
700	0.0143613	-6320.06
800	0.0143613	-5950.92
900	0.0143613	-6104.72
1000	0.0143613	-6043.58
300	0.0112179	-6515.42
400	0.0112179	-6071.88
500	0.0112179	-6478.7
600	0.0112179	-6178.55
700	0.0112179	-6134.97
800	0.0112179	-6121.75
900	0.0112179	-6183.34
1000	0.0112179	-6067.44
300	0.00859087	-6095.02
400	0.00859087	-6273.3
500	0.00859087	-6506.1
600	0.00859087	-6697.22
700	0.00859087	-6241.05
800	0.00859087	-6185.7
900	0.00859087	-6247.93
1000	0.00859087	-6374.76
300	0.006428	-6598.18
400	0.006428	-7073.9
500	0.006428	-7095.79
600	0.006428	-6961.21
700	0.006428	-6434.56
800	0.006428	-6378.53
900	0.006428	-6331.96
1000	0.006428	-6818.71
300	0.00467843	-6782.45
400	0.00467843	-6884.89
500	0.00467843	-6675.47
600	0.00467843	-6453.9
700	0.00467843	-6878.41
800	0.00467843	-7202.16
900	0.00467843	-6399.33
1000	0.00467843	-6159.88
300	0.00329287	-7219.52
400	0.00329287	-6728.3
500	0.00329287	-6952.84
600	0.00329287	-7942.18
700	0.00329287	-7035.27
800	0.00329287	-7568.05
900	0.00329287	-6216.45
1000	0.00329287	-6714.06
300	0.00222365	-6670.91
400	0.00222365	-8105.44
500	0.00222365	-8011.27
600	0.00222365	-7849.25
700	0.00222365	-7766.62
800	0.00222365	-7649.86
900	0.00222365	-7230.73
1000	0.00222365	-6821.55
300	0.00142482	-8061.82
400	0.00142482	-6579.46
500	0.00142482	-6915.7
600	0.00142482	-7522.5
700	0.00142482	-7098.65
800	0.00142482	-7658.14
900	0.00142482	-7598.87
1000	0.00142482	-6861.5
300	0.000852323	-8586.97
400	0.000852323	-8514.18
500	0.000852323	-7703.8
600	0.000852323	-7212.67
700	0.000852323	-7074.01
800	0.000852323	-8117.53
900	0.000852323	-7323.99
1000	0.000852323	-8447.91
300	0.000464159	-8954.17
400	0.000464159	-8385.23
500	0.000464159	-7275.37
600	0.000464159	-7315.41
700	0.000464159	-7442.62
800	0.000464159	-7600.69
900	0.000464159	-12107.9
1000	0.000464159	-7623.62
300	0.000220614	-8488.78
400	0.000220614	-7876.62
500	0.000220614	-7799.75
600	0.000220614	-8005.73
700	0.000220614	-9893.03
800	0.000220614	-8248.77
900	0.000220614	-7957.54
1000	0.000220614	-9084.02
300	8.45612e-05	-9835.68
400	8.45612e-05	-8316.76
500	8.45612e-05	-7414.59
600	8.45612e-05	-12585.5
700	8.45612e-05	-8838.6
800	8.45612e-05	-9080.72
900	8.45612e-05	-10573.3
1000	8.45612e-05	-10170.5
300	2.18877e-05	-8660.98
400	2.18877e-05	-8145.59
500	2.18877e-05	-8435.67
600	2.18877e-05	-7639.83
700	2.18877e-05	-6988.9
800	2.18877e-05	-7509.01
900	2.18877e-05	-7725.56
1000	2.18877e-05	-9974.54
300	2.17153e-06	-10840.4
400	2.17153e-06	-12049.7
500	2.17153e-06	-8745.36
600	2.17153e-06	-7249.23
700	2.17153e-06	-6949.93
800	2.17153e-06	-7593.3
900	2.17153e-06	-7988.61
1000	2.17153e-06	-6976.1
300	1.16658e-302	-8814.04
400	1.16658e-302	-10362.8
500	1.16658e-302	-10471.7
600	1.16658e-302	-7945.72
700	1.16658e-302	-7767.96
800	1.16658e-302	-8458.55
900	1.16658e-302	-6687.42
1000	1.16658e-302	-7600.72
