state	power	likelihood
300	1	-5143.99
400	1	-5143.76
500	1	-5144.91
600	1	-5143.16
700	1	-5142.34
800	1	-5156.44
900	1	-5150.34
1000	1	-5150.97
300	0.934875	-5152.17
400	0.934875	-5149.7
500	0.934875	-5150.3
600	0.934875	-5149.36
700	0.934875	-5143.43
800	0.934875	-5145.58
900	0.934875	-5145.06
1000	0.934875	-5142.87
300	0.872779	-5147.96
400	0.872779	-5155.54
500	0.872779	-5144.95
600	0.872779	-5158.32
700	0.872779	-5147.14
800	0.872779	-5140.97
900	0.872779	-5154.9
1000	0.872779	-5148.7
300	0.813628	-5154.52
400	0.813628	-5149.57
500	0.813628	-5143.37
600	0.813628	-5146.69
700	0.813628	-5148.28
800	0.813628	-5156.31
900	0.813628	-5153.28
1000	0.813628	-5150.07
300	0.757343	-5147.92
400	0.757343	-5156.11
500	0.757343	-5149.21
600	0.757343	-5150.43
700	0.757343	-5150.55
800	0.757343	-5154.68
900	0.757343	-5154.5
1000	0.757343	-5147.06
300	0.703842	-5166.91
400	0.703842	-5161.81
500	0.703842	-5154.18
600	0.703842	-5147.22
700	0.703842	-5160.22
800	0.703842	-5152.08
900	0.703842	-5156.52
1000	0.703842	-5155.78
300	0.653044	-5160.5
400	0.653044	-5149.88
500	0.653044	-5156.24
600	0.653044	-5155.18
700	0.653044	-5156.87
800	0.653044	-5157.7
900	0.653044	-5154.17
1000	0.653044	-5156.19
300	0.604869	-5158.34
400	0.604869	-5158.82
500	0.604869	-5158.56
600	0.604869	-5164.63
700	0.604869	-5167.37
800	0.604869	-5162.07
900	0.604869	-5149.2
1000	0.604869	-5161.12
300	0.559239	-5153.4
400	0.559239	-5161.71
500	0.559239	-5170.82
600	0.559239	-5158.65
700	0.559239	-5161.55
800	0.559239	-5155.15
900	0.559239	-5165.46
1000	0.559239	-5164.34
300	0.516075	-5173.41
400	0.516075	-5157.92
500	0.516075	-5186.34
600	0.516075	-5158.83
700	0.516075	-5147.67
800	0.516075	-5152.28
900	0.516075	-5159.35
1000	0.516075	-5158.85
300	0.475299	-5165.06
400	0.475299	-5191.62
500	0.475299	-5158.85
600	0.475299	-5168.56
700	0.475299	-5182.11
800	0.475299	-5169.71
900	0.475299	-5190.33
1000	0.475299	-5186.8
300	0.436833	-5165.86
400	0.436833	-5163.7
500	0.436833	-5185.15
600	0.436833	-5181.66
700	0.436833	-5189.88
800	0.436833	-5177.25
900	0.436833	-5207.56
1000	0.436833	-5183.09
300	0.400601	-5156.93
400	0.400601	-5172.09
500	0.400601	-5173.85
600	0.400601	-5174.84
700	0.400601	-5176.76
800	0.400601	-5165.41
900	0.400601	-5153.64
1000	0.400601	-5179.07
300	0.366527	-5180.96
400	0.366527	-5196.49
