state	power	likelihood
300	1	-5208
400	1	-5213.97
500	1	-5209.92
600	1	-5207.05
700	1	-5216.22
800	1	-5215.59
900	1	-5213.22
1000	1	-5219.23
300	0.934875	-5207.69
400	0.934875	-5206.82
500	0.934875	-5209.34
600	0.934875	-5207.75
700	0.934875	-5212.19
800	0.934875	-5214.87
900	0.934875	-5208.93
1000	0.934875	-5210.98
300	0.872779	-5210.48
400	0.872779	-5212.41
500	0.872779	-5217.66
600	0.872779	-5219.23
700	0.872779	-5211.79
800	0.872779	-5215.22
900	0.872779	-5219.44
1000	0.872779	-5212.14
300	0.813628	-5214.28
400	0.813628	-5226.43
500	0.813628	-5222.05
600	0.813628	-5212.05
700	0.813628	-5210.73
800	0.813628	-5215.21
900	0.813628	-5207.85
1000	0.813628	-5214.72
300	0.757343	-5225.11
400	0.757343	-5221.59
500	0.757343	-5219.51
600	0.757343	-5223.63
700	0.757343	-5211.48
800	0.757343	-5210.96
900	0.757343	-5219.44
1000	0.757343	-5217.52
300	0.703842	-5217.16
400	0.703842	-5223.33
500	0.703842	-5217.81
600	0.703842	-5233.48
700	0.703842	-5227.14
800	0.703842	-5220.07
900	0.703842	-5217.1
1000	0.703842	-5226.03
300	0.653044	-5221.39
400	0.653044	-5210.71
500	0.653044	-5215.81
600	0.653044	-5218.27
700	0.653044	-5211.66
800	0.653044	-5221.07
900	0.653044	-5233.97
1000	0.653044	-5218.45
300	0.604869	-5227.4
400	0.604869	-5237.73
500	0.604869	-5236.88
600	0.604869	-5232.07
700	0.604869	-5223.02
800	0.604869	-5215.73
900	0.604869	-5220.81
1000	0.604869	-5239.78
300	0.559239	-5243.33
400	0.559239	-5224.75
500	0.559239	-5210.71
600	0.559239	-5229.96
700	0.559239	-5219.81
800	0.559239	-5227.44
900	0.559239	-5234.3
1000	0.559239	-5225.27
300	0.516075	-5250.88
400	0.516075	-5238.33
500	0.516075	-5231.9
600	0.516075	-5226.05
700	0.516075	-5214.85
800	0.516075	-5226.43
900	0.516075	-5227.92
1000	0.516075	-5234.3
300	0.475299	-5226.18
400	0.475299	-5233.82
500	0.475299	-5218.19
600	0.475299	-5238.04
700	0.475299	-5239.26
800	0.475299	-5245.7
900	0.475299	-5236.52
1000	0.475299	-5235.17
300	0.436833	-5248.63
400	0.436833	-5231.71
500	0.436833	-5222.73
600	0.436833	-5235.65
700	0.436833	-5251.56
800	0.436833	-5238.45
900	0.436833	-5227.67
1000	0.436833	-5237.67
300	0.400601	-5264.36
400	0.400601	-5251.53
500	0.400601	-5269.05
600	0.400601	-5264.94
700	0.400601	-5233.34
800	0.400601	-5240.15
900	0.400601	-5254.46
1000	0.400601	-5262.24
300	0.366527	-5230.04
400	0.366527	-5227.68
500	0.366527	-5241.71
600	0.366527	-5236.69
700	0.366527	-5251.78
800	0.366527	-5252.02
900	0.366527	-5234.91
1000	0.366527	-5243.61
300	0.334535	-5243.39
400	0.334535	-5238.9
500	0.334535	-5245.55
600	0.334535	-5295.75
700	0.334535	-5235.86
800	0.334535	-5265.48
900	0.334535	-5272.09
1000	0.334535	-5236.9
300	0.304551	-5250.14
400	0.304551	-5251.02
500	0.304551	-5265.12
600	0.304551	-5252.32
700	0.304551	-5226.95
800	0.304551	-5274.42
900	0.304551	-5293.13
1000	0.304551	-5238.67
300	0.276501	-5254.71
400	0.276501	-5237.47
500	0.276501	-5259.06
600	0.276501	-5258.43
700	0.276501	-5251.59
800	0.276501	-5304.03
900	0.276501	-5250.29
1000	0.276501	-5280.18
300	0.250311	-5265.89
400	0.250311	-5292.59
500	0.250311	-5261.89
600	0.250311	-5255.76
700	0.250311	-5286.51
800	0.250311	-5257.99
900	0.250311	-5259.88
1000	0.250311	-5250.53
300	0.225909	-5282.19
400	0.225909	-5277.62
500	0.225909	-5273.47
600	0.225909	-5275.74
700	0.225909	-5270.11
800	0.225909	-5301.99
900	0.225909	-5255.31
1000	0.225909	-5289.27
300	0.203223	-5290.06
400	0.203223	-5296.12
500	0.203223	-5321.35
600	0.203223	-5281.9
700	0.203223	-5311.37
800	0.203223	-5312.08
900	0.203223	-5273.56
1000	0.203223	-5294.65
300	0.182181	-5277.26
400	0.182181	-5319.06
500	0.182181	-5285.3
600	0.182181	-5256.88
700	0.182181	-5275.36
800	0.182181	-5291.24
900	0.182181	-5278.98
1000	0.182181	-5309.93
300	0.162715	-5325.61
400	0.162715	-5306.16
500	0.162715	-5353.77
600	0.162715	-5285.81
700	0.162715	-5282.46
800	0.162715	-5295.17
900	0.162715	-5289.96
1000	0.162715	-5317.71
300	0.144753	-5317.95
400	0.144753	-5362.47
500	0.144753	-5301.76
600	0.144753	-5329.07
700	0.144753	-5346.92
800	0.144753	-5365.15
900	0.144753	-5318.71
1000	0.144753	-5351.36
300	0.128227	-5305.77
400	0.128227	-5277.54
500	0.128227	-5350.28
600	0.128227	-5388.93
700	0.128227	-5382.47
800	0.128227	-5442.76
900	0.128227	-5430.95
1000	0.128227	-5381.78
300	0.113069	-5396.23
400	0.113069	-5394.13
500	0.113069	-5371.22
600	0.113069	-5287.45
700	0.113069	-5394.93
800	0.113069	-5424.97
900	0.113069	-5437.24
1000	0.113069	-5378.49
300	0.0992126	-5405.47
400	0.0992126	-5427.85
500	0.0992126	-5461.98
600	0.0992126	-5407.15
700	0.0992126	-5416.64
800	0.0992126	-5341.43
900	0.0992126	-5420.27
1000	0.0992126	-5443.7
300	0.0865906	-5492.5
400	0.0865906	-5442.12
500	0.0865906	-5540.66
600	0.0865906	-5580.06
700	0.0865906	-5535.22
800	0.0865906	-5490.41
900	0.0865906	-5445.19
1000	0.0865906	-5398.58
300	0.0751379	-5541.95
400	0.0751379	-5556.56
500	0.0751379	-5577.51
600	0.0751379	-5514.08
700	0.0751379	-5510.85
800	0.0751379	-5606.86
