state	power	likelihood
100	1	-9682.26
100	0.934875	-9683.2
100	0.872779	-9681.5
100	0.813628	-9691.31
100	0.757343	-9682.86
100	0.703842	-9675.1
100	0.653044	-9673.2
100	0.604869	-9659.04
100	0.559239	-9653.67
100	0.516075	-9662.14
100	0.475299	-9671.3
100	0.436833	-9670.45
100	0.400601	-9698.5
100	0.366527	-9687.3
100	0.334535	-9688.98
100	0.304551	-9691.25
100	0.276501	-9714.48
100	0.250311	-9694.74
100	0.225909	-9697.69
100	0.203223	-9714.23
100	0.182181	-9728.96
100	0.162715	-9763.51
100	0.144753	-9771.67
100	0.128227	-9758.65
100	0.113069	-9875.92
100	0.0992126	-9871.96
100	0.0865906	-9850.88
100	0.0751379	-9873.55
100	0.0647902	-9820.6
100	0.0554836	-9943.67
100	0.0471556	-10130.1
100	0.0397447	-10239.1
100	0.0331901	-10379.5
100	0.0274324	-10262.6
100	0.022413	-10255.9
100	0.0180747	-10479.1
100	0.0143613	-11029
100	0.0112179	-11324.8
100	0.00859087	-12682.8
100	0.006428	-12673.4
100	0.00467843	-12706.6
100	0.00329287	-12947.4
100	0.00222365	-14275.5
100	0.00142482	-15515.8
100	0.000852323	-16161.3
100	0.000464159	-20279.3
100	0.000220614	-17670.6
100	8.45612e-05	-29448.7
100	2.18877e-05	-29504.7
100	2.17153e-06	-24074.6
100	1.16658e-302	-32432.9
