Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
0	-9885.37	-9896.53	11.1606	0.277888	0.186864	0.23158	0.303668	0.12107	0.268578	0.0434621	0.0668618	0.421297	0.0787302	0.0706752	0.355657	0.918611	2.65506	0.683534	0.0096674	0.0347367	0.0323363	0.0186469	0.0649066	0.0375999	0.567356	0.0134764	0.0120868	0.0360282	0.0132441	0.016235	0.017283	0.0056954	0.0273311	0.90663
10	-9882.48	-9893.67	11.1941	0.271574	0.189071	0.249311	0.290044	0.121214	0.269497	0.053411	0.0487077	0.430835	0.0763351	0.0666038	0.346231	0.910921	2.67624	0.664388	0.0143057	0.0339457	0.0356015	0.0217111	0.0593684	0.0436705	0.559531	0.00933309	0.00802373	0.0377352	0.00586956	0.0215205	0.0164265	0.00712118	0.0292123	0.903376
20	-9884.36	-9896.04	11.6811	0.297854	0.183764	0.23055	0.287833	0.11581	0.250429	0.05103	0.0689221	0.420048	0.0937609	0.0762951	0.368145	0.928467	2.62709	0.709858	0.0125207	0.0426943	0.046324	0.0209465	0.0593684	0.0392488	0.501772	0.0126981	0.00833031	0.032346	0.00783769	0.018047	0.017336	0.0102695	0.0247074	0.854446
30	-9883.93	-9895.4	11.4766	0.29454	0.180892	0.230616	0.293953	0.117654	0.265387	0.0478356	0.0704832	0.414301	0.0843393	0.0637571	0.339435	0.905239	2.69157	0.650944	0.0146636	0.0431814	0.0442779	0.0209184	0.0601443	0.0438935	0.511419	0.00737752	0.0117914	0.040115	0.0107113	0.0178531	0.00907219	0.00589078	0.0338794	0.875189
40	-9887.71	-9899.83	12.1236	0.291568	0.191328	0.224375	0.292729	0.11742	0.26233	0.0405996	0.0638101	0.415561	0.10028	0.0660663	0.344961	0.909869	2.6791	0.661853	0.0105688	0.028909	0.0402793	0.0282356	0.0615856	0.0468569	0.465865	0.00753769	0.00881908	0.0306127	0.00667458	0.0197003	0.0282659	0.00632292	0.0202018	0.810435
50	-9883.91	-9894.95	11.0341	0.293087	0.185296	0.231104	0.290513	0.142585	0.262676	0.037082	0.048971	0.434213	0.0744734	0.0589269	0.327476	0.894952	2.71865	0.627987	0.0105688	0.0440871	0.0363007	0.0186641	0.0614097	0.0410545	0.567089	0.00905338	0.00728636	0.0392744	0.0113674	0.0160388	0.00939539	0.00978843	0.0381765	0.919555
60	-9896.3	-9907.21	10.9111	0.286984	0.19682	0.225676	0.29052	0.132264	0.261161	0.0521332	0.0486887	0.431709	0.074044	0.0792993	0.374593	0.933414	2.61269	0.723902	0.011607	0.036028	0.0468886	0.0241915	0.0509334	0.0595098	0.567089	0.00765508	0.0139948	0.0424785	0.00654093	0.0107912	0.00541682	0.0052948	0.0429562	0.931376
70	-9881.45	-9893.38	11.9281	0.286918	0.181311	0.227383	0.304387	0.121342	0.261287	0.047828	0.0619995	0.439615	0.0679294	0.0639742	0.339959	0.905682	2.69038	0.651971	0.0129747	0.031303	0.0425915	0.0223105	0.0596828	0.0430506	0.489686	0.0120834	0.00624595	0.0354777	0.00598806	0.0168839	0.0150456	0.00868995	0.0280179	0.830032
80	-9883.18	-9894.72	11.5431	0.284228	0.17827	0.23597	0.301533	0.11244	0.242667	0.0494727	0.0574511	0.455917	0.082053	0.0696697	0.35336	0.916757	2.66021	0.678813	0.0129747	0.0336485	0.0389399	0.0161265	0.0564034	0.046827	0.533667	0.0106102	0.00855051	0.0412752	0.00713798	0.0138224	0.0216238	0.00514218	0.0216471	0.868397
90	-9890.18	-9901.83	11.6499	0.291798	0.179364	0.242255	0.286584	0.121886	0.248887	0.0403346	0.0565468	0.423134	0.109211	0.0668564	0.346826	0.911413	2.67491	0.665578	0.00999732	0.0388032	0.0365285	0.0184795	0.0548835	0.050421	0.51242	0.0106203	0.0110907	0.0382782	0.00482232	0.0207903	0.0159091	0.00580491	0.0289324	0.857781
100	-9889.1	-9899.8	10.7014	0.28074	0.191685	0.250858	0.276716	0.122781	0.236471	0.0497517	0.0605624	0.465158	0.0652751	0.0510742	0.306728	0.876187	2.76601	0.590107	0.0128094	0.043203	0.0375001	0.0270493	0.0702406	0.0539444	0.579373	0.0109107	0.00616999	0.0351057	0.00708616	0.017391	0.0156566	0.00644601	0.0301321	0.953018
110	-9886.04	-9898.1	12.06	0.276545	0.187862	0.233101	0.302491	0.121996	0.270648	0.0567882	0.0687598	0.409746	0.0720622	0.0610296	0.332751	0.899536	2.70668	0.638006	0.0136014	0.0398157	0.0441786	0.0224316	0.0471538	0.0440005	0.483013	0.0081108	0.00702781	0.0353329	0.00979141	0.0135287	0.0243338	0.00665603	0.0179394	0.816916
120	-9883.7	-9895.16	11.4604	0.287818	0.187671	0.2255	0.299012	0.108131	0.278168	0.0590539	0.0546048	0.425105	0.0749373	0.051455	0.307776	0.877163	2.76361	0.591964	0.012968	0.03622	0.0375185	0.0220238	0.045589	0.0426387	0.542657	0.0105611	0.00803199	0.036215	0.0112099	0.0201632	0.016631	0.00908197	0.025595	0.877104
130	-9886.36	-9897.81	11.4543	0.29676	0.185314	0.222668	0.295257	0.105798	0.259243	0.0594284	0.054321	0.443735	0.0774747	0.0863246	0.389112	0.944205	2.58036	0.756732	0.0101978	0.0335137	0.041593	0.0283922	0.0726054	0.0508341	0.498	0.0127494	0.00806688	0.0364919	0.0112478	0.0187626	0.0156377	0.00390684	0.034889	0.876888
140	-9883.71	-9894.48	10.7678	0.278234	0.190196	0.228534	0.303035	0.112663	0.276064	0.0632844	0.0578456	0.407641	0.0825017	0.0747656	0.364803	0.925866	2.63457	0.702702	0.0115764	0.0403759	0.0414902	0.0220614	0.0667722	0.044447	0.575684	0.00849877	0.00973183	0.0406843	0.00692826	0.0160051	0.0199149	0.00658317	0.0350529	0.945806
150	-9892.24	-9903.22	10.9841	0.280229	0.195887	0.234402	0.289481	0.115673	0.243339	0.0702895	0.0457147	0.452764	0.0722201	0.0606695	0.331855	0.898762	2.70871	0.636293	0.00838553	0.0403759	0.0516303	0.0186382	0.0703985	0.0414717	0.546778	0.00776041	0.0067311	0.0428994	0.0115997	0.0165788	0.013552	0.00653579	0.041178	0.924513
160	-9887.21	-9898.07	10.8527	0.275663	0.197496	0.236328	0.290512	0.11687	0.264073	0.0618157	0.0432139	0.44443	0.069597	0.0607502	0.332056	0.898936	2.70826	0.636678	0.0134366	0.0462408	0.039373	0.021673	0.0586627	0.0438533	0.561292	0.0130007	0.0074961	0.0436801	0.0106178	0.0191158	0.0146274	0.0130782	0.0315004	0.937649
170	-9884.21	-9895.67	11.4688	0.279893	0.184332	0.240336	0.295439	0.107152	0.27898	0.0596636	0.0417094	0.428958	0.0835373	0.0649568	0.342321	0.907666	2.68506	0.656616	0.0082072	0.0337055	0.0392031	0.0253397	0.0564554	0.0467884	0.534771	0.0100073	0.00974747	0.030794	0.00956568	0.0154743	0.00544359	0.0090437	0.041391	0.875937
180	-9886.34	-9898.28	11.9416	0.285348	0.183328	0.239027	0.292297	0.111963	0.253724	0.0558349	0.0459095	0.451237	0.0813321	0.0839184	0.384224	0.940624	2.59123	0.745485	0.0128768	0.0336803	0.0337217	0.0222759	0.0577887	0.0424773	0.485108	0.0100073	0.00652751	0.0438464	0.00821644	0.0187889	0.00607938	0.0135037	0.0333165	0.828214
