state	power	likelihood
200	1	-9897.49
300	1	-9896.46
400	1	-9897.25
500	1	-9899.33
200	0.907896	-9900.66
300	0.907896	-9900.49
400	0.907896	-9904.78
500	0.907896	-9901.57
200	0.821901	-9897.85
300	0.821901	-9899.69
400	0.821901	-9900.34
500	0.821901	-9898.57
200	0.741777	-9907.8
300	0.741777	-9903.65
400	0.741777	-9911.95
500	0.741777	-9909.51
200	0.667286	-9900.38
300	0.667286	-9903.95
400	0.667286	-9897.16
500	0.667286	-9909.58
200	0.598197	-9913.94
300	0.598197	-9909.18
400	0.598197	-9906.88
500	0.598197	-9904.08
200	0.534277	-9910.75
300	0.534277	-9904.98
400	0.534277	-9906.44
500	0.534277	-9906.01
200	0.475299	-9907.62
300	0.475299	-9910.32
400	0.475299	-9907.52
500	0.475299	-9915.81
200	0.421036	-9914.26
300	0.421036	-9910.7
400	0.421036	-9911.47
500	0.421036	-9915.71
200	0.371265	-9908.95
300	0.371265	-9909.6
400	0.371265	-9919.91
500	0.371265	-9923.14
200	0.325767	-9963.39
300	0.325767	-9912.13
400	0.325767	-9915.18
500	0.325767	-9911.68
200	0.284322	-9942.65
300	0.284322	-9923.51
400	0.284322	-9911.55
500	0.284322	-9938.98
200	0.246717	-9927.41
300	0.246717	-9933.76
400	0.246717	-9950.32
500	0.246717	-9912.69
200	0.21274	-9941.85
300	0.21274	-9949.69
400	0.21274	-9967.2
500	0.21274	-9933.24
200	0.182181	-9956.94
300	0.182181	-9928.83
400	0.182181	-9935.77
500	0.182181	-9967.17
200	0.154836	-9970.32
300	0.154836	-9940.11
400	0.154836	-9992.03
500	0.154836	-9989.35
200	0.130502	-9965.34
300	0.130502	-9975.91
400	0.130502	-9974.81
500	0.130502	-10006.7
200	0.10898	-10070
300	0.10898	-10048.5
400	0.10898	-9992.65
500	0.10898	-10029.6
200	0.0900747	-10044.4
300	0.0900747	-9974.45
400	0.0900747	-10035.6
500	0.0900747	-9965.32
200	0.0735936	-10034.8
300	0.0735936	-10074.8
400	0.0735936	-10130.2
500	0.0735936	-10084.4
200	0.0593486	-10020.8
300	0.0593486	-9997.96
400	0.0593486	-10114.3
500	0.0593486	-10135.3
200	0.0471556	-10185.1
300	0.0471556	-10040.3
400	0.0471556	-10292.6
500	0.0471556	-10209.9
200	0.0368342	-10448.9
300	0.0368342	-10191.5
400	0.0368342	-10535.3
500	0.0368342	-10235.1
200	0.0282083	-10497.6
300	0.0282083	-10257.1
400	0.0282083	-10298
500	0.0282083	-10774.6
200	0.0211065	-10671.5
300	0.0211065	-10525.7
400	0.0211065	-10395
500	0.0211065	-10451.1
200	0.0153617	-10792.5
300	0.0153617	-10846.6
400	0.0153617	-11596.1
500	0.0153617	-10406.4
200	0.0108122	-11491.7
300	0.0108122	-10799.2
400	0.0108122	-10856.1
500	0.0108122	-10887.1
200	0.00730141	-11460.9
300	0.00730141	-11580.5
400	0.00730141	-11425.7
500	0.00730141	-11950.6
200	0.00467843	-11557.3
300	0.00467843	-13178.7
400	0.00467843	-12792.5
500	0.00467843	-12149.9
200	0.00279862	-13638.6
300	0.00279862	-14446.4
400	0.00279862	-12023.2
500	0.00279862	-13038.5
200	0.00152408	-13111.7
300	0.00152408	-12290.5
400	0.00152408	-13953.2
500	0.00152408	-13609.9
200	0.000724391	-13440.4
300	0.000724391	-13353.8
400	0.000724391	-15196.4
500	0.000724391	-14389.5
200	0.000277658	-15145.6
300	0.000277658	-13008.2
400	0.000277658	-13863
500	0.000277658	-15785.3
200	7.18687e-05	-16672.7
300	7.18687e-05	-14510.4
400	7.18687e-05	-12966.7
500	7.18687e-05	-13033
200	7.13028e-06	-13702.1
300	7.13028e-06	-15362.9
400	7.13028e-06	-18310
500	7.13028e-06	-15551.9
200	1.16658e-302	-14617.8
300	1.16658e-302	-14153.1
400	1.16658e-302	-15121.9
500	1.16658e-302	-15269.9
