Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
0	-42.1772	-46.4221	4.24491	0.0138074	0.0915335	0.14855	0.448825	0.402625
10	-58.3912	-62.0078	3.61661	0.00796633	0.160204	0.685981	0.218356	0.0956626
20	-49.9576	-54.1162	4.15861	0.0202426	0.0937282	0.226039	0.602414	0.171547
30	-61.6702	-64.8093	3.13913	0.0642887	0.15163	0.284143	0.428092	0.287766
40	-53.5455	-56.7647	3.21916	0.122343	0.0855726	0.556374	0.35295	0.0906761
50	-53.9549	-57.1034	3.14851	0.113236	0.101744	0.690912	0.0389457	0.270142
60	-68.3355	-71.3568	3.02125	0.0406239	0.187083	0.244481	0.460608	0.294912
70	-50.8129	-53.5866	2.77375	0.117875	0.134582	0.691491	0.213801	0.0947075
80	-52.4575	-54.4628	2.0053	0.17169	0.157612	0.471313	0.221015	0.307671
90	-54.2797	-56.9192	2.63957	0.119786	0.146089	0.102575	0.584495	0.31293
100	-52.8912	-56.1442	3.25294	0.0525331	0.152005	0.0149539	0.501913	0.483133
110	-74.0479	-76.7317	2.68387	0.100628	0.160817	0.00137224	0.614725	0.383902
120	-54.3921	-57.6941	3.30204	0.077053	0.122575	0.172926	0.188159	0.638915
130	-84.1399	-86.6217	2.48178	0.0879679	0.193686	0.262189	0.455167	0.282644
140	-68.2194	-71.4791	3.25971	0.0904494	0.113411	0.394476	0.15261	0.452914
150	-48.2143	-51.0751	2.86078	0.115054	0.1287	0.424732	0.25868	0.316588
160	-65.7078	-67.8171	2.10928	0.177971	0.140933	0.395688	0.451305	0.153006
170	-57.6378	-60.7374	3.09958	0.0522665	0.167608	0.525611	0.314995	0.159394
180	-52.1751	-55.9621	3.78704	0.0433947	0.107733	0.228629	0.532651	0.23872
190	-56.5057	-60.022	3.51634	0.0454619	0.132736	0.531274	0.268764	0.199961
200	-70.3626	-73.0748	2.71221	0.0648529	0.193758	0.371981	0.545292	0.0827275
210	-54.3871	-56.4358	2.04862	0.17601	0.14896	0.297688	0.582845	0.119467
220	-71.151	-73.8899	2.7389	0.0639417	0.192	0.74068	0.121013	0.138307
230	-52.0757	-56.1542	4.07857	0.0417061	0.0802691	0.685738	0.172693	0.141569
240	-49.9698	-53.5134	3.54361	0.0741771	0.101294	0.0572686	0.112425	0.830306
250	-59.3179	-62.9427	3.62474	0.0163474	0.151011	0.196982	0.445758	0.35726
260	-69.7692	-72.6438	2.87461	0.0611756	0.181195	0.265352	0.456517	0.278131
270	-50.8072	-54.5609	3.7537	0.0607126	0.0937494	0.354048	0.625243	0.0207082
280	-61.4123	-63.9658	2.5535	0.0869118	0.187569	0.421225	0.549606	0.0291683
290	-76.0139	-78.9804	2.96654	0.0625072	0.170671	0.714735	0.15099	0.134275
300	-49.9056	-52.6036	2.69805	0.0992304	0.160796	0.874808	0.0831214	0.0420703
310	-61.8494	-64.7083	2.85886	0.0487024	0.195243	0.114045	0.5362	0.349755
320	-49.9445	-51.257	1.31253	0.264644	0.133935	0.15995	0.411279	0.428771
330	-49.0833	-52.4121	3.32883	0.116865	0.0800838	0.0411008	0.412061	0.546839
340	-52.1401	-55.9105	3.77036	0.0244637	0.128332	0.102743	0.444783	0.452474
350	-49.248	-53.0672	3.81917	0.0316484	0.116266	0.334518	0.232514	0.432968
360	-57.6784	-61.1039	3.42555	0.0833988	0.103878	0.512297	0.380147	0.107556
370	-64.657	-67.0725	2.41546	0.0960465	0.192239	0.571277	0.279825	0.148899
380	-59.5651	-61.6171	2.05202	0.157881	0.166749	0.532189	0.188021	0.27979
390	-52.6189	-55.5847	2.96579	0.0500649	0.183187	0.0985336	0.447225	0.454242
400	-52.8368	-55.522	2.68518	0.154669	0.106644	0.14845	0.406925	0.444624
410	-56.3918	-58.5328	2.14095	0.148255	0.167481	0.446911	0.286963	0.266126
420	-72.6489	-75.1119	2.46302	0.115221	0.168308	0.234789	0.541457	0.223754
430	-60.4505	-60.7522	0.3017	0.333818	0.165844	0.606559	0.337759	0.0556821
