state	power	likelihood
300	1	-50.2193
400	1	-47.3731
500	1	-42.3784
600	1	-55.2516
700	1	-51.0234
800	1	-55.2814
900	1	-57.6998
1000	1	-44.8139
300	0.893146	-55.4538
400	0.893146	-59.2979
500	0.893146	-51.0851
600	0.893146	-46.3223
700	0.893146	-48.7368
800	0.893146	-50.4187
900	0.893146	-49.1125
1000	0.893146	-49.9408
300	0.794553	-46.766
400	0.794553	-47.2452
500	0.794553	-46.6254
600	0.794553	-47.299
700	0.794553	-46.5387
800	0.794553	-46.6901
900	0.794553	-48.3502
1000	0.794553	-47.955
300	0.703842	-49.4419
400	0.703842	-46.2204
500	0.703842	-50.6586
600	0.703842	-50.5311
700	0.703842	-46.2392
800	0.703842	-42.4503
900	0.703842	-53.9881
1000	0.703842	-46.3595
300	0.620641	-53.5055
400	0.620641	-45.7982
500	0.620641	-53.4498
600	0.620641	-47.8967
700	0.620641	-47.205
800	0.620641	-49.4354
900	0.620641	-46.547
1000	0.620641	-46.8096
300	0.544581	-51.8655
400	0.544581	-45.9071
500	0.544581	-48.7201
600	0.544581	-46.4319
700	0.544581	-49.4357
800	0.544581	-51.535
900	0.544581	-48.2849
1000	0.544581	-47.328
300	0.475299	-55.44
400	0.475299	-55.2452
500	0.475299	-52.4712
600	0.475299	-43.7625
700	0.475299	-51.1935
800	0.475299	-51.5909
900	0.475299	-52.3144
1000	0.475299	-49.1504
300	0.412435	-55.3998
400	0.412435	-51.7016
500	0.412435	-58.2698
600	0.412435	-52.8998
700	0.412435	-49.3634
800	0.412435	-50.8046
900	0.412435	-48.865
1000	0.412435	-59.9789
300	0.355635	-49.6061
400	0.355635	-51.8842
500	0.355635	-46.8662
600	0.355635	-47.4172
700	0.355635	-53.613
800	0.355635	-48.8772
900	0.355635	-46.8494
1000	0.355635	-59.8404
300	0.304551	-59.2794
400	0.304551	-46.6139
500	0.304551	-50.983
600	0.304551	-56.1018
700	0.304551	-50.547
800	0.304551	-61.7275
900	0.304551	-68.533
1000	0.304551	-51.476
300	0.258839	-58.4631
400	0.258839	-57.4956
500	0.258839	-58.0263
600	0.258839	-62.0355
700	0.258839	-47.9925
800	0.258839	-68.1716
900	0.258839	-59.0616
1000	0.258839	-47.4461
300	0.21816	-64.897
400	0.21816	-54.582
500	0.21816	-53.2204
600	0.21816	-62.7448
700	0.21816	-53.226
800	0.21816	-54.229
900	0.21816	-65.7066
1000	0.21816	-59.3456
300	0.182181	-64.5332
400	0.182181	-55.2263
500	0.182181	-59.7628
600	0.182181	-48.723
700	0.182181	-54.7861
800	0.182181	-50.4026
900	0.182181	-56.1035
1000	0.182181	-54.6104
300	0.150577	-68.5106
400	0.150577	-61.3605
500	0.150577	-64.2244
600	0.150577	-40.1516
700	0.150577	-62.1078
800	0.150577	-62.5528
900	0.150577	-56.9004
1000	0.150577	-59.1619
300	0.123026	-59.0215
400	0.123026	-57.4738
500	0.123026	-66.2771
600	0.123026	-79.6249
700	0.123026	-55.8913
800	0.123026	-59.028
900	0.123026	-55.064
1000	0.123026	-47.4467
300	0.0992126	-65.6585
400	0.0992126	-47.3604
500	0.0992126	-50.9429
600	0.0992126	-51.3777
700	0.0992126	-59.7227
800	0.0992126	-47.3275
900	0.0992126	-62.7144
1000	0.0992126	-58.0324
300	0.0788296	-79.2687
400	0.0788296	-64.9645
500	0.0788296	-54.8404
600	0.0788296	-69.8051
700	0.0788296	-82.3752
800	0.0788296	-64.1752
900	0.0788296	-62.5511
1000	0.0788296	-55.9261
300	0.0615754	-62.0547
400	0.0615754	-53.5067
500	0.0615754	-52.7119
600	0.0615754	-63.7986
700	0.0615754	-47.6139
800	0.0615754	-55.2407
900	0.0615754	-64.8389
1000	0.0615754	-56.8882
300	0.0471556	-56.8294
400	0.0471556	-56.9473
500	0.0471556	-48.1678
600	0.0471556	-53.3577
700	0.0471556	-57.2632
800	0.0471556	-49.3413
900	0.0471556	-69.0652
1000	0.0471556	-57.1373
300	0.0352835	-59.7946
400	0.0352835	-51.5134
500	0.0352835	-54.7936
600	0.0352835	-62.5914
700	0.0352835	-68.8526
800	0.0352835	-49.8033
900	0.0352835	-53.3255
1000	0.0352835	-58.3956
300	0.02568	-66.6238
400	0.02568	-54.3434
500	0.02568	-64.374
600	0.02568	-61.1013
700	0.02568	-78.4577
800	0.02568	-52.3148
900	0.02568	-65.3162
1000	0.02568	-60.1146
300	0.0180747	-68.294
400	0.0180747	-46.8224
500	0.0180747	-60.5445
600	0.0180747	-50.6312
700	0.0180747	-60.5908
800	0.0180747	-52.9821
900	0.0180747	-66.2587
1000	0.0180747	-54.7511
300	0.0122057	-56.9986
400	0.0122057	-63.5747
500	0.0122057	-67.2645
600	0.0122057	-70.9163
700	0.0122057	-95.2521
800	0.0122057	-70.7889
900	0.0122057	-52.6644
1000	0.0122057	-73.2689
300	0.00782089	-56.6376
400	0.00782089	-69.2206
500	0.00782089	-60.1854
600	0.00782089	-63.4868
700	0.00782089	-52.9238
800	0.00782089	-58.051
900	0.00782089	-52.52
1000	0.00782089	-69.9774
300	0.00467843	-64.973
400	0.00467843	-63.6934
500	0.00467843	-54.6099
600	0.00467843	-67.8958
700	0.00467843	-64.9476
800	0.00467843	-50.7387
900	0.00467843	-70.1036
1000	0.00467843	-62.6605
300	0.00254778	-64.617
400	0.00254778	-72.6221
500	0.00254778	-55.2245
600	0.00254778	-54.8376
700	0.00254778	-96.5374
800	0.00254778	-72.6491
900	0.00254778	-60.7681
1000	0.00254778	-52.9019
