Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL
0	-9931.83	-9928.76	-3.07438	0.0601337	0.0827792	0.163273	0.0553632	0.0632289	0.0480706	0.0886495	0.287896	0.135995	0.0230235	0.173897	0.0652947	0.0284449	0.030671	0.137941	0.0894894	0.101531	0.0344721	0.155193	0.0186222	0.12812	0.0573233	0.15181	2.18122
10	-6860.28	-6870.59	10.3096	0.0281831	0.0160938	0.108784	0.0199692	0.0314572	0.032782	0.0182429	0.0710855	0.119598	0.00363782	0.0109553	0.0430185	0.00373112	0.0129402	0.0237318	0.043519	0.0541575	0.00384513	0.0175369	0.00725544	0.0761051	0.0180898	0.0781056	0.842825
20	-6037.8	-6051.78	13.9766	0.0114116	0.00527182	0.0512325	0.0113251	0.0041611	0.00209094	0.00492719	0.0338792	0.119598	0.00280506	0.00763799	0.0122412	0.00275894	0.00323338	0.0107949	0.0372602	0.0237925	0.00182075	0.0030293	0.00107801	0.0461129	0.00407428	0.0755865	0.476123
30	-5436.63	-5453.15	16.5145	0.00761248	0.00351086	0.0144649	0.00732099	0.00557151	0.00318916	0.00344537	0.0068427	0.109177	0.00121585	0.00523953	0.00935284	0.00186359	0.000901719	0.00127048	0.00654094	0.00364072	0.00196763	0.00122952	0.00354126	0.00968942	0.00221604	0.0125264	0.222331
40	-5318.53	-5335.67	17.1346	0.00434465	0.00174554	0.00210648	0.00342781	0.00469064	0.00108207	0.00423195	0.00185228	0.109177	0.00037141	0.00627761	0.0014147	0.00164312	0.00121918	0.00118247	0.000984599	0.00360841	0.00219548	0.00152209	0.00151021	0.0024224	0.000678179	0.00263919	0.160328
50	-5276.86	-5293.94	17.0812	0.00718767	0.00107665	0.00292017	0.00279278	0.00683975	0.00074599	0.00127414	0.00129903	0.115681	0.000235456	0.00563205	0.000382213	0.00320309	0.00260101	0.000973266	6.23157e-05	0.00171587	0.0031016	0.00131089	0.000634451	0.00381773	0.00114076	0.00103915	0.165667
60	-5252.08	-5269.3	17.2212	0.00680019	0.00118224	0.00233527	0.0035892	0.0038762	0.000698894	0.0020036	0.000843201	0.112466	0.000552467	0.00462407	0.000343461	0.00214102	0.00168309	0.000725893	0.000112407	0.00107622	0.00152728	0.000789511	0.000819186	0.00109988	0.0015997	0.000772244	0.151661
70	-5248.77	-5266.05	17.2799	0.00415527	0.00176282	0.00165621	0.00185702	0.00543342	0.0012766	0.00280184	0.00104418	0.111087	0.000260481	0.00299896	0.000300913	0.000682732	0.0020666	0.000427049	0.000235359	0.000711601	0.000711304	0.00135968	0.00143423	0.00079804	0.00156458	0.00116817	0.145794
80	-5254.52	-5271.6	17.0837	0.00610593	0.00269745	0.00280003	0.00189111	0.00618031	0.00151505	0.00248978	0.000439426	0.118356	0.000887561	0.00530307	0.000563223	0.00168796	0.00177109	0.000478122	0.0012593	0.000419322	0.00113577	0.00252182	0.00122921	0.00102988	0.00271774	0.00193066	0.16541
90	-5245.47	-5262.65	17.1805	0.00364977	0.000801238	0.00241001	0.000817741	0.00534019	0.000553167	0.00301713	0.000842477	0.118356	0.000425622	0.00389307	0.000756184	0.00162297	0.00222629	0.000581923	0.00058512	0.00049723	0.00127858	0.00186826	0.00165076	0.00132775	0.00234546	0.000891249	0.155738
