Iteration	Posterior	Likelihood	Prior	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	concentration	n_cats	mean_rt	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
0	-2799.45	-2747.82	-51.6279	0.05119	0.285915	0.071686	0.0204961	52.0673	18.2714	41.6428	0.00517152	0.0827116	0.0827116	0.0827116	0.295197	0.295197	0.0827116	0.0827116	0.0827116	0.0827116	0.295197	0.0827116	0.0827116	0.0827116	0.0827116	0.0827116	0.0827116	0.0827116	0.295197	0.268694	2	0.129931	0.170631	0.309068	0.352777	0.167524	0.0643907	0.405863	0.0430405	0.0872704	0.342375	0.0570606
10	-2793.27	-2746.71	-46.5614	0.0759551	0.255776	0.10206	0.0261044	52.4447	17.4863	39.2074	0.00498057	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.36495	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.144061	0.380997	2	0.156333	0.179188	0.329342	0.328962	0.162507	0.0414917	0.360915	0.0383457	0.0562347	0.401174	0.101839
20	-2789.39	-2744.88	-44.5064	0.0464527	0.283405	0.0648242	0.0183715	45.3366	22.0141	41.8649	0.00561558	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.319678	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.0901014	0.380055	2	0.102856	0.164183	0.326031	0.334849	0.174936	0.0768664	0.323527	0.0491753	0.0731129	0.40111	0.0762084
30	-2801.62	-2742.62	-59.0012	0.0367999	0.144093	0.0429953	0.00619534	50.0619	20.5002	37.1412	0.00513601	0.0698925	0.0698925	0.0698925	0.137071	0.0698925	0.0698925	0.137071	0.0698925	0.137071	0.137071	0.0698925	0.0698925	0.0698925	0.137071	0.137071	0.0698925	0.137071	0.714908	0.876227	3	0.131852	0.19474	0.31397	0.322826	0.168464	0.0669484	0.360987	0.103274	0.0697683	0.336484	0.0625383
40	-2791.74	-2746.86	-44.8805	0.0528006	0.351525	0.0814228	0.0286221	49.9064	21.3419	48.0811	0.00551668	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.306326	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.116337	0.747923	2	0.126892	0.208495	0.309759	0.317221	0.164525	0.0609322	0.364443	0.0704764	0.0900314	0.366519	0.0475971
50	-2788.39	-2744.06	-44.3356	0.0390676	0.492113	0.0769217	0.0378541	45.404	19.3736	42.0792	0.00553352	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.403895	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.105183	0.610675	2	0.121778	0.196792	0.323647	0.324271	0.15529	0.0666322	0.418906	0.0265059	0.0879112	0.357888	0.0421564
60	-2799.43	-2749.56	-49.8726	0.0796291	0.144347	0.0930624	0.0134332	44.7874	19.3683	41.9743	0.00544305	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.419629	0.0830908	0.0830908	0.419629	0.0830908	0.0830908	0.0830908	0.0830908	0.0830908	0.689392	2	0.120484	0.179653	0.325772	0.339981	0.154595	0.0459575	0.34939	0.0406641	0.0733226	0.434242	0.0564241
70	-2799.27	-2749.43	-49.8437	0.0811382	0.20169	0.101637	0.0204992	48.66	19.7515	37.3255	0.00479863	0.137111	0.137111	0.137111	0.137111	0.137111	0.137111	0.137111	0.137111	0.137111	0.328272	0.137111	0.137111	0.137111	0.137111	0.328272	0.137111	0.137111	0.137111	0.207947	2	0.158351	0.1706	0.33653	0.322484	0.170386	0.0490549	0.408562	0.0591772	0.0905738	0.332405	0.060227
80	-2788.67	-2745.43	-43.2365	0.026511	0.685284	0.0842378	0.0577268	47.1145	17.6251	39.378	0.00569768	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.372354	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.12782	0.226492	2	0.141405	0.166935	0.330338	0.315014	0.187713	0.0425998	0.391177	0.0594971	0.108267	0.337906	0.0605525
90	-2785.38	-2741.42	-43.9631	0.0439359	0.58022	0.104664	0.0607282	46.8505	20.3265	45.0086	0.00550576	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.362432	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.0962164	0.479524	2	0.111006	0.183212	0.324314	0.305704	0.18677	0.0814753	0.393369	0.0368499	0.108874	0.31854	0.0608918
100	-2793.28	-2744.75	-48.5375	0.0404264	0.484929	0.078487	0.0380607	47.4519	18.2148	43.4725	0.00462921	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.410317	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.115915	0.852184	2	0.13227	0.182856	0.342089	0.31416	0.160895	0.100523	0.403468	0.0377959	0.0690408	0.326718	0.062455
110	-2792.84	-2746.61	-46.2318	0.0359484	0.137102	0.0416601	0.00571168	48.3016	16.9596	34.7374	0.00561383	0.142463	0.142463	0.142463	0.142463	0.142463	0.142463	0.142463	0.142463	0.142463	0.312377	0.142463	0.142463	0.142463	0.312377	0.142463	0.142463	0.142463	0.142463	0.189906	2	0.161342	0.185275	0.346614	0.318316	0.149795	0.0473405	0.431933	0.044483	0.0759733	0.359524	0.0407466
120	-2792.93	-2742.85	-50.0813	0.0614976	0.448828	0.111576	0.0500785	44.6324	18.6677	39.8246	0.0052212	0.0964857	0.0964857	0.39863	0.0964857	0.0964857	0.0964857	0.0964857	0.0964857	0.0964857	0.39863	0.0964857	0.0964857	0.0964857	0.0964857	0.0964857	0.39863	0.0964857	0.0964857	0.368834	2	0.146843	0.181843	0.344073	0.296544	0.177539	0.088063	0.379873	0.0462875	0.0790553	0.353664	0.0530574
130	-2792.3	-2746.41	-45.8907	0.0557346	0.693417	0.181793	0.126058	46.6045	21.168	45.1286	0.0053535	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.446867	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.125497	0.733552	2	0.143351	0.175073	0.318508	0.316536	0.189883	0.0745899	0.389898	0.0289986	0.0741218	0.35325	0.0791412
140	-2797.67	-2744.52	-53.1487	0.0235389	0.536356	0.0507693	0.0272304	48.9431	17.4164	39.2194	0.00521908	0.121687	0.121687	0.121687	0.224451	0.121687	0.121687	0.372896	0.121687	0.121687	0.300903	0.121687	0.121687	0.121687	0.372896	0.121687	0.121687	0.121687	0.372896	0.601672	4	0.17922	0.167577	0.318184	0.334043	0.180196	0.0755863	0.401121	0.0205904	0.0706127	0.354533	0.0775562
150	-2789.14	-2745.9	-43.2452	0.0261924	0.62175	0.0692464	0.043054	49.0497	19.506	39.8778	0.00524039	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.330998	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.142214	0.925252	2	0.152702	0.195071	0.323922	0.321246	0.159761	0.0489625	0.390875	0.108195	0.0686128	0.337915	0.0454392
160	-2792.85	-2749.91	-42.9394	0.034801	0.140825	0.0405051	0.00570412	48.547	16.6365	34.8842	0.00546401	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.160933	0.562038	0.323545	2	0.183217	0.199012	0.308879	0.329463	0.162645	0.0458806	0.400522	0.0686066	0.0734372	0.383506	0.0280477
170	-2805.28	-2745.26	-60.0259	0.0417449	0.409057	0.0706413	0.0288963	49.5637	19.91	38.8673	0.0052702	0.532868	0.217994	0.104299	0.217994	0.217994	0.217994	0.217994	0.104299	0.104299	0.217994	0.104299	0.532868	0.104299	0.104299	0.104299	0.104299	0.217994	0.713168	1.21555	4	0.229958	0.167633	0.319388	0.336438	0.176541	0.048175	0.391602	0.0444159	0.0771097	0.409247	0.0294504
180	-2790.68	-2741.42	-49.2638	0.0342879	0.589328	0.0834922	0.0492043	49.8641	16.523	49.6251	0.00524799	0.114805	0.114805	0.350139	0.114805	0.114805	0.114805	0.114805	0.114805	0.114805	0.350139	0.114805	0.114805	0.114805	0.114805	0.114805	0.114805	0.114805	0.698514	0.383377	3	0.173381	0.187772	0.320393	0.319151	0.172685	0.0816672	0.338604	0.0563806	0.0771379	0.366049	0.0801616
190	-2796.5	-2750.6	-45.9	0.0313085	0.665256	0.0935296	0.0622212	46.2645	20.0461	42.1338	0.00552901	0.113848	0.113848	0.113848	0.113848	0.113848	0.113848	0.113848	0.113848	0.113848	0.505358	0.113848	0.113848	0.505358	0.113848	0.113848	0.113848	0.113848	0.113848	0.273941	2	0.157349	0.211792	0.32889	0.299557	0.159761	0.0569102	0.337158	0.0589289	0.0806245	0.382594	0.0837847
200	-2795.77	-2748.39	-47.3879	0.0325304	0.475211	0.0619876	0.0294572	50.8114	17.4991	35.5434	0.00510905	0.126861	0.126861	0.126861	0.126861	0.768649	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.126861	0.768649	0.70845	2	0.19817	0.181293	0.335879	0.322187	0.160641	0.07759	0.254415	0.0461418	0.0631296	0.474993	0.083731
210	-2791.77	-2744.79	-46.9783	0.062631	0.594754	0.154551	0.0919195	49.2751	17.1099	38.6603	0.00508549	0.141172	0.141172	0.141172	0.141172	0.141172	0.141172	0.141172	0.141172	0.141172	0.302993	0.141172	0.302993	0.141172	0.141172	0.141172	0.141172	0.141172	0.141172	0.579504	2	0.159152	0.183784	0.324831	0.31	0.181385	0.0607764	0.39965	0.0468709	0.121469	0.331643	0.0395908
220	-2796.45	-2748.18	-48.2684	0.104144	0.15334	0.123006	0.0188617	48.585	19.1047	41.6632	0.0051585	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.352861	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.079473	0.432848	2	0.0946612	0.167584	0.313699	0.342922	0.175795	0.0499349	0.417618	0.0602451	0.0915602	0.331083	0.0495588
