Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	death_rate	root_time	tmrca_Ursidae	birth_rate	tmrca_UrsidaePinn	base_rate	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	turnover	root_rate	nu	diversification
0	-2728.84	-2744.88	16.0394	0.172642	0.351768	0.322322	0.153268	0.0463098	0.341508	0.0738825	0.0576982	0.376758	0.103843	0.116283	0.000528398	0.000580723	0.000595166	0.000549626	0.000542681	0.000557702	0.000507962	0.000550839	0.000787126	0.0012349	0.000558295	0.000556822	0.000560314	0.000551103	0.0005243	0.000583808	0.000750618	0.000908315	0.0734003	52.3877	18.9588	0.145765	37.9223	0.00540785	0.0941443	0.11009	0.115431	0.100183	0.0976148	0.102867	0.095232	0.0804357	0.136784	0.275104	0.103086	0.103389	0.104681	0.102542	0.101274	0.0926287	0.123282	0.154321	0.503552	0.181604	0.665147	0.0723649
10	-2743.67	-2746.14	2.46944	0.156993	0.325229	0.329942	0.187836	0.0737964	0.398019	0.034387	0.079203	0.327891	0.0867042	0.123717	0.000477074	0.00057073	0.000520473	0.000733063	0.000630714	0.000636256	0.000688671	0.000470011	0.000816502	0.00130705	0.000607762	0.000582561	0.000565699	0.000559976	0.000603495	0.000669476	0.000750909	0.000950628	0.0610404	50.0221	19.401	0.123171	34.9165	0.00540198	0.076839	0.109395	0.090788	0.154542	0.11665	0.127412	0.131325	0.0497954	0.148504	0.285753	0.116863	0.108152	0.101909	0.107532	0.0997903	0.123644	0.124219	0.153794	0.495575	0.198162	1.52588	0.0621306
20	-2737.14	-2743.17	6.02596	0.187692	0.321281	0.317872	0.173155	0.0616932	0.443687	0.0287472	0.0790599	0.356986	0.0298272	0.115441	0.000568055	0.000565645	0.000572368	0.00064244	0.00058004	0.000567002	0.000601315	0.000670718	0.000589256	0.00153153	0.000623661	0.000607114	0.000585162	0.000572678	0.00054999	0.000558941	0.000634039	0.00124745	0.0225535	48.3946	18.3991	0.0814569	36.9397	0.00546643	0.105841	0.100391	0.102851	0.121463	0.0986329	0.0928562	0.120772	0.140127	0.0888832	0.230643	0.113586	0.114592	0.106561	0.107532	0.101993	0.0992314	0.105268	0.126708	0.276877	0.329697	1.68461	0.0589033
30	-2744.62	-2742.37	-2.24933	0.18142	0.319886	0.325951	0.172743	0.0592425	0.347717	0.0577995	0.055081	0.401527	0.0786325	0.127122	0.000596303	0.000735982	0.000709372	0.000534695	0.000632989	0.000467822	0.000698537	0.000369736	0.000893062	0.00191219	0.000570404	0.000569262	0.00065807	0.000574407	0.00061651	0.000586554	0.000798693	0.00146748	0.0403692	43.3601	22.3378	0.0941889	33.9987	0.00546932	0.113908	0.134392	0.124661	0.0892063	0.12515	0.0688074	0.134141	0.0420124	0.1277	0.361492	0.106319	0.102264	0.134739	0.105901	0.104146	0.121298	0.0931914	0.198872	0.428598	0.337751	2.04835	0.0538197
40	-2752.21	-2748.59	-3.61461	0.202671	0.300869	0.31889	0.17757	0.0534714	0.344645	0.0467604	0.138066	0.380025	0.0370322	0.102094	0.000526842	0.000517467	0.00051886	0.000575825	0.00057801	0.000575345	0.000503885	0.000266905	0.0006346	0.00174032	0.000651596	0.000643237	0.000569795	0.00051303	0.000508368	0.000463306	0.000699684	0.00159342	0.0306279	50.4607	20.5989	0.0655471	40.3842	0.00554672	0.112863	0.0890147	0.0895169	0.0967305	0.0975183	0.0834025	0.0754861	0.0353844	0.0373868	0.244401	0.110897	0.124052	0.0975704	0.107883	0.0771025	0.106201	0.0608546	0.191433	0.467265	0.383112	3.04902	0.0349193
50	-2740.08	-2743.2	3.1162	0.192649	0.339035	0.300002	0.168314	0.0478141	0.366526	0.0908421	0.0848365	0.376867	0.0331142	0.117258	0.000588175	0.00050401	0.000530749	0.000583507	0.000586407	0.000624923	0.000606517	0.000449924	0.000953728	0.00182093	0.000590947	0.000593469	0.000585705	0.000600563	0.00057578	0.000555385	0.000987478	0.00199759	0.0348337	45.1821	20.2686	0.0639354	36.5462	0.00536595	0.104848	0.0790155	0.0889815	0.10896	0.110041	0.121188	0.125833	0.0609204	0.094196	0.195433	0.108525	0.111733	0.108839	0.109465	0.114377	0.100228	0.106775	0.261278	0.544826	0.483265	2.46928	0.0291017
60	-2742.29	-2748.64	6.34978	0.183916	0.352997	0.302403	0.160684	0.0465403	0.45411	0.100323	0.0685801	0.279653	0.0507941	0.129963	0.000624125	0.000487544	0.000469914	0.000613798	0.000628535	0.000596638	0.000577101	0.000742598	0.00111623	0.00155962	0.000624541	0.000613965	0.000543545	0.000628598	0.000656552	0.000682794	0.000962225	0.00140369	0.0200321	48.5837	20.4979	0.0872187	34.4109	0.00544651	0.109422	0.0905007	0.0840269	0.110443	0.115854	0.104702	0.0905861	0.14329	0.18595	0.281197	0.114948	0.114388	0.0885289	0.111065	0.119761	0.121329	0.129398	0.223939	0.229676	0.291508	1.92506	0.0671866
70	-2749.94	-2749.68	-0.263654	0.202177	0.3044	0.309135	0.184288	0.0526997	0.366278	0.0946198	0.0876895	0.327889	0.0708231	0.133605	0.000616979	0.000488463	0.000493144	0.0004723	0.000526007	0.000511511	0.000652507	0.000735316	0.000811093	0.00153006	0.000536904	0.000580797	0.000539654	0.000588394	0.000570097	0.000694808	0.000842477	0.000898313	0.0467051	50.0652	21.3638	0.0959143	40.4316	0.00511234	0.123583	0.0923736	0.0942051	0.0895396	0.11055	0.0852948	0.150025	0.121089	0.154296	0.410156	0.095229	0.114813	0.098718	0.1124	0.117786	0.105242	0.166574	0.163012	0.486946	0.188417	1.24033	0.0492092
80	-2735.69	-2742.47	6.78054	0.181565	0.329843	0.323093	0.165499	0.0590248	0.352544	0.066172	0.0778126	0.393661	0.0507858	0.120657	0.000486633	0.00054138	0.000535374	0.000707727	0.000711543	0.00067687	0.000361168	0.000515357	0.000605882	0.00177199	0.000687533	0.000650513	0.000588696	0.000576214	0.000463392	0.000443043	0.000616571	0.000971831	0.0462941	51.6856	20.063	0.0865051	35.8846	0.00553082	0.0813204	0.096604	0.094432	0.12882	0.1302	0.123245	0.0576857	0.0990655	0.0834273	0.425012	0.127101	0.121518	0.0991644	0.113714	0.094651	0.0729161	0.0872927	0.135665	0.535161	0.215758	1.55364	0.0402109
90	-2744.73	-2745.71	0.986229	0.174275	0.31183	0.343512	0.170383	0.0602883	0.352746	0.0757338	0.0890564	0.378172	0.0440042	0.117479	0.000641134	0.000464396	0.000478165	0.000594999	0.000609635	0.00059491	0.000606081	0.000585203	0.000922115	0.00145061	0.000607326	0.000566306	0.000507993	0.000611596	0.000603508	0.000649499	0.000870281	0.00155651	0.0332441	48.0002	21.7024	0.0867636	36.4314	0.00530534	0.115743	0.0881731	0.0933636	0.10423	0.109747	0.115391	0.12692	0.077321	0.162828	0.144868	0.120072	0.108877	0.0868941	0.104608	0.12595	0.101559	0.143288	0.184789	0.383158	0.401982	2.76317	0.0535195
