Iteration	Posterior	Likelihood	Prior	n_cats	base_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	birth_rate	diversification	turnover	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	concentration	death_rate	root_time	tmrca_UrsidaePinn	tmrca_Ursidae
0	-2838.98	-2781.25	-57.7291	4	0.00528539	0.110284	0.17106	0.0395662	0.0395662	0.0395662	0.301711	0.301711	0.0395662	0.0395662	0.0395662	0.394563	0.0395662	0.0395662	0.0395662	0.0395662	0.0395662	0.0395662	0.301711	0.0395662	0.176424	0.337075	0.30619	0.180312	0.0572521	0.046831	0.182021	0.0830019	0.340833	0.0615052	0.058185	0.312131	0.144344	0.753479	0.0104211	45.3944	36.7574	18.0894
10	-2833.26	-2773.7	-59.5595	3	0.00525169	0.10441	0.22537	0.0255736	0.0255736	0.0255736	0.280441	0.22537	0.0255736	0.0255736	0.0255736	0.280441	0.0255736	0.0255736	0.0255736	0.0255736	0.0255736	0.0255736	0.280441	0.280441	0.189703	0.322876	0.317859	0.169562	0.0513201	0.0333856	0.349462	0.0421958	0.353025	0.0680933	0.0712423	0.354463	0.110981	0.753479	0.0179344	47.5903	36.108	19.9416
20	-2838.76	-2772.72	-66.0379	4	0.00535661	0.0848669	0.168132	0.0231981	0.229284	0.0231981	0.14133	0.168132	0.0231981	0.0231981	0.0231981	0.229284	0.0231981	0.0231981	0.0231981	0.0231981	0.0231981	0.0231981	0.168132	0.168132	0.188792	0.354927	0.293728	0.162554	0.0459435	0.0375503	0.182685	0.0794241	0.355828	0.0572393	0.0718255	0.371323	0.0643603	0.753479	0.00839322	53.3973	36.6538	18.7206
30	-2831.97	-2768.11	-63.8578	3	0.00517567	0.100181	0.164335	0.0186998	0.0186998	0.0186998	0.253779	0.164335	0.0186998	0.0186998	0.0186998	0.253779	0.0186998	0.0186998	0.0186998	0.0186998	0.0186998	0.253779	0.253779	0.253779	0.183274	0.32204	0.341777	0.152909	0.0475294	0.0172489	0.637089	0.0606794	0.326597	0.106093	0.0548741	0.402586	0.0491708	0.753479	0.0302805	48.3663	33.9754	19.1657
40	-2842.73	-2785.12	-57.609	2	0.0052789	0.0953053	0.228238	0.028839	0.028839	0.028839	0.228238	0.228238	0.028839	0.028839	0.028839	0.228238	0.028839	0.028839	0.028839	0.028839	0.028839	0.028839	0.228238	0.228238	0.191701	0.336848	0.309338	0.162113	0.0772739	0.0501946	0.350433	0.044201	0.338057	0.0937293	0.132228	0.31429	0.0774944	0.753479	0.0270793	49.8857	34.5599	23.0097
50	-2845.33	-2782.09	-63.2425	3	0.00545514	0.119859	0.160919	0.0286377	0.160919	0.0286377	0.160919	0.160919	0.0286377	0.0286377	0.0286377	0.518927	0.0286377	0.518927	0.0286377	0.0286377	0.0286377	0.0286377	0.160919	0.0286377	0.205056	0.317962	0.313285	0.163697	0.0620161	0.0343826	0.445586	0.0437271	0.334432	0.0745145	0.13081	0.361812	0.0547035	0.753479	0.0276335	43.7812	36.0687	20.6169
60	-2837.18	-2773.75	-63.4329	3	0.00580475	0.0706842	0.120858	0.0197547	0.120858	0.0197547	0.120858	0.120858	0.0197547	0.0197547	0.0197547	0.329868	0.0197547	0.0197547	0.120858	0.0197547	0.0197547	0.0197547	0.120858	0.0197547	0.187391	0.346031	0.306451	0.160127	0.0422967	0.0394446	0.0674323	0.0354672	0.390643	0.0742855	0.0725573	0.394333	0.0327143	0.753479	0.00285217	49.4085	45.4999	21.452
70	-2834.75	-2773.07	-61.6759	2	0.00558565	0.0841041	0.222882	0.0147152	0.0147152	0.0147152	0.222882	0.222882	0.0147152	0.0147152	0.0147152	0.222882	0.0147152	0.0147152	0.0147152	0.0147152	0.0147152	0.0147152	0.222882	0.222882	0.200623	0.327774	0.29954	0.172063	0.0731569	0.0657618	0.101085	0.0604008	0.373624	0.0527878	0.0789723	0.400775	0.0334397	0.753479	0.00739503	48.9347	35.8735	18.7463
80	-2838.21	-2773.59	-64.6199	3	0.00511284	0.0953918	0.165245	0.0205887	0.0205887	0.0205887	0.165245	0.165245	0.0205887	0.0205887	0.0205887	0.165245	0.0205887	0.0205887	0.165245	0.0205887	0.165245	0.0205887	0.165245	0.354449	0.193336	0.302207	0.343442	0.161015	0.0402947	0.0235995	0.414327	0.0487323	0.329418	0.115174	0.0877053	0.391539	0.0274315	0.753479	0.0166952	55.023	39.519	18.5083
90	-2841.7	-2783.68	-58.022	2	0.00514408	0.10417	0.323587	0.0197787	0.0197787	0.0197787	0.323587	0.323587	0.0197787	0.0197787	0.0197787	0.323587	0.0197787	0.0197787	0.0197787	0.0197787	0.0197787	0.0197787	0.323587	0.0197787	0.197179	0.309316	0.321376	0.172129	0.0315548	0.0246635	0.218392	0.085637	0.323567	0.0304568	0.0913537	0.440224	0.0287614	0.753479	0.00689131	46.8404	34.5227	24.1008
