Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
0	-2791.55	-2750.43	-41.1196	0.277741	0.0397342	0.0550138	0.0152796	56.3593	17.9769	36.9736	0.00506246	0.170973	0.181893	0.324034	0.323522	0.170552	0.053964	0.383307	0.0497711	0.0666558	0.389581	0.0567215
10	-2797.55	-2755.53	-42.0232	0.384464	0.033819	0.0549424	0.0211234	59.1118	15.797	41.31	0.00537813	0.154891	0.178233	0.325863	0.33451	0.161394	0.0544265	0.426949	0.0645748	0.067227	0.329615	0.0572076
20	-2794.5	-2749.99	-44.5077	0.515337	0.0219804	0.0453519	0.0233715	62.9351	15.4803	35.0601	0.00537318	0.160855	0.171464	0.323213	0.330497	0.174827	0.0505901	0.365838	0.0366938	0.0742467	0.419457	0.0531752
30	-2798.86	-2757.89	-40.9755	0.574567	0.0452917	0.10646	0.0611686	51.1648	17.8027	34.4944	0.00618078	0.155535	0.193762	0.316343	0.309089	0.180806	0.0720138	0.322652	0.0398363	0.0770529	0.43531	0.0531349
40	-2796.65	-2756.31	-40.338	0.404994	0.0508573	0.0854735	0.0346162	56.0469	17.5842	34.0709	0.0050807	0.197576	0.186202	0.351485	0.297029	0.165283	0.104942	0.318951	0.109109	0.0767688	0.34659	0.0436388
50	-2796.59	-2751.89	-44.6965	0.91974	0.0171525	0.213712	0.196559	61.1517	17.9851	34.7567	0.00545478	0.161345	0.193748	0.317609	0.338727	0.149915	0.0709205	0.364721	0.0215046	0.0837649	0.429598	0.0294913
60	-2797.17	-2754.39	-42.7885	0.135003	0.0593692	0.0686351	0.00926592	58.6156	17.7245	34.0147	0.00522542	0.180661	0.173267	0.340827	0.307752	0.178154	0.0353177	0.361647	0.0662987	0.0658862	0.348176	0.122675
70	-2793.68	-2752.13	-41.5594	0.170733	0.0681756	0.0822119	0.0140363	56.6886	15.957	34.5765	0.00525788	0.180719	0.172823	0.329926	0.339879	0.157372	0.0440021	0.40197	0.0826012	0.0820873	0.327079	0.0622611
80	-2790.77	-2748.86	-41.911	0.307001	0.042239	0.060951	0.018712	59.3404	17.5993	34.1418	0.00551306	0.162417	0.196175	0.316093	0.320777	0.166955	0.0582362	0.370165	0.0735629	0.0867902	0.353911	0.0573349
90	-2796.41	-2757.6	-38.8057	0.58044	0.0359961	0.0857949	0.0497988	53.5977	18.376	34.6781	0.00526444	0.165789	0.20278	0.308201	0.329601	0.159417	0.0450844	0.402147	0.0718019	0.0781869	0.358468	0.0443123
100	-2793.9	-2748.48	-45.4236	0.66944	0.0244132	0.0738541	0.0494409	64.4592	17.3138	36.6955	0.00557275	0.151171	0.164415	0.336985	0.319941	0.178659	0.0505847	0.356952	0.0473871	0.0863726	0.378554	0.0801495
110	-2797.61	-2751.7	-45.9049	0.816269	0.0181276	0.0986642	0.0805366	61.5907	17.4659	34.1603	0.0049496	0.164484	0.181705	0.330109	0.307465	0.18072	0.0752698	0.42989	0.0319551	0.0616972	0.343935	0.057252
120	-2792.36	-2750.26	-42.1041	0.665674	0.031388	0.0938844	0.0624964	58.1677	17.1821	34.0003	0.00503856	0.174533	0.178992	0.316386	0.333826	0.170797	0.0540302	0.387823	0.0437416	0.084454	0.351582	0.0783691
130	-2793.76	-2756.24	-37.5136	0.592048	0.0348777	0.0854946	0.0506169	52.1044	20.3227	34.7149	0.00537082	0.178882	0.175152	0.337347	0.325423	0.162078	0.0492693	0.382431	0.0634812	0.0835677	0.362663	0.0585879
140	-2799.04	-2761.21	-37.8278	0.267113	0.044343	0.0605046	0.0161616	51.0865	17.3814	36.0495	0.00515079	0.16951	0.173531	0.334225	0.315791	0.176452	0.102895	0.406382	0.0712289	0.0494293	0.32226	0.0478043
