state	power	likelihood
300	1	-2746.21
400	1	-2749.01
500	1	-2754.59
600	1	-2751.22
700	1	-2752.62
800	1	-2755.5
900	1	-2762.66
1000	1	-2749.41
300	0.934875	-2748.63
400	0.934875	-2751.67
500	0.934875	-2754.77
600	0.934875	-2758.69
700	0.934875	-2752.89
800	0.934875	-2747.02
900	0.934875	-2756.08
1000	0.934875	-2757.25
300	0.872779	-2757.55
400	0.872779	-2753.2
500	0.872779	-2753.03
600	0.872779	-2753.99
700	0.872779	-2760.68
800	0.872779	-2752.41
900	0.872779	-2763.93
1000	0.872779	-2753.42
300	0.813628	-2760.14
400	0.813628	-2757.07
500	0.813628	-2760.25
600	0.813628	-2758.37
700	0.813628	-2752
800	0.813628	-2752.39
900	0.813628	-2759.99
1000	0.813628	-2760.08
300	0.757343	-2764.54
400	0.757343	-2754.26
500	0.757343	-2755.39
600	0.757343	-2758.29
700	0.757343	-2751.88
800	0.757343	-2754.98
900	0.757343	-2752.74
1000	0.757343	-2769.22
300	0.703842	-2754.87
400	0.703842	-2758.02
500	0.703842	-2760.08
600	0.703842	-2765.67
700	0.703842	-2770.44
800	0.703842	-2753.06
900	0.703842	-2752.52
1000	0.703842	-2763.7
300	0.653044	-2761.97
400	0.653044	-2765.29
500	0.653044	-2756.74
600	0.653044	-2765.52
700	0.653044	-2769.91
800	0.653044	-2758.82
900	0.653044	-2757.98
1000	0.653044	-2762.11
300	0.604869	-2757.18
400	0.604869	-2764.75
500	0.604869	-2761.88
600	0.604869	-2745.21
700	0.604869	-2761.34
800	0.604869	-2764.9
900	0.604869	-2763.44
1000	0.604869	-2763.18
300	0.559239	-2762.73
400	0.559239	-2770.66
500	0.559239	-2759.27
600	0.559239	-2765.29
700	0.559239	-2764.66
800	0.559239	-2755.07
900	0.559239	-2762.82
1000	0.559239	-2768.06
300	0.516075	-2762.56
400	0.516075	-2787.1
500	0.516075	-2753.27
600	0.516075	-2769.27
700	0.516075	-2762.92
800	0.516075	-2760.87
900	0.516075	-2768.19
1000	0.516075	-2761.19
300	0.475299	-2782.41
400	0.475299	-2758.81
500	0.475299	-2767.7
600	0.475299	-2758.81
700	0.475299	-2765.98
800	0.475299	-2766.81
900	0.475299	-2758.74
1000	0.475299	-2760.8
300	0.436833	-2757.87
400	0.436833	-2774.43
500	0.436833	-2767.18
600	0.436833	-2772.35
700	0.436833	-2770.41
800	0.436833	-2768.72
900	0.436833	-2766.54
1000	0.436833	-2782.02
300	0.400601	-2773.79
400	0.400601	-2765.24
500	0.400601	-2776.64
600	0.400601	-2781.71
700	0.400601	-2776.86
800	0.400601	-2765.6
900	0.400601	-2772.23
1000	0.400601	-2760.73
300	0.366527	-2796.48
400	0.366527	-2773.63
500	0.366527	-2774.22
600	0.366527	-2771.87
700	0.366527	-2764.77
800	0.366527	-2774.24
900	0.366527	-2771.73
1000	0.366527	-2772.39
300	0.334535	-2767.9
400	0.334535	-2758.46
500	0.334535	-2773.36
600	0.334535	-2784.86
700	0.334535	-2763.03
800	0.334535	-2768.18
900	0.334535	-2779.02
1000	0.334535	-2782.69
300	0.304551	-2772.11
400	0.304551	-2795.51
500	0.304551	-2759.85
600	0.304551	-2774.71
700	0.304551	-2795.37
800	0.304551	-2773.48
900	0.304551	-2765.9
1000	0.304551	-2762.38
300	0.276501	-2793.27
400	0.276501	-2781.85
500	0.276501	-2783.96
600	0.276501	-2812.2
700	0.276501	-2761.54
800	0.276501	-2783.54
900	0.276501	-2780.93
1000	0.276501	-2800.53
300	0.250311	-2807.51
400	0.250311	-2797.06
500	0.250311	-2776.33
600	0.250311	-2790.62
700	0.250311	-2768.22
800	0.250311	-2782.67
900	0.250311	-2776.75
1000	0.250311	-2784.24
300	0.225909	-2784.69
400	0.225909	-2785.3
500	0.225909	-2761.74
600	0.225909	-2811.71
700	0.225909	-2806.17
800	0.225909	-2801.73
900	0.225909	-2793.47
1000	0.225909	-2783.94
300	0.203223	-2820.62
400	0.203223	-2772.4
500	0.203223	-2771.56
600	0.203223	-2783.17
700	0.203223	-2782.58
800	0.203223	-2786.71
900	0.203223	-2778.7
1000	0.203223	-2791.23
300	0.182181	-2779.14
400	0.182181	-2812.38
500	0.182181	-2796.81
600	0.182181	-2787.42
700	0.182181	-2783.95
800	0.182181	-2779.32
900	0.182181	-2795.88
1000	0.182181	-2785.44
300	0.162715	-2834.91
400	0.162715	-2790.93
500	0.162715	-2783.41
600	0.162715	-2802.49
700	0.162715	-2797.92
800	0.162715	-2785.46
900	0.162715	-2784.11
1000	0.162715	-2799.15
300	0.144753	-2812.47
400	0.144753	-2790.46
500	0.144753	-2795.55
600	0.144753	-2830.62
700	0.144753	-2808.11
800	0.144753	-2794.58
900	0.144753	-2813.35
1000	0.144753	-2802.04
300	0.128227	-2798.67
400	0.128227	-2864.04
500	0.128227	-2804.37
600	0.128227	-2788.59
700	0.128227	-2842.8
800	0.128227	-2798.85
900	0.128227	-2817.29
1000	0.128227	-2833.11
300	0.113069	-2806.02
400	0.113069	-2817.08
500	0.113069	-2822.11
600	0.113069	-2791.59
700	0.113069	-2833.99
800	0.113069	-2815.72
900	0.113069	-2829.21
1000	0.113069	-2850.04
300	0.0992126	-2848.59
400	0.0992126	-2801.32
500	0.0992126	-2859.62
600	0.0992126	-2787.87
700	0.0992126	-2832.05
800	0.0992126	-2840.63
900	0.0992126	-2828.51
1000	0.0992126	-2818.3
300	0.0865906	-2840.19
400	0.0865906	-2864.28
500	0.0865906	-2842.29
600	0.0865906	-2867.12
700	0.0865906	-2861.54
800	0.0865906	-2916.59
900	0.0865906	-2841.2
1000	0.0865906	-2862.49
300	0.0751379	-2873.57
400	0.0751379	-2838.9
500	0.0751379	-2811.11
600	0.0751379	-2845.8
700	0.0751379	-2829.65
800	0.0751379	-2918.14
900	0.0751379	-2863.04
1000	0.0751379	-2861.81
300	0.0647902	-2833.54
400	0.0647902	-2867.63
500	0.0647902	-2818.2
600	0.0647902	-2802.27
700	0.0647902	-2829.13
800	0.0647902	-2916.07
900	0.0647902	-2848.22
1000	0.0647902	-2861.44
300	0.0554836	-2816.33
400	0.0554836	-2839.78
500	0.0554836	-2858.9
600	0.0554836	-2889.59
700	0.0554836	-2928.34
800	0.0554836	-2863.7
900	0.0554836	-2838.35
1000	0.0554836	-2848.02
300	0.0471556	-2873.71
400	0.0471556	-2840.79
500	0.0471556	-2860.55
600	0.0471556	-3001.42
700	0.0471556	-2974.25
800	0.0471556	-2881.8
900	0.0471556	-2842.7
1000	0.0471556	-2890.69
300	0.0397447	-2856.12
400	0.0397447	-2864.78
500	0.0397447	-2974.28
600	0.0397447	-2869
700	0.0397447	-2842.78
800	0.0397447	-2881.57
900	0.0397447	-2881.34
1000	0.0397447	-2950.21
300	0.0331901	-2924.95
400	0.0331901	-2965.58
500	0.0331901	-2940.7
600	0.0331901	-2902.12
700	0.0331901	-3039.32
800	0.0331901	-2893.09
900	0.0331901	-3004.21
1000	0.0331901	-2932.72
300	0.0274324	-2908.44
400	0.0274324	-2921.54
500	0.0274324	-3017.62
600	0.0274324	-2846.01
700	0.0274324	-2896.11
800	0.0274324	-2871.66
900	0.0274324	-2912.34
1000	0.0274324	-2966.69
300	0.022413	-3235.8
400	0.022413	-2897.46
500	0.022413	-3051.56
600	0.022413	-2881.35
700	0.022413	-2952.22
800	0.022413	-3069.84
900	0.022413	-2929.67
1000	0.022413	-3127.63
300	0.0180747	-3111.6
400	0.0180747	-2968.37
500	0.0180747	-2940.11
600	0.0180747	-2982.85
700	0.0180747	-2923.25
800	0.0180747	-3179.2
900	0.0180747	-2988.07
1000	0.0180747	-2943.38
300	0.0143613	-3093.06
400	0.0143613	-2911.05
500	0.0143613	-3041.28
600	0.0143613	-2959.56
700	0.0143613	-3097.91
800	0.0143613	-3025.13
900	0.0143613	-2950.43
1000	0.0143613	-3052.24
300	0.0112179	-3338.7
400	0.0112179	-3131.68
500	0.0112179	-3150.42
600	0.0112179	-3149.31
700	0.0112179	-3016.52
800	0.0112179	-3051.31
900	0.0112179	-3119.61
1000	0.0112179	-3079.36
300	0.00859087	-3217.7
400	0.00859087	-3219.42
500	0.00859087	-3203.12
600	0.00859087	-3127.74
700	0.00859087	-3049.37
800	0.00859087	-3326.34
900	0.00859087	-2990.62
1000	0.00859087	-3770.45
300	0.006428	-3327.64
400	0.006428	-3088.3
500	0.006428	-3163.49
600	0.006428	-3203.37
700	0.006428	-3537.02
800	0.006428	-4179.46
900	0.006428	-2990.93
1000	0.006428	-3108.83
300	0.00467843	-3398.97
400	0.00467843	-3667.67
500	0.00467843	-3560.09
600	0.00467843	-3480.1
700	0.00467843	-3215.25
800	0.00467843	-3412.85
900	0.00467843	-3308.91
1000	0.00467843	-3472.1
300	0.00329287	-3278.17
400	0.00329287	-3809.81
500	0.00329287	-3265.34
600	0.00329287	-3034.56
700	0.00329287	-3132.73
800	0.00329287	-3255.12
900	0.00329287	-3367.27
1000	0.00329287	-4350.9
300	0.00222365	-4199.22
400	0.00222365	-3466.77
500	0.00222365	-3754.09
600	0.00222365	-3386.57
700	0.00222365	-3269.75
800	0.00222365	-3164.26
900	0.00222365	-3221.86
1000	0.00222365	-3081.88
300	0.00142482	-3581.31
400	0.00142482	-4801.42
500	0.00142482	-3970.69
600	0.00142482	-3157.43
700	0.00142482	-3452.02
800	0.00142482	-3772.65
900	0.00142482	-4218.23
1000	0.00142482	-3798.94
300	0.000852323	-3607.06
400	0.000852323	-5045.34
500	0.000852323	-3424.8
600	0.000852323	-4548.12
700	0.000852323	-3161.05
800	0.000852323	-3145.94
900	0.000852323	-3280.79
1000	0.000852323	-3614.19
300	0.000464159	-3279.35
400	0.000464159	-3541.83
500	0.000464159	-3065.03
600	0.000464159	-3239.97
700	0.000464159	-3556.55
800	0.000464159	-3486.98
900	0.000464159	-3726.21
1000	0.000464159	-3450.56
300	0.000220614	-4505.16
400	0.000220614	-3701.86
500	0.000220614	-3837.64
600	0.000220614	-3958.83
700	0.000220614	-3119.99
800	0.000220614	-3325.35
900	0.000220614	-3157
1000	0.000220614	-3605.44
300	8.45612e-05	-4420.26
400	8.45612e-05	-3206.12
500	8.45612e-05	-4188.69
600	8.45612e-05	-3385.98
700	8.45612e-05	-3628.36
800	8.45612e-05	-3058.34
900	8.45612e-05	-4140.63
1000	8.45612e-05	-5713.97
300	2.18877e-05	-4692.34
400	2.18877e-05	-3913.54
500	2.18877e-05	-3245.02
600	2.18877e-05	-3544.61
700	2.18877e-05	-3160.21
800	2.18877e-05	-3395.73
900	2.18877e-05	-3094.18
1000	2.18877e-05	-3819.2
300	2.17153e-06	-3709.14
400	2.17153e-06	-3702.33
500	2.17153e-06	-3348.85
600	2.17153e-06	-3549.66
700	2.17153e-06	-4899.81
800	2.17153e-06	-3856.22
900	2.17153e-06	-2941.6
