Iteration	Posterior	Likelihood	Prior	ucln_sigma	tmrca_UrsidaePinn	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	ucln_mean	base_rate	root_time	diversification	turnover	death_rate	birth_rate	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	tmrca_Ursidae
0	-2758.48	-2747.52	-10.9554	0.410953	36.5007	0.209227	0.133056	0.0817462	0.101266	0.138975	0.175515	0.0550384	0.134835	0.127547	0.258606	0.0736422	0.151778	0.0956015	0.0932988	0.066669	0.0904906	0.155085	0.282679	0.175897	0.311376	0.330021	0.182707	0.125719	0.00560109	50.6281	0.032595	0.502867	0.0329711	0.0655661	0.134725	0.0991838	0.328629	0.0642284	0.0627866	0.389561	0.0556117	22.3636
10	-2756.67	-2747.96	-8.70819	0.410399	40.5715	0.161417	0.139828	0.127414	0.123883	0.110455	0.0881913	0.102209	0.0978629	0.091617	0.312371	0.170393	0.079229	0.216046	0.0933009	0.0783099	0.0913167	0.187282	0.117923	0.155628	0.34348	0.310247	0.190644	0.120011	0.00563157	46.9869	0.0152063	0.713388	0.0378491	0.0530554	0.132725	0.068384	0.404292	0.0612445	0.0682266	0.336853	0.0609999	21.0434
20	-2757.88	-2749.08	-8.80266	0.483029	50.4921	0.084556	0.122147	0.0925417	0.0511565	0.169242	0.102229	0.103837	0.0864118	0.113797	0.340127	0.038677	0.0956002	0.0710899	0.0786018	0.0551591	0.0951433	0.0749815	0.0934898	0.15782	0.371917	0.324813	0.14545	0.117566	0.00533997	51.0247	0.0629086	0.249798	0.020947	0.0838556	0.103822	0.04758	0.442556	0.0426125	0.0726858	0.336996	0.0575697	17.5117
30	-2768.07	-2751.02	-17.0553	0.662728	37.2203	0.061186	0.0400165	0.103963	0.1351	0.057051	0.142694	0.124931	0.0580779	0.13616	0.437421	0.384676	0.125266	0.0603666	0.0466641	0.18204	0.0480653	0.0851738	0.0749539	0.188432	0.292225	0.335587	0.183756	0.0946735	0.00548707	44.9405	0.0528886	0.189412	0.0123586	0.0652472	0.127989	0.0527223	0.437779	0.0739782	0.0522067	0.340918	0.0423958	21.5952
40	-2756.09	-2745.26	-10.8348	0.420927	43.8747	0.0782011	0.14419	0.186686	0.0821569	0.165204	0.156578	0.102086	0.10679	0.116378	0.259367	0.120297	0.15661	0.109288	0.147451	0.0942297	0.121445	0.14293	0.216386	0.180383	0.342249	0.309102	0.168266	0.16117	0.00578382	50.3643	0.0253341	0.11962	0.00344222	0.0287763	0.139237	0.0424942	0.353587	0.104489	0.0543303	0.366619	0.0784808	18.4362
50	-2758.57	-2751.89	-6.68282	0.300324	35.1194	0.215866	0.116205	0.162657	0.102655	0.120985	0.156798	0.158143	0.126138	0.185267	0.22647	0.205707	0.168846	0.120378	0.163598	0.178514	0.120712	0.184254	0.161476	0.187125	0.331742	0.31257	0.168563	0.152042	0.00517299	53.148	0.0649031	0.147005	0.0111854	0.0760884	0.159704	0.0473088	0.322044	0.0935648	0.0486503	0.401109	0.0873232	16.7998
60	-2755.99	-2745.5	-10.4953	0.323364	39.0956	0.141397	0.107079	0.140841	0.0816464	0.122372	0.151106	0.115137	0.112597	0.118149	0.293858	0.142843	0.16415	0.258086	0.269509	0.0911377	0.121435	0.126126	0.130755	0.187961	0.327727	0.317803	0.166509	0.155579	0.00511646	53.7705	0.0387634	0.333626	0.0194073	0.0581707	0.149346	0.0596136	0.306025	0.0498572	0.106469	0.381236	0.0967996	20.0135
70	-2761	-2742.62	-18.3861	0.529223	35.0644	0.095507	0.107105	0.140333	0.0931714	0.0935533	0.0534292	0.245619	0.0987646	0.115825	0.273818	0.142181	0.0931765	0.032412	0.117062	0.0973287	0.0792804	0.199735	0.218948	0.173874	0.328261	0.328344	0.169521	0.157265	0.00546912	56.0872	0.0769245	0.116396	0.0101332	0.0870577	0.127625	0.0361723	0.354719	0.0331238	0.0783168	0.427351	0.0703178	20.288
80	-2755.85	-2743.86	-11.9955	0.616243	34.5529	0.0982249	0.0955138	0.069804	0.0383596	0.101462	0.0650124	0.0878672	0.0954532	0.13462	0.300608	0.099543	0.0685401	0.106436	0.168665	0.0382533	0.117209	0.239456	0.115489	0.173507	0.327567	0.327649	0.171276	0.120518	0.00515225	48.6124	0.0181441	0.819917	0.0826102	0.100754	0.113362	0.0287394	0.396774	0.0630431	0.118445	0.352347	0.040651	21.255
90	-2756.48	-2749.51	-6.96977	0.298077	36.1913	0.105281	0.103597	0.18288	0.107646	0.129274	0.211879	0.128936	0.11201	0.112809	0.24499	0.139107	0.0856558	0.0901576	0.104665	0.116342	0.130479	0.158979	0.172712	0.179056	0.330667	0.337059	0.153218	0.129672	0.0055604	48.3513	0.0958953	0.0253632	0.0024955	0.0983908	0.135411	0.0825965	0.438776	0.0472123	0.0677671	0.303546	0.0601026	15.9615
