state	power	likelihood
300	1	-2744.16
400	1	-2743.77
500	1	-2746.9
600	1	-2742.37
700	1	-2742.51
800	1	-2743.77
900	1	-2745.9
1000	1	-2743.9
300	0.934875	-2743.86
400	0.934875	-2744.29
500	0.934875	-2740.99
600	0.934875	-2747.26
700	0.934875	-2744.06
800	0.934875	-2743.17
900	0.934875	-2745.58
1000	0.934875	-2747.31
300	0.872779	-2758.41
400	0.872779	-2744.7
500	0.872779	-2743.82
600	0.872779	-2740.86
700	0.872779	-2743.9
800	0.872779	-2740.69
900	0.872779	-2748.91
1000	0.872779	-2743.89
300	0.813628	-2742.57
400	0.813628	-2742.26
500	0.813628	-2745.34
600	0.813628	-2747.63
700	0.813628	-2745.36
800	0.813628	-2746.59
900	0.813628	-2745.23
1000	0.813628	-2748.35
300	0.757343	-2747.23
400	0.757343	-2742.66
500	0.757343	-2754.5
600	0.757343	-2758.8
700	0.757343	-2745.98
800	0.757343	-2746.12
900	0.757343	-2747.08
1000	0.757343	-2742.45
300	0.703842	-2750.07
400	0.703842	-2747.46
500	0.703842	-2745.4
600	0.703842	-2750.67
700	0.703842	-2742.58
800	0.703842	-2746.95
900	0.703842	-2750.17
1000	0.703842	-2748.66
300	0.653044	-2745.61
400	0.653044	-2753.45
500	0.653044	-2750.1
600	0.653044	-2744.84
700	0.653044	-2753.71
800	0.653044	-2758.27
900	0.653044	-2762.61
1000	0.653044	-2750.42
300	0.604869	-2744.36
400	0.604869	-2754.2
500	0.604869	-2749.81
600	0.604869	-2778.75
700	0.604869	-2751.48
800	0.604869	-2748.28
900	0.604869	-2749.94
1000	0.604869	-2749.57
300	0.559239	-2759.78
400	0.559239	-2752.04
500	0.559239	-2752.81
600	0.559239	-2749.57
700	0.559239	-2754.1
800	0.559239	-2751.93
900	0.559239	-2748.52
1000	0.559239	-2749.51
300	0.516075	-2746.31
400	0.516075	-2751.74
500	0.516075	-2768.48
600	0.516075	-2759.24
700	0.516075	-2763.93
800	0.516075	-2750.75
900	0.516075	-2751.34
1000	0.516075	-2758.18
300	0.475299	-2763.07
400	0.475299	-2748.82
500	0.475299	-2747.88
600	0.475299	-2753.46
700	0.475299	-2758.17
800	0.475299	-2759.34
900	0.475299	-2751.25
1000	0.475299	-2761.37
300	0.436833	-2753.54
400	0.436833	-2750.55
500	0.436833	-2753.99
600	0.436833	-2776.24
700	0.436833	-2763.12
800	0.436833	-2760.85
900	0.436833	-2752.15
1000	0.436833	-2754.63
300	0.400601	-2750.98
400	0.400601	-2752.25
500	0.400601	-2768.43
600	0.400601	-2757.91
700	0.400601	-2752.82
800	0.400601	-2764.52
900	0.400601	-2760.78
1000	0.400601	-2769.9
300	0.366527	-2752.03
400	0.366527	-2762.68
500	0.366527	-2758.31
600	0.366527	-2766.07
700	0.366527	-2767.32
800	0.366527	-2757.24
900	0.366527	-2762.12
1000	0.366527	-2769.42
300	0.334535	-2763.88
400	0.334535	-2770.55
500	0.334535	-2776.94
600	0.334535	-2770.93
700	0.334535	-2758.41
800	0.334535	-2765.98
900	0.334535	-2762.72
1000	0.334535	-2752.91
300	0.304551	-2764.22
400	0.304551	-2756.05
500	0.304551	-2767.82
600	0.304551	-2757.49
700	0.304551	-2763.57
800	0.304551	-2762.49
900	0.304551	-2752.95
1000	0.304551	-2753.55
300	0.276501	-2764.47
400	0.276501	-2775.64
500	0.276501	-2753.75
600	0.276501	-2753.83
700	0.276501	-2764
800	0.276501	-2763.02
900	0.276501	-2783.83
1000	0.276501	-2778.05
300	0.250311	-2764.19
400	0.250311	-2796.26
500	0.250311	-2768.59
600	0.250311	-2778.78
700	0.250311	-2765.71
800	0.250311	-2768.18
900	0.250311	-2774.17
1000	0.250311	-2771.79
300	0.225909	-2792.3
400	0.225909	-2764.17
500	0.225909	-2821.06
600	0.225909	-2759.5
700	0.225909	-2779.37
800	0.225909	-2755.4
900	0.225909	-2780.14
1000	0.225909	-2776.87
300	0.203223	-2798.95
400	0.203223	-2777.31
500	0.203223	-2774.12
600	0.203223	-2783.74
700	0.203223	-2812.56
800	0.203223	-2773
900	0.203223	-2799.55
1000	0.203223	-2789.28
300	0.182181	-2786.85
400	0.182181	-2777.09
500	0.182181	-2787.8
600	0.182181	-2787.55
700	0.182181	-2761.88
800	0.182181	-2764.05
900	0.182181	-2768.68
1000	0.182181	-2786.35
300	0.162715	-2809.35
400	0.162715	-2753.04
500	0.162715	-2765.46
600	0.162715	-2790.59
700	0.162715	-2774.37
800	0.162715	-2793.99
900	0.162715	-2792.04
1000	0.162715	-2783.78
300	0.144753	-2764.41
400	0.144753	-2779.94
500	0.144753	-2782.44
600	0.144753	-2822.01
700	0.144753	-2783.56
800	0.144753	-2826.18
900	0.144753	-2802.21
1000	0.144753	-2781.97
300	0.128227	-2826.4
400	0.128227	-2791.54
500	0.128227	-2789.58
600	0.128227	-2803.53
700	0.128227	-2781.2
800	0.128227	-2795.8
900	0.128227	-2802.43
1000	0.128227	-2795.2
300	0.113069	-2793.37
400	0.113069	-2789.35
500	0.113069	-2809.26
600	0.113069	-2812.4
700	0.113069	-2774.09
800	0.113069	-2861.96
900	0.113069	-2841.2
1000	0.113069	-2780.18
300	0.0992126	-2858.95
400	0.0992126	-2785.01
500	0.0992126	-2785.09
600	0.0992126	-2856.19
700	0.0992126	-2803.26
800	0.0992126	-2802.57
900	0.0992126	-2842.24
1000	0.0992126	-2842.09
300	0.0865906	-2801.75
400	0.0865906	-2829.13
500	0.0865906	-2805.86
600	0.0865906	-2809.04
700	0.0865906	-2823.86
800	0.0865906	-2788.28
900	0.0865906	-2831.62
1000	0.0865906	-2841.78
300	0.0751379	-2851.72
400	0.0751379	-2791.75
500	0.0751379	-2861.59
600	0.0751379	-2863.83
700	0.0751379	-2843.71
800	0.0751379	-2887.53
900	0.0751379	-2821.14
1000	0.0751379	-2869.21
300	0.0647902	-2906.1
400	0.0647902	-2847.8
500	0.0647902	-2862.03
600	0.0647902	-2824.39
