Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	concentration	n_cats	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
0	-2794.3	-2746.06	-48.2396	0.114569	0.114569	0.516821	0.393762	0.114569	0.114569	0.114569	0.114569	0.114569	0.393762	0.114569	0.114569	0.114569	0.114569	0.114569	0.114569	0.114569	0.114569	0.0385338	0.576122	0.0909078	0.052374	46.6653	18.05	34.8188	0.00518656	0.753479	3	0.167938	0.0481304	0.396582	0.0584848	0.0956266	0.333919	0.0672568	0.187665	0.319497	0.31918	0.173657
10	-2799.96	-2745.09	-54.8662	0.0866412	0.0866412	0.255873	0.356997	0.356997	0.0866412	0.0866412	0.0866412	0.0866412	0.356997	0.0866412	0.0866412	0.0866412	0.0866412	0.0866412	0.0866412	0.0866412	0.356997	0.0423611	0.340562	0.0642382	0.0218771	53.0556	18.5511	48.26	0.00506559	0.753479	3	0.156122	0.0607124	0.41967	0.0922162	0.059897	0.332628	0.0348756	0.184097	0.32671	0.31682	0.172373
20	-2785.87	-2741.4	-44.4771	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.409605	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.109774	0.0619957	0.181037	0.0757003	0.0137046	44.8362	19.1501	42.671	0.00531444	0.753479	2	0.126431	0.0623289	0.348757	0.109461	0.0642521	0.371775	0.0434252	0.18345	0.319975	0.332532	0.164043
30	-2797.87	-2745.87	-52.0023	0.0961917	0.0961917	0.31366	0.0961917	0.0961917	0.0961917	0.0961917	0.0961917	0.0961917	0.402047	0.31366	0.0961917	0.0961917	0.0961917	0.31366	0.0961917	0.0961917	0.0961917	0.0493966	0.100909	0.0549406	0.00554399	49.3798	16.6862	48.6831	0.00541165	0.753479	3	0.149428	0.0534683	0.385604	0.107257	0.0551181	0.356711	0.0418417	0.18702	0.323016	0.329636	0.160328
40	-2798.01	-2746.37	-51.6362	0.10104	0.10104	0.377086	0.10104	0.10104	0.10104	0.10104	0.10104	0.10104	0.329636	0.10104	0.377086	0.10104	0.10104	0.10104	0.10104	0.10104	0.377086	0.0323344	0.480687	0.0622638	0.0299294	51.7665	20.9916	40.9327	0.00550963	0.753479	3	0.159748	0.0606075	0.282089	0.0949127	0.0596745	0.450423	0.0522933	0.181978	0.338717	0.316606	0.162699
50	-2790.51	-2746.62	-43.8957	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.397234	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.12314	0.0439869	0.437591	0.0782114	0.0342246	44.4144	20.383	39.0733	0.00537138	0.753479	2	0.138368	0.0589109	0.274192	0.0922559	0.0859965	0.437815	0.0508294	0.181813	0.34159	0.324188	0.152408
60	-2791.04	-2748.28	-42.7661	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.330702	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.159579	0.0556451	0.252544	0.0744461	0.0188009	47.287	16.4164	36.2184	0.00508358	0.753479	2	0.169086	0.0630286	0.35997	0.0683172	0.0622119	0.391634	0.0548377	0.216363	0.302902	0.316347	0.164388
70	-2795.06	-2746.1	-48.9634	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.430028	0.0937293	0.0937293	0.0937293	0.0937293	0.0937293	0.1692	0.0937293	0.0937293	0.0422933	0.358163	0.0658942	0.0236009	50.3333	19.632	49.0695	0.00584296	0.753479	3	0.116605	0.0618545	0.36268	0.0670445	0.0610529	0.359291	0.0880776	0.194563	0.326702	0.323921	0.154814
80	-2798.23	-2746.49	-51.7346	0.135707	0.135707	0.135707	0.135707	0.135707	0.135707	0.186729	0.186729	0.135707	0.360661	0.135707	0.135707	0.135707	0.135707	0.186729	0.135707	0.135707	0.135707	0.0738701	0.291846	0.104314	0.0304434	49.6733	17.53	35.6852	0.00522266	0.753479	3	0.156708	0.0430255	0.433297	0.0532969	0.0693229	0.329246	0.071812	0.178787	0.3423	0.320361	0.158552
90	-2791.93	-2744.94	-46.997	0.0944763	0.193272	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.337395	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.0944763	0.041409	0.550153	0.0920515	0.0506424	47.923	20.687	42.2477	0.00515641	0.753479	3	0.11346	0.0962933	0.374584	0.040307	0.0623461	0.370771	0.0556985	0.168971	0.325821	0.31376	0.191448
