Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
0	-5092.39	-5099.51	7.11029	0.168802	0.23855	0.0103839	0.173937	0.266713	0.141614	0.310016	0.205634	0.191175	0.293175	0.34295	0.00795085	1.42968
10	-5095.94	-5099.88	3.94457	0.167025	0.236038	0.0102746	0.141309	0.302755	0.142598	0.316455	0.209906	0.195146	0.278493	0.314919	0.00512699	1.74625
20	-5095.13	-5099.07	3.93743	0.167025	0.236038	0.0102746	0.141309	0.302755	0.142598	0.311255	0.206456	0.208372	0.273917	0.269699	8.78691e-05	1.74696
30	-5096.13	-5100.84	4.71137	0.147289	0.186341	0.0126907	0.174538	0.303011	0.17613	0.315488	0.195663	0.211207	0.277642	0.295135	0.0117841	1.66957
40	-5109.17	-5109.42	0.251891	0.240878	0.177367	0.0110792	0.152376	0.264535	0.153765	0.312896	0.194056	0.194661	0.298388	0.274713	0.00842559	2.11552
50	-5108.13	-5109.16	1.03269	0.173099	0.176239	0.0372228	0.197798	0.262852	0.152788	0.312896	0.194056	0.194661	0.298388	0.238907	0.00106231	2.03744
60	-5116.57	-5115.7	-0.869298	0.176285	0.179483	0.0379079	0.250756	0.239233	0.116336	0.307024	0.20787	0.200257	0.284849	0.233127	0.00478253	2.22764
70	-5107.84	-5105.13	-2.70315	0.165061	0.168055	0.0354942	0.23787	0.280742	0.112779	0.302182	0.202399	0.204515	0.290905	0.222719	0.00560743	2.41102
80	-5111.37	-5109.59	-1.78619	0.175577	0.178762	0.0377557	0.189312	0.298629	0.119964	0.305622	0.198543	0.210472	0.285363	0.222938	5.30848e-05	2.31933
90	-5104.12	-5101.14	-2.98174	0.172266	0.178993	0.0370436	0.201	0.292996	0.117702	0.312019	0.202698	0.193744	0.291539	0.20291	0.00553504	2.43888
100	-5107.1	-5104.51	-2.58257	0.184709	0.202053	0.0360844	0.15176	0.267277	0.158116	0.308599	0.192366	0.207986	0.291048	0.20409	0.000559366	2.39896
110	-5111.84	-5110.52	-1.32131	0.16079	0.175888	0.0214506	0.132107	0.372123	0.137641	0.320884	0.200024	0.197085	0.282007	0.234619	0.00231639	2.27284
120	-5105.86	-5104.11	-1.74213	0.153499	0.220685	0.020478	0.126117	0.347821	0.1314	0.32127	0.19991	0.196973	0.281847	0.25532	0.00252746	2.31492
130	-5113.79	-5114.95	1.15315	0.129023	0.201211	0.0262351	0.206599	0.317128	0.119804	0.303499	0.205144	0.20213	0.289226	0.256748	0.000837282	2.02539
140	-5100.48	-5099.54	-0.943423	0.150896	0.196158	0.0255762	0.201411	0.309164	0.116796	0.303622	0.204823	0.202212	0.289343	0.245004	0.00140801	2.23505
150	-5105.88	-5106.45	0.570141	0.146022	0.189822	0.0247501	0.194905	0.299178	0.145323	0.303622	0.204823	0.202212	0.289343	0.251954	0.00140801	2.08369
160	-5103.74	-5106.71	2.96805	0.157571	0.204835	0.0363917	0.121548	0.322839	0.156816	0.301272	0.210977	0.200647	0.287104	0.260215	0.0038283	1.8439
170	-5104.17	-5107.38	3.20441	0.157571	0.204835	0.0363917	0.121548	0.322839	0.156816	0.306	0.209549	0.199289	0.285162	0.255392	0.00328999	1.82027
180	-5106.67	-5106.92	0.24884	0.146417	0.190335	0.00739189	0.242566	0.267574	0.145716	0.302298	0.219111	0.196879	0.281712	0.26163	0.0322509	2.11582
190	-5099.52	-5099.37	-0.145795	0.146417	0.190335	0.00739189	0.242566	0.267574	0.145716	0.303728	0.206142	0.201201	0.288928	0.244796	0.00497431	2.15529
200	-5111.97	-5108.09	-3.874	0.146417	0.190335	0.00739189	0.242566	0.267574	0.145716	0.302332	0.205195	0.200276	0.292197	0.240508	0.0301937	2.52811
210	-5094.22	-5097.25	3.02802	0.140965	0.205643	0.021957	0.233534	0.257611	0.14029	0.311167	0.19268	0.198405	0.297748	0.259191	0.0147598	1.83791
220	-5099.44	-5100.08	0.635643	0.12555	0.219749	0.0219469	0.233426	0.259102	0.140225	0.311167	0.19268	0.198405	0.297748	0.24167	0.00209847	2.07714
230	-5110.2	-5109.36	-0.841951	0.122142	0.213784	0.0213512	0.227091	0.279212	0.136419	0.30206	0.201228	0.198629	0.298083	0.243559	0.0114687	2.2249
240	-5110.79	-5108.87	-1.92466	0.171998	0.182606	0.0182373	0.272144	0.238492	0.116524	0.304137	0.201747	0.199141	0.294974	0.233505	0.00663005	2.33317
250	-5100.09	-5100.11	0.0191662	0.197389	0.209563	0.0209297	0.164693	0.273699	0.133726	0.299687	0.213426	0.196228	0.290659	0.245678	0.0071894	2.13879
260	-5103.97	-5102.42	-1.54467	0.155808	0.239672	0.0165207	0.136049	0.346394	0.105556	0.299687	0.213426	0.196228	0.290659	0.221855	0.00563114	2.29517
270	-5103.23	-5102.09	-1.13942	0.175815	0.270448	0.0186421	0.153519	0.262465	0.11911	0.299687	0.213426	0.196228	0.290659	0.233284	0.00627258	2.25465
280	-5109.9	-5107.31	-2.58693	0.157775	0.242698	0.0387259	0.146235	0.265601	0.148966	0.299687	0.213426	0.196228	0.290659	0.250637	0.0192721	2.3994
290	-5111	-5105.98	-5.01221	0.176909	0.169435	0.0329724	0.124509	0.36934	0.126834	0.312278	0.211554	0.194507	0.281661	0.21196	0.00107377	2.64193
300	-5112.33	-5109.81	-2.52034	0.206427	0.197706	0.0384739	0.145283	0.264114	0.147996	0.303553	0.211136	0.198241	0.287069	0.233474	0.00625098	2.39274
310	-5105.36	-5105.34	-0.0209039	0.197836	0.189478	0.0368728	0.139237	0.257789	0.178788	0.307354	0.201258	0.200724	0.290664	0.235542	0.000338105	2.1428
320	-5108.14	-5108.16	0.0288242	0.176743	0.201649	0.0329097	0.124272	0.304855	0.159571	0.307354	0.201258	0.200724	0.290664	0.236778	0.000426986	2.13783
330	-5105.11	-5106.76	1.64785	0.142974	0.16312	0.0266217	0.221916	0.316286	0.129083	0.306343	0.200596	0.203354	0.289708	0.249508	0.000883739	1.97592
340	-5119.05	-5118.25	-0.79967	0.180899	0.152165	0.0473167	0.207012	0.295044	0.117563	0.29907	0.206927	0.209772	0.284231	0.24029	0.0066231	2.22067
350	-5104.59	-5107.3	2.70644	0.156432	0.210017	0.0605224	0.101055	0.321599	0.150374	0.298941	0.206838	0.210113	0.284108	0.254273	0.00402654	1.87006
360	-5113.56	-5113.63	0.0710102	0.150583	0.226498	0.0582595	0.0751562	0.344752	0.144751	0.308908	0.213734	0.199094	0.278264	0.252233	0.0074134	2.13361
370	-5113.1	-5113.58	0.485059	0.12261	0.202771	0.0508322	0.196689	0.300801	0.126297	0.308006	0.21311	0.202388	0.276495	0.261974	0.0158556	2.0922
380	-5104.23	-5107.34	3.10988	0.125388	0.207366	0.02932	0.201147	0.307618	0.12916	0.30036	0.20782	0.197364	0.294457	0.288576	0.0117888	1.82972
