Iteration	Posterior	Likelihood	Prior	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	-5101.07	-5124.96	23.8867	0.143045	0.210344	0.220354	0.0167026	0.159273	0.269407	0.123919	0.291626	0.185307	0.206196	0.316871	0.00293355
10	-5095.73	-5119.47	23.7414	0.157569	0.179587	0.203874	0.0154534	0.190191	0.296243	0.114652	0.304277	0.199007	0.208052	0.288664	0.00227111
20	-5098.07	-5121.92	23.8471	0.147004	0.165809	0.18624	0.0170327	0.212489	0.305258	0.113171	0.302359	0.206155	0.197281	0.294205	0.0106247
30	-5096.87	-5120.71	23.8384	0.147871	0.155595	0.218683	0.0265625	0.16988	0.343589	0.0856902	0.312739	0.194814	0.198558	0.293889	0.00359513
40	-5098.52	-5122.24	23.7243	0.159276	0.156585	0.220074	0.0347759	0.18423	0.289771	0.114563	0.296613	0.213209	0.209494	0.280684	0.00250285
50	-5102.98	-5126.81	23.8288	0.148828	0.16333	0.232867	0.0234077	0.180016	0.271532	0.128848	0.321279	0.195901	0.200391	0.28243	0.0049478
60	-5092.78	-5116.43	23.6466	0.167051	0.159135	0.224832	0.0248253	0.137593	0.325815	0.127799	0.305189	0.203555	0.201032	0.290225	0.00214315
70	-5091.69	-5115.56	23.8737	0.144341	0.176585	0.191244	0.0295756	0.183825	0.29315	0.12562	0.317872	0.201202	0.19094	0.289986	0.00195541
80	-5100.54	-5124.35	23.8102	0.150691	0.139762	0.178567	0.0484326	0.2389	0.260176	0.134162	0.312718	0.207887	0.206703	0.272692	0.00159711
90	-5112.68	-5136.37	23.6894	0.162774	0.150633	0.206834	0.052994	0.158024	0.273781	0.157734	0.279903	0.218287	0.198966	0.302844	0.00613609
100	-5095.54	-5119.27	23.7268	0.159026	0.141058	0.255286	0.0235033	0.153277	0.271695	0.15518	0.305276	0.206299	0.203976	0.284449	0.00978344
110	-5107.49	-5131.22	23.73	0.158707	0.129755	0.21298	0.0239435	0.14621	0.316539	0.170573	0.31969	0.20519	0.18936	0.28576	0.00164888
120	-5102.16	-5126.03	23.8646	0.145245	0.120817	0.209683	0.0220155	0.179328	0.307145	0.161012	0.332158	0.190487	0.198459	0.278897	0.0123633
130	-5089.97	-5113.87	23.8998	0.141725	0.157544	0.218389	0.0260772	0.177804	0.249554	0.170632	0.308704	0.201661	0.200456	0.289179	0.00161848
140	-5099.28	-5122.98	23.703	0.161414	0.15587	0.225932	0.0271618	0.193774	0.253766	0.143496	0.300695	0.200248	0.192222	0.306835	0.00797379
150	-5097.6	-5121.4	23.8085	0.150859	0.12762	0.184984	0.0222389	0.262411	0.270101	0.132645	0.297817	0.216854	0.201676	0.283653	0.0235381
160	-5102.41	-5126.21	23.8035	0.151356	0.157634	0.212888	0.0245708	0.215064	0.243289	0.146554	0.301781	0.210648	0.200252	0.287319	0.0112215
