Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	4.65016	0	4.65016	0.0348708	0.28607	0.441076	0.0382295	0.1954	0.00435441	0.252053	0.357918	0.175447	0.214582	0.226106	2.06669
10	3.37136	0	3.37136	0.0642048	0.35544	0.232809	0.331926	0.00838784	0.00723235	0.0675944	0.608699	0.148137	0.17557	0.486546	2.19457
20	-1.15269	0	-1.15269	0.0250872	0.101607	0.0235177	0.096907	0.466303	0.286579	0.239007	0.377859	0.315161	0.0679732	0.603713	2.64698
30	4.75045	0	4.75045	0.000372813	0.0326309	0.125345	0.518616	0.169513	0.153523	0.207942	0.250879	0.444658	0.09652	0.180582	2.05666
40	0.847725	0	0.847725	0.000617773	0.287672	0.130039	0.371673	0.160706	0.0492928	0.257426	0.194884	0.372967	0.174723	0.208914	2.44694
50	0.641235	0	0.641235	0.0006283	0.149235	0.391778	0.0813966	0.366687	0.0102751	0.319915	0.148955	0.295708	0.235423	0.971052	2.46759
60	-4.65395	0	-4.65395	0.0375741	0.245385	0.0098829	0.116704	0.587156	0.0032981	0.530294	0.0351389	0.357815	0.0767512	0.997568	2.9971
70	-2.88585	0	-2.88585	0.279709	0.171858	0.00750572	0.324536	0.216126	0.000265382	0.397236	0.132239	0.288373	0.182151	0.141143	2.82029
80	1.02484	0	1.02484	0.239697	0.163676	0.156778	0.0425821	0.314527	0.0827392	0.393981	0.173103	0.0966989	0.336217	0.82193	2.42923
90	7.26958	0	7.26958	0.066343	0.109401	0.232506	0.520096	0.0364436	0.0352106	0.326605	0.483069	0.0212538	0.169072	0.412473	1.80475
100	2.50612	0	2.50612	0.0790108	0.368817	0.149893	0.256162	0.0378302	0.108287	0.221728	0.121321	0.184688	0.472263	0.660141	2.2811
110	-8.99881	0	-8.99881	0.151626	0.344504	0.0346854	0.130158	0.0479605	0.291066	0.559106	0.0925383	0.0832643	0.265092	0.21809	3.43159
120	-2.03728	0	-2.03728	0.178698	0.307696	0.0424045	0.0557645	0.237418	0.178019	0.213244	0.153765	0.447484	0.185507	0.186499	2.73544
130	-5.10681	0	-5.10681	0.0562142	0.223959	0.26304	0.172058	0.0101404	0.274589	0.317673	0.015326	0.382119	0.284882	0.545175	3.04239
140	-3.47372	0	-3.47372	0.0154092	0.0171418	0.31721	0.0568799	0.445451	0.147908	0.254262	0.10486	0.351567	0.289312	0.680296	2.87908
150	-7.95572	0	-7.95572	0.032113	0.394961	0.141475	0.0348863	0.0659399	0.330625	0.393099	0.264195	0.165657	0.177048	0.126558	3.32728
160	5.24988	0	5.24988	0.0919037	0.185922	0.0706688	0.372085	0.0648963	0.214524	0.352178	0.378489	0.097873	0.17146	0.392672	2.00672
170	-1.65999	0	-1.65999	0.149675	0.190588	0.0701015	0.329298	0.238213	0.0221241	0.271631	0.549909	0.0211027	0.157357	0.422794	2.69771
180	3.79617	0	3.79617	0.00837761	0.0446087	0.153175	0.328391	0.335854	0.129594	0.110924	0.543976	0.105466	0.239634	0.638188	2.15209
190	-0.18585	0	-0.18585	0.27015	0.00112881	0.199567	0.130242	0.35902	0.0398922	0.260415	0.450699	0.0765213	0.212364	0.271816	2.55029
200	1.11906	0	1.11906	0.286699	0.000382571	0.0456828	0.216302	0.195685	0.255249	0.18254	0.240695	0.338427	0.238339	0.942467	2.4198
