Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-5096.32	-5120.32	24.0019	0.181199	0.187818	0.0208345	0.183341	0.288416	0.138391	0.305446	0.195877	0.207044	0.291634	0.008456	0.131522
10	-5088.29	-5112.2	23.9133	0.191466	0.199542	0.022135	0.196771	0.238845	0.151241	0.307633	0.196368	0.197754	0.298244	0.0103805	0.140382
20	-5094.95	-5118.62	23.6679	0.15627	0.249141	0.0165357	0.196486	0.240781	0.140787	0.305992	0.208358	0.199526	0.286124	0.000407189	0.164922
30	-5097	-5120.68	23.6869	0.160467	0.233381	0.0330212	0.196064	0.2584	0.118668	0.289575	0.209609	0.206757	0.294059	0.00811895	0.163016
40	-5095.63	-5119.49	23.8517	0.15969	0.266845	0.0168174	0.161372	0.230127	0.165149	0.292837	0.211732	0.197876	0.297555	0.00339962	0.146538
50	-5103.99	-5127.79	23.7936	0.157144	0.223126	0.0120649	0.154746	0.330457	0.122462	0.32262	0.214316	0.19732	0.265743	0.00409282	0.152347
60	-5105.21	-5129.04	23.8321	0.222978	0.203075	0.0260127	0.175043	0.261433	0.111458	0.296768	0.192432	0.199189	0.31161	0.00325513	0.148498
70	-5101.39	-5125.05	23.6653	0.145408	0.240985	0.0288012	0.204997	0.238348	0.141461	0.320389	0.205811	0.194331	0.27947	0.0213372	0.16518
80	-5101.63	-5125.56	23.9324	0.114427	0.171621	0.0265666	0.240351	0.304023	0.143012	0.307721	0.198459	0.189853	0.303967	0.0200203	0.13847
90	-5090.29	-5114.18	23.8884	0.130058	0.219086	0.0301735	0.159019	0.327488	0.134175	0.32461	0.196421	0.193279	0.28569	0.00127668	0.142874
100	-5101.88	-5125.69	23.8035	0.146549	0.165709	0.0173228	0.255639	0.279404	0.135376	0.324091	0.204059	0.198906	0.272944	0.0160385	0.151357
110	-5101.25	-5125.09	23.8442	0.178718	0.243925	0.0245611	0.179103	0.232777	0.140917	0.303348	0.206313	0.186176	0.304163	0.00500657	0.147287
120	-5096.14	-5119.96	23.8233	0.147854	0.210161	0.0218574	0.148049	0.31155	0.160528	0.31788	0.196409	0.199999	0.285712	0.00685518	0.149384
130	-5105.55	-5129.14	23.5887	0.155928	0.223091	0.0330167	0.200723	0.248236	0.139006	0.318208	0.20139	0.192537	0.287866	0.00454812	0.172835
140	-5091.16	-5114.98	23.8213	0.193349	0.181056	0.0267957	0.192463	0.293521	0.112815	0.316757	0.203975	0.197444	0.281824	0.00513677	0.149575
150	-5099.3	-5123.14	23.8424	0.16954	0.22071	0.0253862	0.130979	0.298168	0.155218	0.30653	0.20485	0.19547	0.293149	2.90222e-05	0.147473
160	-5096.39	-5120.16	23.7744	0.172085	0.224023	0.0257672	0.201784	0.273645	0.102696	0.301159	0.213242	0.202446	0.283153	0.00989387	0.154268
170	-5101.45	-5125.2	23.7497	0.177028	0.254312	0.0220256	0.146368	0.229766	0.170501	0.29757	0.200813	0.20416	0.297457	0.00249698	0.15674
180	-5104	-5127.7	23.6987	0.146192	0.245424	0.0187941	0.150886	0.33208	0.106624	0.310528	0.206246	0.209129	0.274097	0.00282725	0.161837
190	-5096.03	-5119.78	23.7522	0.126977	0.227065	0.0294214	0.221543	0.26916	0.125833	0.301718	0.209293	0.20412	0.28487	0.00282725	0.156487
200	-5102.93	-5126.52	23.5915	0.206826	0.178883	0.043744	0.142649	0.298992	0.128906	0.296751	0.203293	0.204542	0.295414	0.00847856	0.172562
210	-5091.28	-5115.17	23.8914	0.190397	0.240826	0.0187214	0.139533	0.274928	0.135594	0.300046	0.21393	0.19866	0.287364	0.005781	0.142571
220	-5087.92	-5111.87	23.9472	0.181485	0.216493	0.0168298	0.196107	0.262178	0.126907	0.304866	0.200506	0.18668	0.307949	0.00163216	0.136985
230	-5089.53	-5113.44	23.9155	0.16533	0.236865	0.0160126	0.186586	0.249448	0.145759	0.302785	0.203521	0.198415	0.295279	0.000473906	0.140161
240	-5098.01	-5121.85	23.8467	0.122264	0.234569	0.028079	0.184777	0.291979	0.138333	0.302369	0.209253	0.20604	0.282338	0.00168528	0.147039
250	-5105.14	-5128.97	23.8365	0.187871	0.222281	0.0282698	0.17291	0.249396	0.139273	0.317181	0.195893	0.191154	0.295772	0.00347943	0.148056
260	-5096.99	-5120.78	23.7979	0.189218	0.22773	0.0284725	0.189703	0.253849	0.111028	0.301599	0.200486	0.199596	0.29832	0.00257762	0.151921
270	-5097.01	-5120.8	23.7977	0.182211	0.221588	0.0273184	0.182013	0.256532	0.130338	0.31578	0.195717	0.192122	0.296382	0.000128313	0.15194
280	-5100.26	-5124.07	23.8037	0.176276	0.211561	0.0390682	0.208996	0.238005	0.126093	0.29166	0.204821	0.194194	0.309325	0.0178736	0.151338
290	-5091.2	-5114.98	23.7786	0.200405	0.203664	0.0226392	0.202746	0.24916	0.121387	0.298763	0.207458	0.205843	0.287936	0.00303263	0.153849
300	-5100.24	-5124.07	23.8367	0.165851	0.237591	0.0269174	0.164262	0.271521	0.133858	0.302953	0.211778	0.188106	0.297163	0.00395054	0.148039
310	-5097.29	-5121.14	23.8499	0.185357	0.227873	0.0273383	0.178418	0.277433	0.103581	0.289793	0.205168	0.201109	0.30393	0.0023573	0.146723
320	-5091.99	-5115.82	23.8309	0.180131	0.234545	0.0303831	0.179366	0.26614	0.109434	0.310333	0.209029	0.200511	0.280127	0.0187907	0.148616
330	-5091.69	-5115.5	23.8092	0.177295	0.218456	0.0277922	0.205153	0.243445	0.127858	0.305226	0.211099	0.203412	0.280264	0.00273586	0.15079
340	-5092.12	-5115.95	23.8266	0.151423	0.226134	0.02518	0.185871	0.291855	0.119536	0.298733	0.205102	0.204864	0.291302	0.0193749	0.149048
350	-5097.48	-5121.2	23.7191	0.16229	0.219439	0.0244345	0.180368	0.283214	0.130254	0.319225	0.203731	0.194658	0.282387	0.0173842	0.159801
360	-5092.99	-5116.74	23.7476	0.157052	0.228034	0.0347388	0.171802	0.256796	0.151578	0.300724	0.218743	0.190391	0.290143	0.00857134	0.156945
370	-5100.9	-5124.75	23.8533	0.146101	0.213712	0.0420891	0.185257	0.280586	0.132255	0.286115	0.208116	0.203975	0.301793	0.00272436	0.146384
380	-5093.28	-5117.07	23.782	0.143272	0.229613	0.037981	0.200401	0.282539	0.106194	0.300955	0.200231	0.196246	0.302567	0.00133449	0.153514
390	-5096.55	-5120.35	23.8029	0.152032	0.224551	0.0210198	0.133768	0.303195	0.165434	0.31196	0.194879	0.212823	0.280338	0.00520127	0.151424
400	-5106.41	-5130.13	23.7165	0.169152	0.226664	0.0212098	0.150602	0.265442	0.16693	0.322885	0.204312	0.18362	0.289183	0.021219	0.160058
410	-5097.65	-5121.34	23.6912	0.156218	0.214538	0.0417842	0.131827	0.289701	0.165931	0.325751	0.193884	0.196684	0.28368	0.000289188	0.162586
420	-5105.68	-5129.48	23.7988	0.18089	0.186121	0.0471707	0.170955	0.30119	0.113674	0.319913	0.19714	0.204966	0.277981	0.0128305	0.151829
430	-5096.03	-5119.99	23.9564	0.164498	0.240633	0.0465343	0.143686	0.289103	0.115546	0.302695	0.204672	0.206557	0.286076	0.00447209	0.136069
440	-5097.5	-5121.21	23.717	0.175892	0.238855	0.0189268	0.149443	0.307056	0.109828	0.307328	0.192934	0.198621	0.301117	0.0187892	0.160013
450	-5108.08	-5131.75	23.6758	0.186006	0.153064	0.0290874	0.20355	0.290776	0.137517	0.318017	0.202696	0.193851	0.285436	0.0190645	0.164131
460	-5101.71	-5125.51	23.7993	0.210892	0.153111	0.0307226	0.156478	0.307123	0.141673	0.32082	0.198181	0.208191	0.272808	0.00419888	0.151782
470	-5098.3	-5122.12	23.8278	0.161671	0.166819	0.0201444	0.201966	0.295042	0.154357	0.316334	0.198844	0.195989	0.288833	0.00968831	0.148934
480	-5093.19	-5116.98	23.7846	0.141017	0.212509	0.0147826	0.255478	0.251946	0.124268	0.307405	0.201416	0.201349	0.289829	0.00813467	0.153247
490	-5091.5	-5115.33	23.824	0.173555	0.194519	0.0183496	0.16615	0.317525	0.129902	0.309179	0.200741	0.209364	0.280715	0.00600924	0.14931
500	-5095.54	-5119.41	23.8697	0.140043	0.209933	0.0164875	0.192299	0.305444	0.135793	0.308679	0.228038	0.192532	0.270751	0.00461403	0.14474
510	-5098.84	-5122.66	23.8258	0.153431	0.213174	0.0238431	0.16281	0.321395	0.125347	0.30804	0.20977	0.200254	0.281935	0.010499	0.149129
520	-5097.5	-5121.31	23.8145	0.137307	0.21699	0.0265571	0.199962	0.282094	0.137089	0.314641	0.197686	0.197016	0.290657	0.0133485	0.15026
530	-5097.66	-5121.36	23.6955	0.150132	0.217667	0.0266399	0.200946	0.267098	0.137517	0.310078	0.203078	0.194808	0.292036	0.0152097	0.162155
540	-5093.73	-5117.6	23.8727	0.178301	0.200929	0.029649	0.195689	0.26849	0.126942	0.299523	0.201152	0.203657	0.295668	0.00445179	0.144441
550	-5085.07	-5108.95	23.8872	0.163438	0.204662	0.0250066	0.15718	0.29594	0.153774	0.3065	0.200941	0.205378	0.287182	0.0153179	0.142993
560	-5103.57	-5127.37	23.7934	0.185256	0.223115	0.0338663	0.154814	0.262208	0.14074	0.300673	0.215566	0.205437	0.278324	0.00901537	0.152371
570	-5095.35	-5119.08	23.7228	0.184837	0.215012	0.019104	0.1835	0.287579	0.109968	0.300852	0.205169	0.194046	0.299933	0.00696477	0.15943
580	-5099.3	-5123.08	23.7792	0.15224	0.18869	0.0194684	0.170554	0.329397	0.139651	0.309971	0.198823	0.206248	0.284958	0.0122414	0.153785
590	-5097.64	-5121.41	23.7739	0.16109	0.234759	0.0184185	0.201142	0.225666	0.158924	0.312236	0.200276	0.200449	0.28704	0.00573954	0.154323
600	-5101.16	-5124.89	23.7313	0.176767	0.193037	0.01814	0.233281	0.222255	0.156521	0.3065	0.204111	0.202411	0.286978	0.00280682	0.158577
610	-5099.7	-5123.44	23.7325	0.176557	0.203939	0.0166639	0.238087	0.233138	0.131614	0.316401	0.186792	0.201527	0.295279	0.0118731	0.15846
620	-5099.13	-5122.97	23.8429	0.170568	0.217607	0.0430361	0.200884	0.251209	0.116696	0.311724	0.191758	0.191963	0.304555	0.0348796	0.147424
630	-5093.78	-5117.57	23.7922	0.179344	0.196095	0.032085	0.2338	0.245101	0.113575	0.31622	0.194837	0.195238	0.293705	0.000976187	0.152488
640	-5094.96	-5118.76	23.8068	0.176087	0.194779	0.0291892	0.212698	0.269279	0.117968	0.310283	0.19298	0.203057	0.293681	0.00329448	0.151026
650	-5093.9	-5117.71	23.8107	0.175622	0.192906	0.0154079	0.210163	0.280404	0.125498	0.314263	0.196623	0.19812	0.290995	0.0180295	0.150637
660	-5102.43	-5126.18	23.7495	0.167506	0.202753	0.0161945	0.194198	0.287444	0.131904	0.316578	0.215631	0.185118	0.282673	0.00939405	0.156762
670	-5092.43	-5116.12	23.6942	0.132718	0.230914	0.0307096	0.168166	0.292094	0.145399	0.312312	0.216766	0.191439	0.279483	0.0148348	0.162293
680	-5101	-5124.69	23.6927	0.159178	0.166176	0.0234923	0.189452	0.350474	0.111228	0.311065	0.197631	0.214784	0.276519	0.000229075	0.162441
690	-5102.04	-5125.89	23.8471	0.215061	0.200356	0.0258648	0.188789	0.237994	0.131935	0.301021	0.198503	0.207639	0.292836	0.0260178	0.146999
700	-5101.81	-5125.59	23.7843	0.14855	0.227852	0.0255581	0.191028	0.292189	0.114823	0.305159	0.201375	0.202847	0.290619	0.00441464	0.153276
710	-5100.19	-5123.99	23.8	0.13904	0.220935	0.0225182	0.168307	0.305538	0.143661	0.313446	0.209892	0.202503	0.274159	0.00513764	0.151713
720	-5103.85	-5127.67	23.8192	0.179423	0.218298	0.0311369	0.140015	0.282403	0.148725	0.314894	0.197061	0.19378	0.294264	0.00651953	0.149785
730	-5100.12	-5123.93	23.8154	0.145549	0.241923	0.0356386	0.179292	0.265786	0.131812	0.304903	0.206719	0.20007	0.288307	0.00121792	0.150172
740	-5096.79	-5120.76	23.9657	0.163235	0.206495	0.0348581	0.222441	0.249865	0.123107	0.304857	0.201636	0.191691	0.301816	0.00212248	0.135144
750	-5102.27	-5126.14	23.8723	0.204432	0.216164	0.0189293	0.14277	0.293086	0.124618	0.302139	0.201876	0.205173	0.290811	0.000483064	0.144481
760	-5104.6	-5128.46	23.8588	0.185347	0.215065	0.0314024	0.200987	0.273168	0.0940309	0.308301	0.209562	0.186361	0.295776	0.00759166	0.145833
770	-5100.96	-5124.76	23.7962	0.187698	0.192259	0.0159454	0.179794	0.263749	0.160554	0.304276	0.211002	0.200802	0.283919	0.00683548	0.152085
780	-5098.2	-5122.08	23.8896	0.189196	0.230799	0.0245851	0.135137	0.292879	0.127404	0.313248	0.205716	0.188932	0.292104	0.000797213	0.142749
790	-5099.67	-5123.44	23.7709	0.190814	0.232772	0.0342908	0.182769	0.253499	0.105856	0.300629	0.212591	0.1959	0.290879	0.00329131	0.154621
800	-5103.22	-5126.95	23.7363	0.158335	0.234893	0.0216272	0.235047	0.246968	0.103129	0.315897	0.185785	0.217749	0.280569	0.00731711	0.158081
810	-5096.44	-5120.25	23.8083	0.155955	0.240714	0.0213887	0.152981	0.272515	0.156446	0.318274	0.208598	0.19722	0.275907	0.00731711	0.150883
820	-5094.72	-5118.45	23.7288	0.158097	0.195822	0.0223145	0.171822	0.297575	0.154369	0.319691	0.198174	0.198099	0.284035	0.00355302	0.158826
830	-5098.18	-5122.06	23.8777	0.149756	0.241179	0.0235391	0.181251	0.228774	0.175501	0.299744	0.205424	0.207926	0.286907	0.000645196	0.14394
840	-5101.08	-5124.88	23.7968	0.129136	0.218852	0.019519	0.198805	0.306989	0.126699	0.294914	0.21809	0.197609	0.289386	0.000823888	0.15203
850	-5098.27	-5122.21	23.9392	0.124359	0.237293	0.041322	0.191451	0.295634	0.109941	0.321293	0.203958	0.190142	0.284607	0.00285747	0.137792
860	-5098.94	-5122.74	23.8013	0.166405	0.211043	0.0264546	0.237312	0.254225	0.104561	0.298895	0.200937	0.211827	0.288341	0.00812151	0.151576
