Iteration	Posterior	Likelihood	Prior	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	4.40102	0	4.40102	2.09161	0.497795	0.044563	0.115733	0.0205095	0.296564	0.024835	0.155203	0.424718	0.112335	0.307744	0.0886578
10	6.22885	0	6.22885	1.90882	0.278501	0.09593	0.0618089	0.0757451	0.0916775	0.396337	0.260927	0.0837566	0.207339	0.447978	0.0281206
20	5.79694	0	5.79694	1.95202	0.177044	0.383408	0.0805833	0.261162	0.0325746	0.0652292	0.433369	0.154401	0.138141	0.27409	0.322502
30	-1.73019	0	-1.73019	2.70473	0.517229	0.196949	0.161229	0.116081	0.00245121	0.00606032	0.270284	0.303517	0.200456	0.225743	0.808511
40	-2.5086	0	-2.5086	2.78257	0.0733248	0.235037	0.0200703	0.499082	0.0352524	0.137233	0.250611	0.368521	0.249409	0.131459	0.829813
50	-6.82182	0	-6.82182	3.21389	0.00740298	0.0563236	0.485011	0.0579094	0.00791256	0.38544	0.24767	0.326498	0.109019	0.316813	0.327281
60	-0.241519	0	-0.241519	2.55586	0.101054	0.208027	0.0663015	0.428875	0.129917	0.0658254	0.377643	0.16105	0.182828	0.278479	0.396516
70	4.17752	0	4.17752	2.11396	0.0289365	0.0453016	0.387467	0.188108	0.331802	0.0183854	0.512261	0.129263	0.135173	0.223302	0.0260709
80	9.31457	0	9.31457	1.60025	0.0562628	0.0311748	0.256851	0.17253	0.32799	0.155191	0.243636	0.154069	0.313545	0.28875	0.399737
90	8.70277	0	8.70277	1.66143	0.269805	0.256038	0.213865	0.0379626	0.0841098	0.13822	0.34467	0.0311717	0.180169	0.443988	0.0540069
100	7.52008	0	7.52008	1.7797	0.160986	0.355525	0.145792	0.160342	0.139537	0.0378174	0.170308	0.284024	0.195015	0.350653	0.429471
110	-4.20297	0	-4.20297	2.95201	0.0476713	0.354198	0.0854093	0.100322	0.0520289	0.360371	0.0449885	0.338252	0.189507	0.427252	0.144494
120	-10.5422	0	-10.5422	3.58593	0.0024647	0.267887	0.32513	0.283363	0.0169139	0.104241	0.0553388	0.479783	0.275395	0.189483	0.982685
130	4.93591	0	4.93591	2.03812	0.158983	0.0412117	0.202114	0.286202	0.0491649	0.262324	0.0896915	0.403679	0.495303	0.0113266	0.612155
140	-3.22192	0	-3.22192	2.8539	0.378368	0.182132	0.151593	0.108374	0.0677077	0.111825	0.400402	0.271343	0.259178	0.069077	0.0775699
150	-0.127705	0	-0.127705	2.54448	0.274478	0.0261529	0.0256642	0.293313	0.0208608	0.35953	0.203082	0.536296	0.248928	0.0116943	0.759239
160	-0.402226	0	-0.402226	2.57193	0.0501676	0.0494148	0.55063	0.183505	0.147341	0.0189411	0.255768	0.580075	0.163519	0.000638327	0.741095
170	8.75902	0	8.75902	1.65581	0.298423	0.236784	0.0492223	0.318911	0.0349879	0.0616727	0.162301	0.611253	0.181984	0.044461	0.586591
180	2.24381	0	2.24381	2.30733	0.0523269	0.0194903	0.155488	0.699104	0.0281428	0.0454479	0.250707	0.511848	0.235415	0.00202957	0.236459
