Iteration	Posterior	Likelihood	Prior	birth_rate
0	-56.0905	-55.345	-0.745537	0.104781
10	-55.9607	-55.2213	-0.739477	0.092659
20	-56.1105	-55.3743	-0.736194	0.0860946
30	-55.9658	-55.2232	-0.742519	0.0987436
40	-56.2724	-55.5244	-0.748022	0.109751
50	-55.974	-55.2312	-0.742854	0.0994138
60	-56.1542	-55.4077	-0.746518	0.106742
70	-56.4693	-55.7366	-0.732722	0.0791495
80	-56.1709	-55.4241	-0.74675	0.107206
90	-55.975	-55.2322	-0.742892	0.0994903
100	-55.9838	-55.2406	-0.743192	0.100089
110	-56.1662	-55.4195	-0.746686	0.107078
120	-55.9473	-55.2062	-0.741073	0.0958516
130	-56.0423	-55.2976	-0.744648	0.103002
140	-56.1508	-55.4044	-0.74647	0.106646
150	-56.2233	-55.4884	-0.734852	0.083409
160	-56.0397	-55.2951	-0.744595	0.102895
170	-57.7128	-56.954	-0.758746	0.131197
180	-56.3469	-55.6132	-0.733691	0.081087
190	-56.3153	-55.5814	-0.733966	0.0816378
200	-55.9477	-55.2071	-0.740546	0.0947981
210	-56.245	-55.4973	-0.7477	0.109106
220	-55.9472	-55.2065	-0.740677	0.0950606
230	-55.9481	-55.2077	-0.740462	0.0946304
240	-56.0574	-55.3204	-0.737004	0.0877141
250	-56.6529	-55.9214	-0.731482	0.0766694
260	-56.1836	-55.4483	-0.735283	0.0842723
270	-56.4902	-55.7576	-0.73257	0.0788455
280	-55.9477	-55.2065	-0.741175	0.0960563
290	-56.031	-55.2935	-0.737486	0.0886776
300	-55.96	-55.2204	-0.739516	0.0927379
310	-56.4111	-55.6616	-0.7495	0.112705
320	-56.3684	-55.6193	-0.749068	0.111843
330	-55.9586	-55.219	-0.739588	0.0928807
340	-57.9504	-57.1903	-0.760066	0.133837
350	-56.0461	-55.3013	-0.744725	0.103156
360	-56.6202	-55.8688	-0.751397	0.1165
370	-55.9628	-55.2204	-0.74238	0.0984648
380	-55.9635	-55.2211	-0.742416	0.0985378
390	-57.52	-56.7927	-0.727263	0.0682313
400	-57.5439	-56.8167	-0.727169	0.0680431
410	-56.0417	-55.3044	-0.737282	0.0882692
420	-56.6478	-55.9163	-0.731513	0.0767322
430	-55.9928	-55.2494	-0.743467	0.10064
440	-55.9539	-55.214	-0.739876	0.0934575
450	-56.5106	-55.7602	-0.750441	0.114587
460	-56.1723	-55.4255	-0.746769	0.107244
470	-55.9619	-55.2195	-0.742335	0.0983749
480	-55.947	-55.2061	-0.740906	0.0955168
490	-55.9865	-55.2432	-0.743276	0.100258
500	-55.948	-55.2075	-0.740484	0.0946733
510	-56.0368	-55.2923	-0.744535	0.102776
520	-56.2086	-55.4613	-0.747249	0.108203
530	-56.0002	-55.2566	-0.743674	0.101053
540	-56.2505	-55.5027	-0.747766	0.109237
550	-56.2387	-55.4911	-0.747623	0.108952
560	-56.0617	-55.3248	-0.736931	0.0875681
570	-56.4652	-55.7325	-0.732752	0.0792103
