Iteration	Posterior	Likelihood	Prior	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	death_rate	turnover	diversification	birth_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	nu	root_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
0	-2751.38	-2748.8	-2.5798	0.0602195	0.0749814	0.086439	0.0664352	0.103666	0.1077	0.0450098	0.0687349	0.135214	0.0628573	0.0748387	0.0768482	0.0899518	0.0841667	0.0780677	0.0875779	0.127601	0.228828	0.0436297	0.719004	0.0170511	0.0606807	54.4289	19.5312	38.2239	0.00500324	3.18713	0.384427	0.0921743	0.000345942	0.0004126	0.000441263	0.000353414	0.00044655	0.00046167	0.000331684	0.000491159	0.000910694	0.00111894	0.000379463	0.000402798	0.000435578	0.000405849	0.000414383	0.000538297	0.00089165	0.00153413	0.0512807	0.361428	0.0276825	0.0661932	0.385534	0.107882	0.171135	0.322975	0.352743	0.153148
10	-2741.91	-2745.75	3.83494	0.034167	0.0636957	0.0752093	0.0525593	0.0500658	0.0539489	0.078798	0.0985334	0.169687	0.363164	0.0460619	0.0526514	0.0600359	0.0530869	0.0531231	0.0517866	0.10572	0.14005	0.0213387	0.521712	0.0195626	0.0409013	52.6048	17.9177	41.7935	0.00557908	2.29503	0.292053	0.0890191	0.000243499	0.000345154	0.000377272	0.000275108	0.000268152	0.000297366	0.000364271	0.000569773	0.000864022	0.00182775	0.000275364	0.000294961	0.00031556	0.000296277	0.00029265	0.000439371	0.000685585	0.00120537	0.0482636	0.340163	0.0616668	0.0634777	0.384894	0.101535	0.173457	0.339468	0.310342	0.176734
20	-2735.73	-2740.9	5.17329	0.0736274	0.0546822	0.0599807	0.0594124	0.0843314	0.0527249	0.113328	0.0799417	0.170412	0.244581	0.0664705	0.0633917	0.0699229	0.0614632	0.0765684	0.099524	0.116096	0.187031	0.0885638	0.679432	0.041786	0.13035	49.4518	19.0304	36.9139	0.0053421	1.42341	0.360982	0.0963049	0.00040118	0.000332826	0.000346979	0.000336239	0.000402799	0.000310153	0.000568539	0.000523625	0.000954747	0.00161749	0.000346868	0.000333494	0.000350939	0.000368689	0.000470351	0.00057593	0.000809665	0.00146377	0.0663343	0.415659	0.0511319	0.0602582	0.320382	0.0862342	0.173818	0.327058	0.326513	0.172612
30	-2742.98	-2747.33	4.34449	0.0431162	0.0512207	0.0554633	0.0679387	0.0772919	0.0769699	0.0479991	0.0585695	0.051008	0.234233	0.0684968	0.0661643	0.0607906	0.0557335	0.059648	0.108387	0.112595	0.235168	0.0367958	0.336621	0.0725135	0.109309	47.2439	17.6588	37.0421	0.0054916	2.33947	0.358535	0.085044	0.00028217	0.000307561	0.00031921	0.000374625	0.000400307	0.000393018	0.000429405	0.000469984	0.000785781	0.00162762	0.000369753	0.000334707	0.000319952	0.000316815	0.00046139	0.000606772	0.000954887	0.00163019	0.080341	0.308887	0.0842549	0.080153	0.371239	0.0751254	0.205906	0.334353	0.283631	0.17611
40	-2748.64	-2746.48	-2.1585	0.0500762	0.0295356	0.0350332	0.0616097	0.0426697	0.0383706	0.0970211	0.0833416	0.170926	0.343547	0.0519494	0.0560377	0.0447488	0.0584217	0.0810388	0.0823569	0.110016	0.201343	0.00762717	0.240168	0.0241305	0.0317576	56.755	21.6236	40.8148	0.00510462	3.08033	0.178687	0.0910024	0.000334646	0.000189597	0.000203629	0.000289838	0.000241497	0.000240959	0.000457829	0.000493508	0.000950147	0.0013329	0.000275617	0.000292136	0.000263323	0.000355947	0.000417037	0.000490994	0.000794684	0.000969955	0.088298	0.321945	0.101386	0.0725815	0.33617	0.0796194	0.166738	0.344291	0.310338	0.178632
50	-2736.53	-2742.31	5.77964	0.0489131	0.0517889	0.0558524	0.043971	0.0501747	0.0476884	0.0772287	0.115581	0.0727381	0.411282	0.0435975	0.0534191	0.0631892	0.0552028	0.0526217	0.0649743	0.115944	0.114969	0.0174371	0.216371	0.0631517	0.0805888	48.1381	18.8476	44.6004	0.005977	1.39348	0.161773	0.0855076	0.000303437	0.000343612	0.000355756	0.000261699	0.000280238	0.00030216	0.000424974	0.000691913	0.000560962	0.00171258	0.000289934	0.000324617	0.000353815	0.000322234	0.000351436	0.000540675	0.000690084	0.000827043	0.0946764	0.345202	0.0797702	0.0778246	0.360454	0.0420729	0.177421	0.333996	0.313606	0.174977
60	-2737.58	-2740.02	2.44244	0.0428562	0.0612548	0.0802188	0.0466778	0.0466401	0.0763385	0.107398	0.079801	0.0398909	0.242229	0.0479151	0.0525816	0.0734262	0.0461775	0.0468318	0.0481978	0.0670778	0.209463	0.0591334	0.560934	0.0462861	0.105419	49.2438	19.0546	42.4398	0.00551782	2.34898	0.324824	0.0786097	0.000247441	0.000371573	0.000423893	0.000260974	0.000260869	0.000355679	0.000429276	0.000405226	0.000687945	0.00156445	0.000277261	0.000272467	0.000329976	0.000256604	0.000262178	0.000318035	0.000762951	0.00147405	0.0859446	0.342707	0.0513733	0.0772622	0.35785	0.084863	0.194275	0.32145	0.313092	0.171182
70	-2741.45	-2744.08	2.63018	0.0551809	0.0770988	0.0536781	0.0715388	0.0768462	0.0664797	0.0715786	0.0814428	0.0471213	0.372247	0.0552588	0.0581102	0.0555908	0.0677976	0.0655512	0.0885855	0.0922552	0.196407	0.0110943	0.233553	0.0364079	0.0475022	49.7811	22.0464	40.8438	0.00579586	2.10193	0.224429	0.0918205	0.000349873	0.000384525	0.000316654	0.000367451	0.000382831	0.000361053	0.000464144	0.000503365	0.000705729	0.00172913	0.000328536	0.000364872	0.000357571	0.000386436	0.000446678	0.000524064	0.000836524	0.00121955	0.0317835	0.397214	0.0971603	0.0883243	0.311619	0.0738994	0.19212	0.323618	0.313378	0.170884
80	-2742.74	-2744.59	1.84409	0.0629819	0.0452671	0.0243185	0.049703	0.0573775	0.0567676	0.0312428	0.13741	0.084409	0.281614	0.059609	0.0604201	0.039674	0.0422912	0.0508392	0.0519849	0.0760337	0.196281	0.0296746	0.452155	0.0359546	0.0656292	53.3848	19.3968	42.1974	0.00581541	2.694	0.306902	0.0782347	0.000330958	0.000246984	0.000186071	0.000317847	0.000340162	0.000340747	0.000242002	0.000620632	0.000816164	0.00171123	0.000349009	0.000298654	0.000238331	0.000270796	0.000298982	0.00037224	0.000791811	0.00146311	0.059406	0.316591	0.0327002	0.0835135	0.437915	0.0698743	0.185181	0.332663	0.323057	0.159099
90	-2743.17	-2746.2	3.03245	0.0649857	0.0401063	0.0366742	0.0886342	0.0653705	0.0703783	0.0463037	0.0718744	0.0578182	0.27072	0.070569	0.0650477	0.0509434	0.0610142	0.0693935	0.0857579	0.105331	0.213312	0.0138638	0.451354	0.0168522	0.0307161	53.4252	21.0815	40.3454	0.00551737	1.95165	0.192301	0.0852353	0.00037071	0.000251177	0.000241709	0.000439191	0.000375014	0.000373598	0.000364316	0.000488854	0.000747964	0.00127733	0.000374123	0.000347765	0.000308855	0.000359753	0.000428014	0.000527154	0.000879036	0.00111896	0.0580682	0.3521	0.0571067	0.111148	0.35372	0.0678571	0.192525	0.342381	0.316776	0.148319
