state	power	likelihood
300	1	-2751.34
400	1	-2753.87
500	1	-2748.68
600	1	-2745.91
700	1	-2755.75
800	1	-2754.14
900	1	-2755.71
1000	1	-2749.78
300	0.934875	-2763
400	0.934875	-2752.92
500	0.934875	-2751.71
600	0.934875	-2749.21
700	0.934875	-2753.84
800	0.934875	-2755.38
900	0.934875	-2754.9
1000	0.934875	-2751.99
300	0.872779	-2752.58
400	0.872779	-2750.15
500	0.872779	-2751.26
600	0.872779	-2756.15
700	0.872779	-2757.51
800	0.872779	-2753.56
900	0.872779	-2747.4
1000	0.872779	-2753.93
300	0.813628	-2754.47
400	0.813628	-2754.5
500	0.813628	-2758.46
600	0.813628	-2766.51
700	0.813628	-2751.75
800	0.813628	-2754.68
900	0.813628	-2755.43
1000	0.813628	-2755.32
300	0.757343	-2756.46
400	0.757343	-2753.31
500	0.757343	-2757.95
600	0.757343	-2756.03
700	0.757343	-2753.17
800	0.757343	-2753.85
900	0.757343	-2759.58
1000	0.757343	-2766.51
300	0.703842	-2754.81
400	0.703842	-2756.55
500	0.703842	-2757.78
600	0.703842	-2749.88
700	0.703842	-2767.58
800	0.703842	-2758.25
900	0.703842	-2759.32
1000	0.703842	-2752.18
300	0.653044	-2748.71
400	0.653044	-2755.89
500	0.653044	-2757.47
600	0.653044	-2759.3
700	0.653044	-2756.22
800	0.653044	-2759.74
900	0.653044	-2761.26
1000	0.653044	-2766.98
300	0.604869	-2756.42
400	0.604869	-2761.94
500	0.604869	-2762.19
600	0.604869	-2764.83
700	0.604869	-2759.85
800	0.604869	-2759.51
900	0.604869	-2757.22
1000	0.604869	-2762.23
300	0.559239	-2765.94
400	0.559239	-2758.02
500	0.559239	-2758.95
600	0.559239	-2760.82
700	0.559239	-2759.08
800	0.559239	-2771.72
900	0.559239	-2758.46
1000	0.559239	-2760.49
300	0.516075	-2771.17
400	0.516075	-2765.53
500	0.516075	-2760.87
600	0.516075	-2751.06
700	0.516075	-2773.19
800	0.516075	-2769.88
900	0.516075	-2759.44
1000	0.516075	-2767.21
300	0.475299	-2770.65
400	0.475299	-2772.59
500	0.475299	-2780.28
600	0.475299	-2768.65
700	0.475299	-2753.94
800	0.475299	-2773.94
900	0.475299	-2757.6
1000	0.475299	-2765.1
300	0.436833	-2770.94
400	0.436833	-2766.81
500	0.436833	-2768.22
600	0.436833	-2763.97
700	0.436833	-2780.35
800	0.436833	-2759.82
900	0.436833	-2761.5
1000	0.436833	-2765.96
300	0.400601	-2781.52
400	0.400601	-2762.81
500	0.400601	-2760.68
600	0.400601	-2763.52
700	0.400601	-2754.73
800	0.400601	-2771.5
900	0.400601	-2764.05
1000	0.400601	-2769.31
300	0.366527	-2777.43
400	0.366527	-2790.05
500	0.366527	-2755.44
600	0.366527	-2770.75
700	0.366527	-2765.95
800	0.366527	-2776.06
900	0.366527	-2772.48
1000	0.366527	-2774.17
300	0.334535	-2769.86
400	0.334535	-2774.44
500	0.334535	-2772.4
600	0.334535	-2776.01
700	0.334535	-2769.62
800	0.334535	-2780.4
900	0.334535	-2767.08
1000	0.334535	-2760.72
300	0.304551	-2782.52
400	0.304551	-2778.27
500	0.304551	-2780.62
600	0.304551	-2773.11
700	0.304551	-2780.52
800	0.304551	-2784.94
900	0.304551	-2777.55
1000	0.304551	-2783.71
300	0.276501	-2771.66
400	0.276501	-2769.03
500	0.276501	-2766.33
600	0.276501	-2772.85
700	0.276501	-2767.84
800	0.276501	-2765.89
900	0.276501	-2769.25
1000	0.276501	-2772.1
300	0.250311	-2801.38
400	0.250311	-2777.93
500	0.250311	-2780.7
600	0.250311	-2791
700	0.250311	-2782.43
800	0.250311	-2768.42
900	0.250311	-2791.65
1000	0.250311	-2765.4
300	0.225909	-2816.65
400	0.225909	-2770.87
500	0.225909	-2783.05
600	0.225909	-2787.35
700	0.225909	-2814.85
800	0.225909	-2787.41
900	0.225909	-2778.98
1000	0.225909	-2795.76
300	0.203223	-2798.98
400	0.203223	-2791.61
500	0.203223	-2790.24
600	0.203223	-2819.15
700	0.203223	-2784.39
800	0.203223	-2786.25
900	0.203223	-2799.19
1000	0.203223	-2789.94
300	0.182181	-2785.67
400	0.182181	-2795.47
500	0.182181	-2782.78
600	0.182181	-2808.9
700	0.182181	-2785.23
800	0.182181	-2800.64
900	0.182181	-2822.94
1000	0.182181	-2816.21
300	0.162715	-2815.53
400	0.162715	-2801.44
500	0.162715	-2799.52
600	0.162715	-2798.1
700	0.162715	-2783.02
800	0.162715	-2814.42
900	0.162715	-2810.18
1000	0.162715	-2838.88
300	0.144753	-2809.26
400	0.144753	-2809.85
500	0.144753	-2805.15
600	0.144753	-2805.56
700	0.144753	-2848.27
800	0.144753	-2814.39
900	0.144753	-2826.33
1000	0.144753	-2804.29
300	0.128227	-2780.96
400	0.128227	-2806.04
500	0.128227	-2800.02
600	0.128227	-2785.64
700	0.128227	-2834
800	0.128227	-2793.98
900	0.128227	-2802.64
1000	0.128227	-2795.31
300	0.113069	-2797.75
400	0.113069	-2826.15
500	0.113069	-2792.72
600	0.113069	-2794.51
700	0.113069	-2828.46
800	0.113069	-2804.08
900	0.113069	-2840.55
1000	0.113069	-2891.42
300	0.0992126	-2831.06
400	0.0992126	-2806.53
500	0.0992126	-2791.82
600	0.0992126	-2812.15
700	0.0992126	-2784.73
800	0.0992126	-2830.59
900	0.0992126	-2836.38
1000	0.0992126	-2817.58
300	0.0865906	-2830.45
400	0.0865906	-2827.6
500	0.0865906	-2838.16
600	0.0865906	-2809.15
700	0.0865906	-2809.1
800	0.0865906	-2892.31
900	0.0865906	-2847.06
1000	0.0865906	-2802.03
300	0.0751379	-2832.91
400	0.0751379	-2802.81
500	0.0751379	-2864.6
600	0.0751379	-2816.66
700	0.0751379	-2826.75
800	0.0751379	-2958.95
900	0.0751379	-2820.74
1000	0.0751379	-2896.54
300	0.0647902	-2856.11
400	0.0647902	-2834.92
500	0.0647902	-2827.71
600	0.0647902	-2939.94
700	0.0647902	-2901.48
800	0.0647902	-2830.7
900	0.0647902	-2873.92
1000	0.0647902	-2846.99
300	0.0554836	-2854.4
400	0.0554836	-2894.16
500	0.0554836	-2861.69
600	0.0554836	-2927.19
700	0.0554836	-2837.58
800	0.0554836	-2842.77
900	0.0554836	-2849.24
1000	0.0554836	-2831.57
300	0.0471556	-2903.45
400	0.0471556	-2910.28
500	0.0471556	-2875.88
600	0.0471556	-2824.62
700	0.0471556	-2937.5
800	0.0471556	-2886.51
900	0.0471556	-2923.05
1000	0.0471556	-3013.28
300	0.0397447	-2884.07
400	0.0397447	-2793.42
500	0.0397447	-2880.51
600	0.0397447	-2874.5
700	0.0397447	-2845.18
800	0.0397447	-2868.61
900	0.0397447	-2963.51
1000	0.0397447	-2952.58
300	0.0331901	-2948.81
400	0.0331901	-2945.5
500	0.0331901	-2864.9
600	0.0331901	-2970.35
700	0.0331901	-2973.22
800	0.0331901	-3138.8
900	0.0331901	-2880.87
1000	0.0331901	-2911.22
300	0.0274324	-3032.13
400	0.0274324	-2874.71
500	0.0274324	-2994.13
600	0.0274324	-2989.53
700	0.0274324	-3027.52
800	0.0274324	-2961.86
900	0.0274324	-2896.88
1000	0.0274324	-2951.18
300	0.022413	-2893.23
400	0.022413	-3002.54
500	0.022413	-2938.11
600	0.022413	-3004.29
700	0.022413	-2938.33
800	0.022413	-2955.15
900	0.022413	-2929.19
1000	0.022413	-3139.64
300	0.0180747	-2986.44
400	0.0180747	-3112.92
500	0.0180747	-2917.18
600	0.0180747	-2995.41
700	0.0180747	-3091.05
800	0.0180747	-3019.64
900	0.0180747	-3287.59
1000	0.0180747	-2955.06
300	0.0143613	-3307.56
400	0.0143613	-2999.47
500	0.0143613	-3079.5
600	0.0143613	-2918.46
700	0.0143613	-2896.4
800	0.0143613	-3171.51
900	0.0143613	-2970.43
1000	0.0143613	-3096.59
300	0.0112179	-3252.52
400	0.0112179	-3101.38
500	0.0112179	-3164.24
600	0.0112179	-3104
700	0.0112179	-2974.7
800	0.0112179	-3116.37
900	0.0112179	-2865.53
1000	0.0112179	-3326.42
300	0.00859087	-3052.38
400	0.00859087	-3195.5
500	0.00859087	-3166.58
600	0.00859087	-3435.3
700	0.00859087	-3189.79
800	0.00859087	-3310.26
900	0.00859087	-3254.09
1000	0.00859087	-3006.73
300	0.006428	-3350.55
400	0.006428	-3680.59
500	0.006428	-3173.94
600	0.006428	-3108.93
700	0.006428	-3229.29
800	0.006428	-3563.59
900	0.006428	-3674.18
1000	0.006428	-3443.8
300	0.00467843	-3307.73
400	0.00467843	-3663.76
500	0.00467843	-3577.27
600	0.00467843	-2874.37
700	0.00467843	-3205.12
800	0.00467843	-3629.97
900	0.00467843	-3312.91
1000	0.00467843	-3551.45
300	0.00329287	-3033.17
400	0.00329287	-3107.1
500	0.00329287	-3113.4
600	0.00329287	-4075.2
700	0.00329287	-3219.9
800	0.00329287	-3557.49
900	0.00329287	-3020.35
1000	0.00329287	-3164.83
300	0.00222365	-3355.91
400	0.00222365	-3977.22
500	0.00222365	-3742.18
600	0.00222365	-3314.67
700	0.00222365	-3066.36
800	0.00222365	-3252.79
900	0.00222365	-3028.72
1000	0.00222365	-3380.89
300	0.00142482	-3501.18
400	0.00142482	-5029.44
500	0.00142482	-3387.97
600	0.00142482	-3097.68
700	0.00142482	-3933.09
800	0.00142482	-3384.84
900	0.00142482	-3618.3
1000	0.00142482	-3295.48
300	0.000852323	-3257.66
400	0.000852323	-4108.24
500	0.000852323	-3573.11
600	0.000852323	-4096.47
700	0.000852323	-3683.79
800	0.000852323	-3131.6
900	0.000852323	-3017.01
1000	0.000852323	-3938.64
300	0.000464159	-3935.15
400	0.000464159	-4008.56
500	0.000464159	-3646.05
600	0.000464159	-3445.34
700	0.000464159	-4439.26
800	0.000464159	-4080.53
900	0.000464159	-3582.8
1000	0.000464159	-3414.7
300	0.000220614	-4424.06
400	0.000220614	-4583.31
500	0.000220614	-3573.79
600	0.000220614	-4160.48
700	0.000220614	-4680.17
800	0.000220614	-3727.43
900	0.000220614	-3388.84
1000	0.000220614	-3503.83
300	8.45612e-05	-3473.18
400	8.45612e-05	-4291.07
500	8.45612e-05	-4428.08
600	8.45612e-05	-3578.69
700	8.45612e-05	-4094.89
800	8.45612e-05	-3699.73
900	8.45612e-05	-3831.89
1000	8.45612e-05	-4157.08
300	2.18877e-05	-4454.41
400	2.18877e-05	-5788.92
500	2.18877e-05	-3043.82
600	2.18877e-05	-4679.25
700	2.18877e-05	-4358.09
800	2.18877e-05	-3038.53
900	2.18877e-05	-4074.76
1000	2.18877e-05	-4031.15
300	2.17153e-06	-2998.75
400	2.17153e-06	-3812.02
500	2.17153e-06	-4391.57
600	2.17153e-06	-4854.74
700	2.17153e-06	-3245.91
800	2.17153e-06	-3001.13
900	2.17153e-06	-3939.51
1000	2.17153e-06	-3225.72
300	1.16658e-302	-4618.63
400	1.16658e-302	-4142.05
500	1.16658e-302	-4194.58
600	1.16658e-302	-3845.77
700	1.16658e-302	-3086.68
800	1.16658e-302	-3385.36
900	1.16658e-302	-3172.56
1000	1.16658e-302	-3552.73
