Iteration	Posterior	Likelihood	Prior	ucln_sigma	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	ucln_mean	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
0	-2753.64	-2738.05	-15.5876	0.420045	0.318534	0.0824179	0.120942	0.0385242	47.962	20.2297	34.0729	0.00501137	0.202395	0.228759	0.218836	0.261474	0.190493	0.150457	0.156097	0.258758	0.107909	0.130125	0.343821	0.243086	0.121168	0.22144	0.137671	0.233155	0.0931368	0.244356	0.18291	0.195759	0.117249	0.301251	0.0501814	0.0797504	0.382794	0.0687732	0.178476	0.326178	0.328349	0.166997
10	-2764.57	-2743.86	-20.7117	0.673119	0.756069	0.0344402	0.141188	0.106748	53.3366	20.7968	39.8899	0.00550425	0.140696	0.179014	0.0691542	0.393965	0.177415	0.126312	0.137085	0.201278	0.122173	0.126273	0.2674	0.112957	0.227533	0.163528	0.158246	0.0565374	0.0765453	0.151466	0.237853	0.165819	0.0996389	0.310917	0.0190068	0.0677721	0.444222	0.0584437	0.174326	0.319577	0.322883	0.183214
20	-2766.52	-2743.45	-23.069	0.530243	0.794463	0.0141292	0.0687428	0.0546136	44.1054	19.9405	39.5262	0.00516753	0.266529	0.175817	0.143879	0.34271	0.32659	0.171928	0.14336	0.238314	0.0885756	0.135129	0.375181	0.138943	0.300408	0.13393	0.113136	0.171888	0.0613349	0.217175	0.202338	0.193369	0.0504841	0.361047	0.0183443	0.0652926	0.448425	0.0564068	0.182577	0.342607	0.314723	0.160093
30	-2751.36	-2737.66	-13.7062	0.485173	0.672604	0.0358658	0.109549	0.0736828	46.8369	16.9366	34.2893	0.0061247	0.117294	0.146817	0.15671	0.133187	0.198348	0.112232	0.0693361	0.103862	0.0758121	0.120043	0.310407	0.097999	0.106989	0.108798	0.253852	0.0819186	0.149028	0.129283	0.0620714	0.134261	0.0558257	0.387306	0.0658623	0.0754543	0.353459	0.0620927	0.180727	0.347264	0.309741	0.162269
40	-2757.63	-2741.92	-15.7046	0.446681	0.412696	0.0437926	0.0745655	0.0307728	52.724	19.0619	39.7889	0.00616134	0.140528	0.0690072	0.0787772	0.131795	0.0387175	0.0636542	0.0540396	0.0875922	0.11172	0.111986	0.196884	0.0778816	0.203832	0.151326	0.0660023	0.0959085	0.0613575	0.122083	0.194765	0.106518	0.0630678	0.409107	0.0220328	0.0864657	0.382959	0.0363678	0.167493	0.35222	0.302401	0.177886
50	-2757.97	-2741.41	-16.5561	0.496171	0.715283	0.0316086	0.111018	0.079409	52.7041	17.883	48.171	0.00500102	0.127562	0.174827	0.0612622	0.101324	0.0874392	0.0976257	0.0539077	0.179253	0.0820354	0.103695	0.289747	0.115267	0.0867066	0.12113	0.367707	0.126145	0.0776639	0.142762	0.270846	0.141075	0.0625913	0.319401	0.135193	0.0455874	0.380065	0.0571619	0.170183	0.321785	0.348825	0.159207
60	-2752.96	-2737.91	-15.048	0.67462	0.664075	0.0219113	0.0652268	0.0433154	50.8366	18.7571	49.9821	0.00555674	0.107294	0.135284	0.0649511	0.312216	0.304291	0.0963561	0.0242868	0.116053	0.0820887	0.135992	0.332147	0.0463015	0.0457766	0.0779281	0.0995822	0.081439	0.0579385	0.0640617	0.105302	0.121222	0.0649198	0.415067	0.108092	0.062342	0.303876	0.045703	0.172856	0.339984	0.323789	0.163371
70	-2758.91	-2738.39	-20.5202	0.686692	0.622635	0.0254795	0.0675196	0.04204	48.1242	19.4753	47.6883	0.00499217	0.137013	0.111442	0.145559	0.514701	0.118683	0.120715	0.152488	0.377155	0.10159	0.101841	0.369669	0.177288	0.0932432	0.0922383	0.114298	0.115006	0.0367986	0.0864369	0.158667	0.16599	0.0508655	0.400813	0.0723782	0.0867875	0.356	0.0331563	0.192739	0.316168	0.324016	0.167077
80	-2761.54	-2736.67	-24.8723	1.26602	0.615885	0.0360149	0.0937608	0.0577459	54.8541	17.1919	41.054	0.00572696	0.200641	0.119953	0.00985566	0.197038	0.035994	0.0602408	0.0253563	0.130614	0.0633699	0.133228	0.338446	0.0923649	0.181994	0.039182	0.763476	0.0514723	0.0503488	0.116498	0.0966702	0.139228	0.0776918	0.352826	0.0637128	0.0602052	0.387982	0.0575824	0.181456	0.329289	0.316019	0.173235
90	-2753.61	-2733.5	-20.108	0.986026	0.553133	0.0540339	0.120917	0.0668833	46.8295	19.1123	38.168	0.0056878	0.110436	0.0555209	0.0166302	0.20498	0.217753	0.0433993	0.0612831	0.186173	0.0587148	0.156793	0.299936	0.0480041	0.0207576	0.217898	0.150976	0.0372124	0.0329888	0.17509	0.275324	0.125524	0.0745772	0.364812	0.0513705	0.0633459	0.390621	0.0552739	0.182675	0.330249	0.318142	0.168934
100	-2754.63	-2737.6	-17.0295	0.58579	0.677881	0.0456664	0.141769	0.0961025	55.5597	20.7933	39.3217	0.00531205	0.130675	0.0750292	0.111252	0.168162	0.063546	0.0552554	0.08162	0.185941	0.0697505	0.169404	0.301546	0.0896782	0.235007	0.168961	0.0343818	0.113541	0.0785534	0.198744	0.0975252	0.127661	0.077007	0.396938	0.0101548	0.0654097	0.393415	0.0570748	0.170612	0.32923	0.324929	0.175229
110	-2758.96	-2739.93	-19.028	0.595124	0.268584	0.0654221	0.0894458	0.0240237	48.875	18.4246	36.2717	0.00543596	0.141539	0.15034	0.0343329	0.254515	0.224676	0.0989845	0.0945467	0.127226	0.0679563	0.131432	0.351568	0.101338	0.0705876	0.101184	0.429589	0.148428	0.141581	0.170694	0.213744	0.161818	0.0374609	0.331445	0.10544	0.0921322	0.383551	0.0499708	0.192138	0.312172	0.335724	0.159967
120	-2765.41	-2742.97	-22.4419	0.752796	0.649599	0.047538	0.135667	0.0881294	48.9601	19.8324	38.6097	0.00510979	0.215775	0.0504357	0.110384	0.346434	0.179049	0.18778	0.079013	0.0929806	0.0977911	0.17288	0.301273	0.101487	0.369681	0.141756	0.0277192	0.0589323	0.0359686	0.199137	0.129312	0.149001	0.0500518	0.34491	0.100614	0.0937533	0.365998	0.0446718	0.203158	0.336093	0.306607	0.154142
130	-2748.38	-2735.53	-12.848	0.556157	0.218752	0.0497787	0.0637169	0.0139382	47.9403	18.9603	35.9714	0.00570215	0.129762	0.199272	0.0473307	0.195618	0.0712363	0.172765	0.0378889	0.116532	0.0673454	0.126367	0.298598	0.195717	0.102152	0.0826788	0.0852845	0.0922177	0.0834354	0.134228	0.183646	0.127351	0.0420982	0.440488	0.0720345	0.0788551	0.328951	0.0375731	0.177274	0.330361	0.332298	0.160067
140	-2756.11	-2747.98	-8.1288	0.258159	0.299122	0.0360093	0.0513774	0.0153681	48.881	17.3367	39.5557	0.00544261	0.173237	0.115293	0.171495	0.175775	0.138355	0.235056	0.124511	0.207987	0.138984	0.16439	0.263093	0.102669	0.118076	0.252278	0.242638	0.212839	0.116913	0.187549	0.185701	0.1752	0.0955312	0.343165	0.0579099	0.0696812	0.400511	0.0332019	0.206274	0.3171	0.318168	0.158458
150	-2751.51	-2739.73	-11.7766	0.428174	0.737387	0.0380079	0.14473	0.106722	58.9454	20.8106	55.2216	0.00542531	0.0943522	0.127553	0.100713	0.111128	0.0732515	0.110745	0.0463105	0.114052	0.067269	0.0718073	0.250838	0.135491	0.0573019	0.157911	0.100421	0.0858494	0.104762	0.0751897	0.100786	0.105077	0.0856634	0.420653	0.0425472	0.0624836	0.358881	0.0297723	0.167678	0.347689	0.318084	0.166549
160	-2757.01	-2742.86	-14.1478	0.362112	0.559903	0.0372153	0.0845614	0.0473462	49.8446	18.3388	34.2793	0.00561974	0.0944148	0.0632128	0.0538673	0.166102	0.120927	0.0625288	0.123366	0.0909708	0.0495676	0.133826	0.327907	0.141257	0.0597067	0.180531	0.076047	0.140098	0.142364	0.121564	0.128748	0.121255	0.0703531	0.434686	0.0558933	0.0596981	0.322172	0.0571978	0.172105	0.353565	0.324494	0.149836
170	-2761.35	-2746.33	-15.0197	0.54473	0.505499	0.0434213	0.0878083	0.044387	47.7849	16.8408	38.2389	0.00573409	0.183533	0.170456	0.137559	0.319544	0.131519	0.174586	0.0868645	0.130388	0.123017	0.0880635	0.363493	0.146691	0.302985	0.169142	0.0877891	0.0687187	0.120794	0.151361	0.0927312	0.159206	0.0674698	0.353816	0.0696174	0.039544	0.414699	0.0548536	0.206844	0.292919	0.34271	0.157527
180	-2751.53	-2739.09	-12.4428	0.488867	0.697421	0.0364773	0.120555	0.0840775	50.6042	20.5307	41.9337	0.00530232	0.121435	0.0773132	0.086782	0.103677	0.0872678	0.0852054	0.112767	0.0826862	0.12036	0.102288	0.270107	0.164629	0.077908	0.172932	0.0729891	0.0339427	0.19692	0.235876	0.205443	0.127172	0.0536393	0.355445	0.0629248	0.067663	0.399687	0.0606409	0.183597	0.313034	0.327946	0.175423
190	-2760.15	-2740.85	-19.3	0.694914	0.334965	0.035929	0.0540257	0.0180967	51.498	21.855	40.5423	0.00494381	0.107555	0.0255466	0.0554468	0.113016	0.168712	0.163401	0.0273524	0.0950967	0.105587	0.126608	0.314306	0.0156243	0.0427884	0.0882981	0.166021	0.12548	0.233322	0.127153	0.109869	0.116868	0.0621	0.34505	0.105981	0.0807868	0.336525	0.0695577	0.179628	0.346874	0.32315	0.150347
200	-2757.81	-2738.28	-19.5252	0.958508	0.159886	0.0482943	0.0574854	0.00919109	50.4513	22.2799	38.8368	0.00559763	0.198786	0.13295	0.0167193	0.21085	0.035293	0.0815073	0.0796897	0.169629	0.0704855	0.102384	0.253766	0.145356	0.0791029	0.170637	0.0575869	0.166789	0.0768771	0.123543	0.169755	0.119051	0.0721521	0.375883	0.0341075	0.0679798	0.350575	0.0993034	0.179247	0.336661	0.311404	0.172688
210	-2748.47	-2736.98	-11.4986	0.497236	0.307126	0.0227496	0.0328336	0.0100841	46.7257	21.4273	35.6662	0.00535751	0.127032	0.165745	0.106376	0.139635	0.122294	0.101293	0.0618084	0.104096	0.0778004	0.15965	0.39485	0.0727235	0.21096	0.104338	0.104631	0.10296	0.0692386	0.18527	0.102511	0.132566	0.0504945	0.37659	0.0202853	0.0890601	0.393283	0.0702865	0.178449	0.335163	0.314468	0.171919
220	-2770.64	-2743.09	-27.5518	1.14865	0.408778	0.023112	0.0390919	0.0159799	46.1625	18.5825	41.4687	0.00571952	0.124246	0.509462	0.0375368	0.193763	0.0988061	0.0684645	0.0499349	0.0902234	0.0406237	0.0909755	0.406779	0.479701	0.0616454	0.0207049	0.494002	0.0196963	0.380894	0.0641799	0.0246007	0.174	0.0607002	0.346447	0.107024	0.059365	0.361804	0.0646606	0.185442	0.329387	0.311313	0.173858
230	-2757.64	-2744	-13.6422	0.678233	0.379224	0.0287747	0.0463527	0.0175781	46.3061	21.4528	34.3337	0.0053432	0.114283	0.0947606	0.0775809	0.16738	0.149156	0.0642771	0.132926	0.060174	0.088416	0.122248	0.289657	0.0525859	0.0563212	0.041993	0.0926839	0.0361456	0.0701052	0.144077	0.427292	0.120432	0.0380456	0.374958	0.101938	0.0835614	0.365545	0.0359518	0.181324	0.327226	0.321681	0.169769
240	-2750.36	-2737.91	-12.4458	0.727776	0.703353	0.0252351	0.0850676	0.0598326	49.6197	19.1045	42.5886	0.00569427	0.108614	0.0969927	0.0635057	0.0801814	0.0371426	0.0417374	0.0411949	0.152551	0.111726	0.0982366	0.304012	0.0148324	0.0231595	0.140324	0.120465	0.03286	0.0777596	0.102672	0.0973315	0.0909268	0.057655	0.372665	0.0962374	0.0788881	0.345101	0.0494534	0.172396	0.351701	0.305842	0.170061
250	-2755.94	-2736.66	-19.2802	0.852505	0.152087	0.0514586	0.0606885	0.00922994	49.0927	19.9015	34.5834	0.00499746	0.0978939	0.0203291	0.045574	0.219903	0.0151846	0.129432	0.0279099	0.12245	0.101944	0.193754	0.300129	0.0929173	0.0649242	0.0458941	0.0288408	0.0828825	0.038479	0.2382	0.337873	0.117034	0.0443901	0.418092	0.0751462	0.0908508	0.324126	0.0473952	0.170067	0.329257	0.330097	0.17058
260	-2755.03	-2738.88	-16.1563	0.461805	0.745615	0.0555925	0.218537	0.162945	50.7701	17.5219	36.5579	0.00599672	0.144682	0.114696	0.0606567	0.118043	0.0506503	0.184973	0.0504633	0.134297	0.074019	0.114576	0.27517	0.0838218	0.085832	0.0998531	0.0870983	0.0629601	0.174604	0.103721	0.0617319	0.10762	0.0440232	0.40398	0.0958808	0.0563927	0.366764	0.0329587	0.176323	0.340918	0.313518	0.169241
270	-2753.64	-2737.54	-16.0976	0.623902	0.509212	0.052332	0.106628	0.0542965	55.53	20.3772	39.0182	0.00534713	0.113591	0.0674734	0.0215692	0.0551323	0.124872	0.17125	0.0233648	0.126216	0.0891444	0.100498	0.3112	0.0493456	0.0879177	0.0555726	0.0840714	0.0732133	0.024586	0.213884	0.051053	0.0961314	0.0653212	0.387347	0.0854986	0.0736535	0.32705	0.0611292	0.19138	0.321	0.323604	0.164016
280	-2752.63	-2737.02	-15.6087	0.752617	0.522491	0.0809715	0.169571	0.0885991	46.9902	21.3829	33.9896	0.00545946	0.143768	0.0733997	0.0693793	0.167632	0.0927909	0.13584	0.0254209	0.121725	0.0788532	0.163586	0.292049	0.114893	0.0924259	0.0363338	0.10238	0.0619651	0.0850118	0.220939	0.0541499	0.110488	0.0541177	0.369142	0.0625931	0.0653636	0.38862	0.0601641	0.177223	0.314166	0.344401	0.16421
