state	power	likelihood
300	1	-2745.9
400	1	-2745.22
500	1	-2741.78
600	1	-2743.58
700	1	-2745.08
800	1	-2742.28
900	1	-2743.51
1000	1	-2748.52
300	0.934875	-2743.5
400	0.934875	-2743.22
500	0.934875	-2746.41
600	0.934875	-2753.98
700	0.934875	-2739.35
800	0.934875	-2749.68
900	0.934875	-2745.41
1000	0.934875	-2743.5
300	0.872779	-2743.98
400	0.872779	-2741.73
500	0.872779	-2746.89
600	0.872779	-2743.81
700	0.872779	-2745.09
800	0.872779	-2749.74
900	0.872779	-2740.9
1000	0.872779	-2742.97
300	0.813628	-2741.92
400	0.813628	-2749.03
500	0.813628	-2746.11
600	0.813628	-2740.65
700	0.813628	-2742.66
800	0.813628	-2754.55
900	0.813628	-2750.2
1000	0.813628	-2744
300	0.757343	-2741.45
400	0.757343	-2748.55
500	0.757343	-2750.26
600	0.757343	-2744.9
700	0.757343	-2751.18
800	0.757343	-2745.88
900	0.757343	-2743.87
1000	0.757343	-2748.9
300	0.703842	-2744.16
400	0.703842	-2744.41
500	0.703842	-2749.77
600	0.703842	-2744.6
700	0.703842	-2747.98
800	0.703842	-2749.98
900	0.703842	-2749.67
1000	0.703842	-2747.91
300	0.653044	-2758.59
400	0.653044	-2753.95
500	0.653044	-2747.7
600	0.653044	-2748.85
700	0.653044	-2746.11
800	0.653044	-2751.33
900	0.653044	-2752.97
1000	0.653044	-2751.21
300	0.604869	-2745.11
400	0.604869	-2744.85
500	0.604869	-2750.71
600	0.604869	-2753.92
700	0.604869	-2747.45
800	0.604869	-2748.11
900	0.604869	-2749.84
1000	0.604869	-2750.27
300	0.559239	-2747.89
400	0.559239	-2750.43
500	0.559239	-2747.77
600	0.559239	-2748.6
700	0.559239	-2755.6
800	0.559239	-2750.58
900	0.559239	-2746.81
1000	0.559239	-2745.15
300	0.516075	-2753.57
400	0.516075	-2761.97
500	0.516075	-2750.18
600	0.516075	-2754.83
700	0.516075	-2764.08
800	0.516075	-2756.79
900	0.516075	-2751.98
1000	0.516075	-2751.92
300	0.475299	-2757.11
400	0.475299	-2753.1
500	0.475299	-2753.73
600	0.475299	-2763.05
700	0.475299	-2753.43
800	0.475299	-2749.32
900	0.475299	-2756.84
