state	power	likelihood
300	1	-2746.31
400	1	-2745.39
500	1	-2743.87
600	1	-2741.35
700	1	-2746.21
800	1	-2743.16
900	1	-2743.04
1000	1	-2740.11
300	0.934875	-2742.73
400	0.934875	-2740.01
500	0.934875	-2741.66
600	0.934875	-2748.4
700	0.934875	-2748.31
800	0.934875	-2750.03
900	0.934875	-2741.84
1000	0.934875	-2747.02
300	0.872779	-2747.93
400	0.872779	-2746
500	0.872779	-2748.08
600	0.872779	-2752.44
700	0.872779	-2743.28
800	0.872779	-2743.92
900	0.872779	-2742.13
1000	0.872779	-2757.31
300	0.813628	-2749.17
400	0.813628	-2745.27
500	0.813628	-2748.77
600	0.813628	-2753.76
700	0.813628	-2745.74
800	0.813628	-2746.62
900	0.813628	-2742.99
1000	0.813628	-2750.18
300	0.757343	-2746.94
400	0.757343	-2744.8
500	0.757343	-2749.88
600	0.757343	-2741.75
700	0.757343	-2746.76
800	0.757343	-2743.44
900	0.757343	-2740.46
1000	0.757343	-2746.35
300	0.703842	-2744.07
400	0.703842	-2750.08
500	0.703842	-2751.56
600	0.703842	-2752.6
700	0.703842	-2742.89
800	0.703842	-2754.27
900	0.703842	-2746.69
1000	0.703842	-2751.63
300	0.653044	-2753.4
400	0.653044	-2742.68
500	0.653044	-2752.88
600	0.653044	-2753.17
700	0.653044	-2744.1
800	0.653044	-2747.63
900	0.653044	-2740.58
1000	0.653044	-2751.6
300	0.604869	-2756.12
400	0.604869	-2750.22
500	0.604869	-2745.09
600	0.604869	-2743.71
700	0.604869	-2746.96
800	0.604869	-2747.44
900	0.604869	-2748.68
1000	0.604869	-2753.21
300	0.559239	-2749.63
400	0.559239	-2769.77
500	0.559239	-2746.28
600	0.559239	-2751.22
700	0.559239	-2748.1
800	0.559239	-2747.22
900	0.559239	-2745.49
1000	0.559239	-2750.82
300	0.516075	-2752.54
400	0.516075	-2744.7
500	0.516075	-2756.61
600	0.516075	-2753.19
700	0.516075	-2753.23
800	0.516075	-2748.06
900	0.516075	-2747.64
1000	0.516075	-2747.98
300	0.475299	-2745.39
400	0.475299	-2759.63
500	0.475299	-2752.67
600	0.475299	-2743.37
700	0.475299	-2752.81
800	0.475299	-2754.97
900	0.475299	-2757.76
1000	0.475299	-2749.63
300	0.436833	-2744.87
400	0.436833	-2742.45
500	0.436833	-2757.42
600	0.436833	-2762.86
700	0.436833	-2750.42
800	0.436833	-2748.69
900	0.436833	-2752.16
1000	0.436833	-2757.36
300	0.400601	-2747.4
400	0.400601	-2750.9
500	0.400601	-2761.25
600	0.400601	-2745.96
700	0.400601	-2753.09
800	0.400601	-2745.77
900	0.400601	-2749.24
1000	0.400601	-2745.53
300	0.366527	-2760.14
400	0.366527	-2764.86
500	0.366527	-2748.03
600	0.366527	-2760.38
700	0.366527	-2752.71
800	0.366527	-2749.59
900	0.366527	-2753.98
1000	0.366527	-2756.51
300	0.334535	-2748.93
400	0.334535	-2754.66
500	0.334535	-2760.42
600	0.334535	-2754.73
700	0.334535	-2750.12
800	0.334535	-2760.08
900	0.334535	-2756.91
1000	0.334535	-2769.66
300	0.304551	-2751.38
400	0.304551	-2763.93
500	0.304551	-2758.81
600	0.304551	-2760.85
700	0.304551	-2759.14
800	0.304551	-2752.82
900	0.304551	-2753.82
1000	0.304551	-2754.28
300	0.276501	-2761.63
400	0.276501	-2759.24
500	0.276501	-2748.34
600	0.276501	-2754.45
700	0.276501	-2776.41
800	0.276501	-2774.58
900	0.276501	-2750.52
1000	0.276501	-2760.96
300	0.250311	-2761.97
400	0.250311	-2762.65
500	0.250311	-2764.11
600	0.250311	-2772.82
700	0.250311	-2755.78
800	0.250311	-2773.54
900	0.250311	-2780.41
1000	0.250311	-2770.03
300	0.225909	-2790.63
400	0.225909	-2778.44
500	0.225909	-2783.18
600	0.225909	-2775.48
700	0.225909	-2768.07
800	0.225909	-2764.07
900	0.225909	-2770.91
1000	0.225909	-2772.81
300	0.203223	-2775.68
400	0.203223	-2805.39
500	0.203223	-2778.3
600	0.203223	-2776.09
700	0.203223	-2768.56
800	0.203223	-2771.61
900	0.203223	-2784.94
1000	0.203223	-2768.62
300	0.182181	-2769.17
400	0.182181	-2772.81
