Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	base_rate	tmrca_UrsidaePinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
0	-2792.52	-2750.6	-41.9131	0.179895	0.337519	0.317294	0.165293	0.0345103	0.156527	0.0409146	0.00640424	57.7739	19.2013	0.00530915	35.1954	0.162418	0.113514	0.331253	0.0422033	0.0755631	0.376825	0.0606408
10	-2792.07	-2748.88	-43.1839	0.179582	0.350148	0.309195	0.161074	0.0291664	0.561173	0.0664645	0.0372981	61.6371	18.1335	0.00545074	36.2562	0.144244	0.0377285	0.39793	0.0373349	0.0869675	0.3929	0.0471388
20	-2797.31	-2751.81	-45.5072	0.182478	0.31202	0.329858	0.175644	0.0352561	0.284553	0.0492784	0.0140223	64.628	18.8449	0.00548958	35.4864	0.181225	0.0342211	0.360937	0.113173	0.0817277	0.367185	0.0427566
30	-2806.63	-2754.93	-51.702	0.182954	0.335799	0.330718	0.150528	0.0338917	0.58967	0.0825962	0.0487045	72.1659	16.511	0.00510075	38.1132	0.148084	0.0746313	0.347209	0.0879301	0.0634987	0.34658	0.0801509
40	-2796.98	-2754.68	-42.2946	0.192803	0.342965	0.299932	0.1643	0.0524724	0.270348	0.0719143	0.0194419	57.1972	18.6966	0.00497659	34.7089	0.1706	0.0544705	0.395066	0.0680577	0.088412	0.319991	0.074002
50	-2793.86	-2748.51	-45.3518	0.177998	0.3226	0.325538	0.173864	0.044956	0.460905	0.0833916	0.0384356	61.4964	18.3633	0.00589396	34.6465	0.138186	0.0605626	0.337653	0.0721913	0.0937818	0.373974	0.0618364
60	-2793.68	-2749.98	-43.6959	0.177457	0.313986	0.32615	0.182407	0.0174428	0.644167	0.0490196	0.0315768	60.4095	16.4953	0.00507286	34.0748	0.175341	0.0568909	0.4093	0.0631242	0.082003	0.319872	0.0688098
70	-2795.96	-2748.28	-47.6776	0.162611	0.339493	0.312915	0.184981	0.0169966	0.657965	0.0496926	0.032696	66.5773	18.3436	0.00572651	34.5354	0.146804	0.0669772	0.377549	0.0474732	0.0869651	0.340263	0.0807723
80	-2800.76	-2752.33	-48.4282	0.202883	0.316986	0.329543	0.150588	0.0551311	0.589878	0.134426	0.0792949	65.5519	19.0959	0.00492433	34.9582	0.178766	0.0953362	0.334622	0.0420756	0.0770774	0.3793	0.0715886
90	-2795.92	-2749.35	-46.5658	0.173616	0.306306	0.351604	0.168474	0.0493439	0.397471	0.0818945	0.0325507	61.4472	16.8479	0.00606836	35.9152	0.148325	0.087211	0.369965	0.0634224	0.0724923	0.356736	0.0501729
100	-2793.54	-2748.91	-44.6299	0.18098	0.342238	0.318001	0.15878	0.038713	0.745771	0.152276	0.113563	62.6003	16.9916	0.0052857	35.302	0.165313	0.0912784	0.38722	0.0835912	0.0758732	0.310985	0.0510525
110	-2802.88	-2761.36	-41.5234	0.16975	0.309725	0.327996	0.192529	0.0451715	0.433663	0.0797609	0.0345894	57.5241	17.1245	0.00565891	34.0141	0.162636	0.0289919	0.348999	0.0547704	0.0732777	0.39556	0.0984017
120	-2798.1	-2760.13	-37.9683	0.174732	0.345461	0.333074	0.146733	0.0543183	0.171956	0.0655983	0.01128	51.249	16.2555	0.00553917	36.9595	0.172614	0.0725451	0.324727	0.0582067	0.0953965	0.357566	0.0915582
130	-2791.35	-2746.61	-44.7413	0.185273	0.336707	0.314895	0.163125	0.0447812	0.236047	0.0586178	0.0138366	61.8558	17.1104	0.00501277	34.3145	0.197173	0.0529869	0.368021	0.0425142	0.0696776	0.407406	0.0593939
140	-2794.82	-2753.95	-40.8661	0.167747	0.328649	0.343126	0.160478	0.0478226	0.434321	0.0845401	0.0367175	56.8584	19.9782	0.00515078	35.143	0.180875	0.056251	0.439381	0.0230343	0.0739698	0.344312	0.0630526
150	-2793.02	-2753.67	-39.348	0.172381	0.31792	0.336667	0.173032	0.0199509	0.854033	0.136681	0.11673	52.9783	16.5075	0.00551187	34.1876	0.182763	0.0701056	0.392527	0.0609481	0.0917242	0.331582	0.0531128
160	-2789.27	-2748.02	-41.2455	0.185221	0.338361	0.31125	0.165168	0.0437903	0.477217	0.0837637	0.0399734	57.6461	16.5489	0.00562898	33.9537	0.162908	0.0558188	0.416793	0.0485275	0.0831934	0.353378	0.042289
170	-2794.3	-2756.12	-38.1725	0.194102	0.321167	0.313391	0.17134	0.0480458	0.475119	0.0915365	0.0434907	51.8999	18.044	0.00518558	35.9535	0.167583	0.0531276	0.396698	0.0461879	0.0791824	0.371334	0.0534696
180	-2794.13	-2744.51	-49.6225	0.18876	0.331198	0.31036	0.169682	0.0373939	0.676986	0.115765	0.0783715	70.6962	16.5984	0.00530611	37.4839	0.161034	0.0596173	0.358333	0.0518299	0.0691539	0.401065	0.060001
190	-2793.06	-2746.95	-46.1058	0.187352	0.33034	0.32616	0.156147	0.0226465	0.885833	0.198363	0.175716	62.6517	16.5281	0.00518688	35.3665	0.153482	0.0780143	0.360775	0.0495316	0.0660874	0.39649	0.0491014
