Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
0	-48.6952	-53.2669	4.57167	0.101142	0.124975	0.076806	0.635535	0.31303	0.0514355
10	-60.1832	-64.5504	4.36719	0.0510581	0.157106	0.115208	0.372394	0.382284	0.245322
20	-53.2286	-57.2838	4.05517	0.0284567	0.210807	0.115309	0.464931	0.133909	0.40116
30	-57.5778	-62.2114	4.63364	0.0129223	0.13757	0.146234	0.483988	0.0978878	0.418124
40	-53.4633	-57.8054	4.34213	0.0090557	0.210806	0.106016	0.130239	0.230981	0.638781
50	-44.2169	-50.2482	6.03129	0.00741469	0.0730071	0.076539	0.117058	0.406186	0.476757
60	-52.9009	-55.5787	2.67778	0.175542	0.23113	0.0856395	0.291634	0.421654	0.286712
70	-49.3416	-53.5394	4.19777	0.03947	0.202852	0.097992	0.165406	0.294569	0.540024
80	-66.9742	-70.1545	3.18036	0.0744146	0.181121	0.186518	0.0287238	0.0363089	0.934967
90	-70.4333	-72.8787	2.44539	0.0523092	0.205154	0.258089	0.41783	0.22899	0.35318
100	-51.2761	-55.9569	4.68074	0.0231817	0.142164	0.126671	0.209646	0.609028	0.181326
110	-55.3921	-60.5361	5.14394	0.0226197	0.126579	0.0964968	0.543991	0.293624	0.162385
120	-45.1062	-50.8901	5.78389	0.0125193	0.0513385	0.117844	0.493219	0.318042	0.188739
130	-52.6746	-57.0554	4.38084	0.0116465	0.19746	0.1129	0.522893	0.295578	0.181529
140	-59.8291	-63.6319	3.80276	0.130123	0.13322	0.116472	0.318654	0.251079	0.430267
150	-51.4276	-56.5393	5.11171	0.0855249	0.0803033	0.0830908	0.100101	0.103772	0.796126
160	-55.1092	-58.6555	3.54625	0.049962	0.20649	0.149014	0.233857	0.206687	0.559457
170	-50.8164	-55.4468	4.63044	0.0849322	0.104358	0.107756	0.140643	0.7589	0.100457
180	-62.7761	-65.4651	2.68906	0.0568045	0.296959	0.137421	0.0369705	0.584452	0.378577
190	-51.7243	-55.6467	3.92239	0.106061	0.179885	0.0819061	0.279764	0.482182	0.238054
200	-48.5605	-51.2011	2.64056	0.195442	0.181338	0.119255	0.107974	0.383534	0.508492
210	-55.5996	-60.5331	4.93344	0.0609863	0.0933843	0.112376	0.0999135	0.491249	0.408837
220	-55.3886	-59.6808	4.29225	0.0300383	0.135225	0.165602	0.0153644	0.4423	0.542335
230	-57.2884	-62.0752	4.78687	0.049951	0.155663	0.0757891	0.12404	0.248901	0.627059
240	-45.4604	-50.9519	5.49145	0.0617355	0.0844136	0.0647966	0.182226	0.204674	0.6131
250	-46.8666	-52.1858	5.31923	0.0558136	0.0811072	0.091247	0.194833	0.560521	0.244646
260	-45.9168	-49.486	3.56923	0.154092	0.146574	0.102502	0.335898	0.507005	0.157097
270	-44.1083	-48.4568	4.34846	0.0947101	0.080051	0.150483	0.403613	0.203055	0.393331
280	-59.6349	-62.3085	2.67358	0.233552	0.12948	0.1297	0.389594	0.240184	0.370222
290	-51.4385	-55.4072	3.9687	0.157975	0.134504	0.0707417	0.470743	0.411839	0.117418
300	-43.551	-46.7286	3.17761	0.293923	0.0940104	0.0543963	0.503989	0.204078	0.291933
310	-47.9642	-51.2389	3.27473	0.247156	0.127168	0.0582932	0.241583	0.339786	0.418631
320	-55.0169	-59.2343	4.21739	0.0567676	0.164944	0.116639	0.681851	0.113909	0.204239
330	-46.5398	-51.8104	5.27056	0.055289	0.0944536	0.0832916	0.26951	0.532912	0.197578
340	-41.3388	-46.1802	4.84147	0.029013	0.164619	0.0823113	0.347396	0.323557	0.329047
350	-54.3466	-58.725	4.37838	0.0212664	0.200356	0.100629	0.180155	0.615263	0.204583
360	-45.3584	-50.6	5.24159	0.016843	0.14348	0.0756091	0.137506	0.394943	0.467551
370	-40.7314	-46.0244	5.29297	0.0104711	0.14331	0.0770115	0.462432	0.184761	0.352807
380	-51.0573	-54.8607	3.80334	0.0689918	0.245221	0.0655428	0.378638	0.199945	0.421417
390	-40.5889	-46.4795	5.89058	0.00942783	0.0911894	0.0704146	0.346101	0.0631305	0.590768
400	-46.3785	-52.2225	5.84396	0.00196091	0.0799678	0.0937656	0.0890943	0.534636	0.37627
410	-56.7003	-61.4985	4.79821	0.000592188	0.197831	0.081846	0.602343	0.235719	0.161938
420	-60.4307	-65.7466	5.31593	0.000221815	0.146659	0.0816159	0.341708	0.208288	0.450004
430	-59.6189	-65.1716	5.55278	0.000271006	0.119928	0.0846136	0.745752	0.0560083	0.198239
440	-53.9899	-59.2816	5.29176	0.00111814	0.155917	0.0738797	0.557438	0.331222	0.11134
450	-48.3803	-53.0797	4.69936	0.00233606	0.193546	0.0942723	0.390281	0.240861	0.368858
