state	power	likelihood
300	1	-15862.8
400	1	-15866.7
500	1	-15859.7
600	1	-15867.1
700	1	-15862.9
800	1	-15860.9
900	1	-15864.6
1000	1	-15861.6
300	0.934875	-15870.4
400	0.934875	-15865.3
500	0.934875	-15873.8
600	0.934875	-15862.8
700	0.934875	-15859.9
800	0.934875	-15864.7
900	0.934875	-15859.3
1000	0.934875	-15868.6
300	0.872779	-15860.7
400	0.872779	-15863.8
500	0.872779	-15864.6
600	0.872779	-15861.3
700	0.872779	-15862
800	0.872779	-15858.5
900	0.872779	-15862.6
1000	0.872779	-15857.6
300	0.813628	-15865
400	0.813628	-15860.4
500	0.813628	-15862.5
600	0.813628	-15871.9
700	0.813628	-15867.8
800	0.813628	-15862.6
900	0.813628	-15862.1
1000	0.813628	-15864.3
300	0.757343	-15858.4
400	0.757343	-15868.2
500	0.757343	-15871.2
600	0.757343	-15863.9
700	0.757343	-15865.1
800	0.757343	-15861.6
900	0.757343	-15869.5
1000	0.757343	-15878.1
300	0.703842	-15864.9
400	0.703842	-15883.1
500	0.703842	-15875.8
600	0.703842	-15869.5
700	0.703842	-15862.4
800	0.703842	-15870.1
900	0.703842	-15864.8
1000	0.703842	-15869.9
300	0.653044	-15871.3
400	0.653044	-15872.7
500	0.653044	-15872.6
600	0.653044	-15869
700	0.653044	-15881.1
800	0.653044	-15870.5
900	0.653044	-15876.1
1000	0.653044	-15868.8
300	0.604869	-15869.6
400	0.604869	-15866
500	0.604869	-15867
600	0.604869	-15867.2
700	0.604869	-15865
800	0.604869	-15868.6
900	0.604869	-15861.5
1000	0.604869	-15874.9
300	0.559239	-15878.4
400	0.559239	-15878.3
500	0.559239	-15877.9
600	0.559239	-15872.1
700	0.559239	-15880.1
800	0.559239	-15867.3
900	0.559239	-15871.3
1000	0.559239	-15881.9
300	0.516075	-15871.9
400	0.516075	-15872.4
500	0.516075	-15883.6
600	0.516075	-15866.1
700	0.516075	-15879.3
800	0.516075	-15876.3
900	0.516075	-15862.4
1000	0.516075	-15878.7
300	0.475299	-15881.3
400	0.475299	-15872
500	0.475299	-15892.8
600	0.475299	-15875.7
700	0.475299	-15877.3
800	0.475299	-15878.7
900	0.475299	-15867.8
1000	0.475299	-15879
300	0.436833	-15873.6
400	0.436833	-15889.4
500	0.436833	-15863.3
600	0.436833	-15877.8
700	0.436833	-15875.6
800	0.436833	-15869.5
900	0.436833	-15881.7
1000	0.436833	-15881.2
300	0.400601	-15884.2
400	0.400601	-15880
500	0.400601	-15876.5
600	0.400601	-15885.8
700	0.400601	-15887.9
800	0.400601	-15883.3
900	0.400601	-15881.9
1000	0.400601	-15887.3
300	0.366527	-15891.2
400	0.366527	-15878
500	0.366527	-15884.4
600	0.366527	-15891.1
700	0.366527	-15882.6
800	0.366527	-15869.8
900	0.366527	-15877.7
1000	0.366527	-15899.4
300	0.334535	-15907.3
400	0.334535	-15902.6
500	0.334535	-15886.2
600	0.334535	-15917.8
700	0.334535	-15847.7
800	0.334535	-15854
900	0.334535	-15866.1
1000	0.334535	-15846.4
300	0.304551	-15876.7
400	0.304551	-15868.6
500	0.304551	-15889.3
600	0.304551	-15860.6
700	0.304551	-15855.7
800	0.304551	-15865.6
900	0.304551	-15851.5
1000	0.304551	-15844.6
300	0.276501	-15884.6
400	0.276501	-15868.8
500	0.276501	-15868.3
600	0.276501	-15876.1
700	0.276501	-15884.1
800	0.276501	-15936.5
900	0.276501	-15885.4
1000	0.276501	-15854
300	0.250311	-15892.3
400	0.250311	-15907.7
500	0.250311	-15901.1
600	0.250311	-15875.1
700	0.250311	-15882.9
800	0.250311	-15898.8
900	0.250311	-15855.2
1000	0.250311	-15868.1
300	0.225909	-15882.7
400	0.225909	-15955.6
500	0.225909	-15901.3
600	0.225909	-15883.9
700	0.225909	-15893.5
800	0.225909	-15856.6
900	0.225909	-15872.6
1000	0.225909	-15877.4
300	0.203223	-15894.6
400	0.203223	-15888.7
500	0.203223	-15902.9
600	0.203223	-15943.1
700	0.203223	-15897.6
800	0.203223	-15907.3
900	0.203223	-15931.9
1000	0.203223	-15888.1
300	0.182181	-15901.6
400	0.182181	-15870.5
500	0.182181	-15946.9
600	0.182181	-15877.4
700	0.182181	-15911
800	0.182181	-15922.9
900	0.182181	-15886.4
1000	0.182181	-15873.5
300	0.162715	-15881
400	0.162715	-15887.7
500	0.162715	-15905.3
600	0.162715	-16001.9
700	0.162715	-15921.1
800	0.162715	-15999.4
900	0.162715	-15982.6
1000	0.162715	-15898.2
300	0.144753	-15815.2
400	0.144753	-15818.5
500	0.144753	-15833
600	0.144753	-15874.8
700	0.144753	-15849.9
800	0.144753	-15872.8
900	0.144753	-15867.3
1000	0.144753	-15842
300	0.128227	-15904.8
400	0.128227	-15843.5
500	0.128227	-15907.4
600	0.128227	-15883.7
700	0.128227	-15849.7
800	0.128227	-15812.6
900	0.128227	-16018
1000	0.128227	-15935.2
300	0.113069	-15942
400	0.113069	-15833.8
500	0.113069	-15867.5
600	0.113069	-15850.3
700	0.113069	-15881
800	0.113069	-15923.5
900	0.113069	-15876.9
1000	0.113069	-15878.7
300	0.0992126	-15983.4
400	0.0992126	-16016
500	0.0992126	-15965.2
600	0.0992126	-15897.7
700	0.0992126	-15940.2
800	0.0992126	-15940.3
900	0.0992126	-15857.7
1000	0.0992126	-15899.2
300	0.0865906	-15907.8
400	0.0865906	-16029.2
500	0.0865906	-16057.3
600	0.0865906	-16082.6
700	0.0865906	-16074.7
800	0.0865906	-15936.9
900	0.0865906	-16097.5
1000	0.0865906	-16000.8
300	0.0751379	-16188.7
400	0.0751379	-16211.2
500	0.0751379	-16107.9
600	0.0751379	-16058.3
700	0.0751379	-15974.2
800	0.0751379	-16096.8
900	0.0751379	-16119.3
1000	0.0751379	-16097.1
300	0.0647902	-16081.9
400	0.0647902	-16380.5
500	0.0647902	-16290.2
600	0.0647902	-16231.7
700	0.0647902	-16191
800	0.0647902	-16372.7
900	0.0647902	-16340.8
1000	0.0647902	-16072.3
300	0.0554836	-16403
400	0.0554836	-16261.7
500	0.0554836	-16541
600	0.0554836	-16283.7
700	0.0554836	-16239.4
800	0.0554836	-16419.1
900	0.0554836	-16532.4
1000	0.0554836	-16531
300	0.0471556	-16894.3
400	0.0471556	-16486.8
500	0.0471556	-15813.1
600	0.0471556	-15815.9
700	0.0471556	-16308.7
800	0.0471556	-16096.8
900	0.0471556	-16311.5
1000	0.0471556	-16171.9
300	0.0397447	-16661
400	0.0397447	-16359
500	0.0397447	-16215.6
600	0.0397447	-16225.5
700	0.0397447	-16028.6
800	0.0397447	-16446.5
900	0.0397447	-16506.3
1000	0.0397447	-16148.1
300	0.0331901	-16174.7
400	0.0331901	-16148.6
500	0.0331901	-16429.9
600	0.0331901	-16904.7
700	0.0331901	-16168.7
800	0.0331901	-16133.6
900	0.0331901	-16107.1
1000	0.0331901	-16504.8
300	0.0274324	-16565.6
400	0.0274324	-16010.3
500	0.0274324	-16483.7
600	0.0274324	-16237.3
700	0.0274324	-16096.5
800	0.0274324	-16498.5
900	0.0274324	-16445.9
1000	0.0274324	-16838.6
300	0.022413	-17121.1
400	0.022413	-16963.1
500	0.022413	-17281.8
600	0.022413	-17470.4
700	0.022413	-17430.7
800	0.022413	-17389.6
900	0.022413	-16993.2
1000	0.022413	-17328.6
300	0.0180747	-17643.1
400	0.0180747	-18222.4
500	0.0180747	-17603.5
600	0.0180747	-17486.1
700	0.0180747	-17435.5
800	0.0180747	-17603.6
900	0.0180747	-17453.2
1000	0.0180747	-17076.7
300	0.0143613	-17395.2
400	0.0143613	-17554.6
500	0.0143613	-17428
600	0.0143613	-17946.8
700	0.0143613	-18150.3
800	0.0143613	-18606.2
900	0.0143613	-18778.4
1000	0.0143613	-18130.4
300	0.0112179	-18916.6
400	0.0112179	-18004.4
500	0.0112179	-17969.5
600	0.0112179	-18625
700	0.0112179	-17749.6
800	0.0112179	-18264.6
900	0.0112179	-18152.5
1000	0.0112179	-18605.3
300	0.00859087	-18484.8
400	0.00859087	-19107.6
500	0.00859087	-19242.7
600	0.00859087	-18594.2
700	0.00859087	-18657.3
800	0.00859087	-18655.7
900	0.00859087	-19334.7
1000	0.00859087	-18408
300	0.006428	-18729.5
400	0.006428	-18997.3
500	0.006428	-19381.2
600	0.006428	-20122.8
700	0.006428	-19584.4
800	0.006428	-20667.5
900	0.006428	-20686.5
1000	0.006428	-20510.9
300	0.00467843	-21475.1
400	0.00467843	-21336.2
500	0.00467843	-20507.3
600	0.00467843	-20789.3
700	0.00467843	-21138.8
800	0.00467843	-20387.4
900	0.00467843	-21646.6
1000	0.00467843	-21979
300	0.00329287	-23212.6
400	0.00329287	-25519.1
500	0.00329287	-23244.5
600	0.00329287	-22751.7
700	0.00329287	-21704
800	0.00329287	-22881.9
900	0.00329287	-22865.8
1000	0.00329287	-21989.8
300	0.00222365	-24230.5
400	0.00222365	-23371.5
500	0.00222365	-23331.3
600	0.00222365	-21512.4
700	0.00222365	-23233.7
800	0.00222365	-23307.1
900	0.00222365	-24626.9
1000	0.00222365	-23353.6
300	0.00142482	-25105.8
400	0.00142482	-24014.5
500	0.00142482	-24991.5
600	0.00142482	-23820.8
700	0.00142482	-24218
800	0.00142482	-24092.2
900	0.00142482	-26061.3
1000	0.00142482	-24216.8
300	0.000852323	-24064.2
400	0.000852323	-24290.5
500	0.000852323	-26167.4
600	0.000852323	-24489.8
700	0.000852323	-23666.1
800	0.000852323	-25501.4
900	0.000852323	-24465.4
1000	0.000852323	-25807.8
300	0.000464159	-25406.8
400	0.000464159	-24608.1
500	0.000464159	-27263.8
600	0.000464159	-26412.1
700	0.000464159	-26164.4
800	0.000464159	-26411
900	0.000464159	-26975.5
1000	0.000464159	-26263.8
300	0.000220614	-28483
400	0.000220614	-28535.9
500	0.000220614	-26709
600	0.000220614	-26429.1
700	0.000220614	-26979.5
800	0.000220614	-25530.6
900	0.000220614	-25598
1000	0.000220614	-24546.8
300	8.45612e-05	-25777.7
400	8.45612e-05	-23995.9
500	8.45612e-05	-24804
600	8.45612e-05	-25674.7
700	8.45612e-05	-25849
800	8.45612e-05	-25253.6
900	8.45612e-05	-28330.8
1000	8.45612e-05	-30141
300	2.18877e-05	-27371.1
400	2.18877e-05	-29349.9
500	2.18877e-05	-29103.8
600	2.18877e-05	-31232.1
700	2.18877e-05	-28638.7
800	2.18877e-05	-27980.4
900	2.18877e-05	-32521.9
1000	2.18877e-05	-29452.2
300	2.17153e-06	-32817.1
400	2.17153e-06	-30514.1
500	2.17153e-06	-31264.1
600	2.17153e-06	-32394.3
700	2.17153e-06	-28185.7
800	2.17153e-06	-28037.2
900	2.17153e-06	-28192.4
1000	2.17153e-06	-29374.7
300	1.16658e-302	-30111.4
400	1.16658e-302	-32023.6
500	1.16658e-302	-32898.4
600	1.16658e-302	-28206.4
700	1.16658e-302	-27159.7
800	1.16658e-302	-29642.3
900	1.16658e-302	-30784.7
1000	1.16658e-302	-31843.1
