state	power	likelihood
300	1	-15275.4
400	1	-15275.4
500	1	-15275.4
600	1	-15275.4
700	1	-15275.4
800	1	-15275.4
900	1	-15275.4
1000	1	-15275.4
300	0.934875	-15275.4
400	0.934875	-15275.4
500	0.934875	-15275.4
600	0.934875	-15275.4
700	0.934875	-15275.4
800	0.934875	-15275.4
900	0.934875	-15275.4
1000	0.934875	-15275.4
300	0.872779	-15275.4
400	0.872779	-15275.4
500	0.872779	-15275.4
600	0.872779	-15275.4
700	0.872779	-15275.4
800	0.872779	-15267.3
900	0.872779	-15262.6
1000	0.872779	-15264.1
300	0.813628	-15270.2
400	0.813628	-15266
500	0.813628	-15259.9
600	0.813628	-15260.8
700	0.813628	-15259.9
800	0.813628	-15262.2
900	0.813628	-15266.1
1000	0.813628	-15258.2
300	0.757343	-15264.9
400	0.757343	-15258.8
500	0.757343	-15263.6
600	0.757343	-15263.5
700	0.757343	-15268.6
800	0.757343	-15259.7
900	0.757343	-15261.4
1000	0.757343	-15261.7
300	0.703842	-15262.1
400	0.703842	-15263.7
500	0.703842	-15260.4
600	0.703842	-15260.6
700	0.703842	-15262.5
800	0.703842	-15263
900	0.703842	-15264.5
1000	0.703842	-15263.9
300	0.653044	-15265.6
400	0.653044	-15265.8
500	0.653044	-15263
600	0.653044	-15264.6
700	0.653044	-15269.2
800	0.653044	-15261.1
900	0.653044	-15262.5
1000	0.653044	-15262
300	0.604869	-15272.6
400	0.604869	-15266.8
500	0.604869	-15269.8
600	0.604869	-15268.3
700	0.604869	-15264.1
800	0.604869	-15260.4
900	0.604869	-15270.6
1000	0.604869	-15259.1
300	0.559239	-15267.4
400	0.559239	-15262.4
500	0.559239	-15267.5
600	0.559239	-15264.4
700	0.559239	-15271.3
800	0.559239	-15262.3
900	0.559239	-15265.1
1000	0.559239	-15278.2
300	0.516075	-15270.7
400	0.516075	-15268
500	0.516075	-15268.7
600	0.516075	-15264.3
700	0.516075	-15276.9
800	0.516075	-15267.5
900	0.516075	-15275.6
1000	0.516075	-15268.6
300	0.475299	-15268.4
400	0.475299	-15265.6
500	0.475299	-15266.8
600	0.475299	-15265.1
700	0.475299	-15268.5
800	0.475299	-15269
900	0.475299	-15269.2
1000	0.475299	-15284.1
300	0.436833	-15272.6
400	0.436833	-15264.5
500	0.436833	-15279.3
600	0.436833	-15265.4
700	0.436833	-15282.9
800	0.436833	-15267.2
900	0.436833	-15277.3
1000	0.436833	-15279.2
300	0.400601	-15274.5
400	0.400601	-15269.9
500	0.400601	-15288.6
600	0.400601	-15277.5
700	0.400601	-15272.3
800	0.400601	-15271.7
900	0.400601	-15283.3
1000	0.400601	-15293.4
300	0.366527	-15268.1
400	0.366527	-15267.5
500	0.366527	-15268.1
600	0.366527	-15278.3
700	0.366527	-15270.1
800	0.366527	-15282
900	0.366527	-15270.4
1000	0.366527	-15285.2
300	0.334535	-15267.5
400	0.334535	-15269.3
500	0.334535	-15272.5
600	0.334535	-15266.6
700	0.334535	-15267.1
800	0.334535	-15269.1
900	0.334535	-15275
1000	0.334535	-15276.8
300	0.304551	-15281
400	0.304551	-15277.3
500	0.304551	-15282.5
600	0.304551	-15291.9
700	0.304551	-15285.8
800	0.304551	-15267.2
900	0.304551	-15273.4
1000	0.304551	-15280.5
300	0.276501	-15297.3
400	0.276501	-15284.6
500	0.276501	-15263.2
600	0.276501	-15278
700	0.276501	-15275.3
800	0.276501	-15287.4
900	0.276501	-15284.8
1000	0.276501	-15272
300	0.250311	-15276.1
400	0.250311	-15295.4
500	0.250311	-15274.1
