state	power	likelihood
300	1	-22760.7
400	1	-22760.7
500	1	-22760.7
600	1	-22760.7
700	1	-22760.7
800	1	-22760.7
900	1	-22760.7
1000	1	-22760.7
300	0.934875	-22760.7
400	0.934875	-22760.7
500	0.934875	-22760.7
600	0.934875	-22760.7
700	0.934875	-22760.7
800	0.934875	-22760.7
900	0.934875	-22760.7
1000	0.934875	-22760.7
300	0.872779	-22760.7
400	0.872779	-22760.7
500	0.872779	-22760.7
600	0.872779	-22760.7
700	0.872779	-22760.7
800	0.872779	-22760.7
900	0.872779	-22760.7
1000	0.872779	-22760.7
300	0.813628	-22760.7
400	0.813628	-22760.7
500	0.813628	-22760.7
600	0.813628	-22760.7
700	0.813628	-22760.7
800	0.813628	-22760.7
900	0.813628	-22760.7
1000	0.813628	-22760.7
300	0.757343	-22760.7
400	0.757343	-22760.7
500	0.757343	-22760.7
600	0.757343	-22760.7
700	0.757343	-22760.7
800	0.757343	-22760.7
900	0.757343	-22760.7
1000	0.757343	-22760.7
300	0.703842	-22760.7
400	0.703842	-22760.7
500	0.703842	-22760.7
600	0.703842	-22760.7
700	0.703842	-22760.7
800	0.703842	-22760.7
900	0.703842	-22760.7
1000	0.703842	-22760.7
300	0.653044	-22760.7
400	0.653044	-22760.7
500	0.653044	-22760.7
600	0.653044	-22760.7
700	0.653044	-22760.7
800	0.653044	-22760.7
900	0.653044	-22760.7
1000	0.653044	-22760.7
300	0.604869	-22760.7
400	0.604869	-22760.7
500	0.604869	-22760.7
600	0.604869	-22760.7
700	0.604869	-22760.7
800	0.604869	-22760.7
900	0.604869	-22760.7
1000	0.604869	-22760.7
300	0.559239	-22760.7
400	0.559239	-22760.7
500	0.559239	-22760.7
600	0.559239	-22760.7
700	0.559239	-22760.7
800	0.559239	-22760.7
900	0.559239	-22760.7
1000	0.559239	-22760.7
300	0.516075	-22760.7
400	0.516075	-22760.7
500	0.516075	-22760.7
600	0.516075	-22760.7
700	0.516075	-22760.7
